id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
3002263005,"Industriestrasse 173a,",8957 Spreitenbach,1,18.0,320.0,10.75,apartment,2018,2021,0,17.77777777777778,669760,253400
4001202001,"Sandäckerstrasse 1-9,",8957 Spreitenbach,4,114.0,3090.0,6.75,apartment,2018,1995,0,27.105263157894736,670375,252860
4001202003,"Sandäckerstrasse 1-9,",8957 Spreitenbach,3,86.0,2530.0,6.75,apartment,2018,1995,1,29.41860465116279,670375,252860
4001202005,"Sandäckerstrasse 1-9,",8957 Spreitenbach,5,146.0,3545.0,6.75,house,2018,1995,0,24.28082191780822,670375,252860
4001202006,"Sandäckerstrasse 1-9,",8957 Spreitenbach,2,72.0,2215.0,6.75,apartment,2018,1995,1,30.76388888888889,670375,252860
4001278820,"Hauptstrasse 37,",5113 Holderbank AG,1,96.37751004016064,750.0,3.0,apartment,2018,2024,0,7.781898491540962,654971,253342
4001421306,"Laurenzenvorstadt 89,",5000 Aarau,4,96.37751004016064,2250.0,4.25,apartment,2018,1835,0,23.345695474622886,646221,249448
4001452690,"Baslerstrasse 6,",4310 Rheinfelden,3,125.0,3150.0,2.25,apartment,2018,2016,1,25.2,626154,266850
4001471055,"Fliederstrasse 12,",4663 Aarburg,1,66.0,1100.0,8.67,apartment,2018,2024,0,16.666666666666668,635109,241956
4001585413,"Marktgasse 176,",5080 Laufenburg,4,100.0,1860.0,5.0,apartment,2023,1995,1,18.6,646783,268151
4001639977,"Neumarktplatz 7,",5200 Brugg AG,1,28.0,1800.0,2.0,apartment,2022,1995,0,64.28571428571429,658036,259363
4001645475,"Pappelweg 2,",4800 Zofingen,2,96.37751004016064,1580.0,7.25,apartment,2018,1995,0,16.39386615551296,638605,236819
4001698475,"Schmiedgasse 6,",4665 Oftringen,2,62.0,1610.0,15.5,apartment,2018,2025,1,25.967741935483872,636376,240417
4001698483,"Schmiedgasse 4,",4665 Oftringen,3,109.0,2310.0,15.5,apartment,2018,2025,1,21.192660550458715,636364,240392
4001698489,"Kreuzstrasse 1,",4665 Oftringen,3,88.0,2140.0,15.5,apartment,2018,2025,1,24.318181818181817,636395,240389
4001724954,"Dorfstrasse 52,",5745 Safenwil,3,57.0,1620.0,8.33,apartment,2018,1995,1,28.42105263157895,640897,240945
4001763701,"Langäckerstrasse 49,",8957 Spreitenbach,4,90.0,1965.0,6.5,apartment,2018,1995,1,21.833333333333332,669728,253119
4001800340,"Hauptstrasse 52,",5737 Menziken,4,140.0,1850.0,8.0,apartment,2018,1995,0,13.214285714285714,656818,232249
4001831315,"Hinterdorfstrasse 3,",5525 Fischbach-Göslikon,5,155.0,3200.0,5.0,house,2018,2025,1,20.64516129032258,665357,247299
4001848639,"Hauptstrasse 47,",5312 Döttingen,1,92.0,1800.0,4.0,apartment,2018,1995,0,19.565217391304348,661535,269220
4001866270,"Kaiserstrasse 28,",4310 Rheinfelden,4,167.0,5165.0,3.5,apartment,2018,2017,1,30.92814371257485,626340,266864
4001867631,"Hallwilstrasse 24,",5600 Lenzburg,3,66.0,1550.0,3.5,apartment,2018,1995,0,23.484848484848484,654956,249070
4001887791,,,4,77.0,1800.0,6.712559523809521,apartment,2025,1995,0,23.376623376623378,651637,250522
4001895934,"Hauserstrasse 2d,",5210 Windisch,4,37.0,397.0,3.75,apartment,2018,2013,0,10.72972972972973,658574,258897
4001906819,"Bahnhofstrasse 26,",4663 Aarburg,3,71.0,1440.0,5.25,apartment,2018,1995,1,20.281690140845072,635051,241234
