id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
3003379456,"Dorfplatz 5,",4244 Röschenz,4,118.0,1590.0,3.0,apartment,2014,1984,0,13.474576271186441,602800,252638
3003556067,"Unterer Rainweg 3,",4414 Füllinsdorf,4,130.0,2770.0,5.75,apartment,2004,1962,1,21.307692307692307,622092,261774
4000202136,"Ringstrasse 119,",4106 Therwil,3,91.06681034482759,1715.0,7.0,apartment,2015,1984,1,18.832327535202936,608192,261232
4000471599,"Hauptstrasse 2,",4144 Arlesheim,4,125.0,2690.0,2.25,apartment,2014,1984,0,21.52,613495,260292
4000518683,"Baslerstrasse 50,",4102 Binningen,3,71.0,1800.0,4.25,apartment,2014,1984,1,25.35211267605634,610259,265238
4000563656,"Hauptstrasse 2,",4144 Arlesheim,4,125.0,2350.0,2.25,apartment,2015,1966,0,18.8,613495,260292
4000644740,"Burgfeldermattweg 13,",4123 Allschwil,3,85.0,1950.0,4.5,apartment,2001,1966,0,22.941176470588236,607597,267029
4000669496,"Hauptstrasse 5,",4242 Laufen,3,110.0,1630.0,3.5,apartment,2023,1984,0,14.818181818181818,604667,252276
4001011635,"Hagmattstrasse 7a,",4123 Allschwil,1,91.06681034482759,295.0,7.75,apartment,2014,2016,0,3.239379955034907,607827,267285
4001084780,"Ofenstrasse 22,",4123 Allschwil,3,93.0,2275.0,10.25,apartment,2014,2010,1,24.462365591397848,608160,265842
4001117122,"Hauptstrasse 7,",4242 Laufen,3,82.0,1410.0,17.67,apartment,2014,1984,0,17.195121951219512,604666,252289
4001131860,"Langegasse 115,",4104 Oberwil BL,4,87.0,2120.0,7.25,apartment,2014,1982,1,24.367816091954023,609227,261978
4001133352,"Hauptstrasse 40,",4242 Laufen,3,142.0,2210.0,3.75,apartment,2014,1984,1,15.56338028169014,604677,252422
4001190324,,,4,91.06681034482759,2072.8867346938778,6.376754966887417,apartment,2014,1984,0,22.762263516695285,614654,261153
4001238938,"Teichweg 30,",4142 Münchenstein,2,53.0,1765.0,9.0,apartment,2014,2025,1,33.301886792452834,613486,264275
4001247258,"Unterwartweg 49,",4132 Muttenz,3,80.0,1907.0,10.5,apartment,2013,1973,0,23.8375,613945,264431
4001307826,"General Guisan-Strasse 29,",4144 Arlesheim,6,155.0,3580.0,8.75,house,2014,1984,1,23.096774193548388,613184,261090
4001441525,"Mühlegasse 6,",4105 Biel-Benken BL,3,85.0,1650.0,4.5,apartment,2014,1984,0,19.41176470588235,605968,261659
4001449869,"Gewerbestrasse 25,",4123 Allschwil,4,91.06681034482759,109.0,8.5,apartment,2014,1984,0,1.196923441012898,608086,267645
4001473981,"Hauptstrasse 88,",4437 Waldenburg,4,120.0,1670.0,3.0,apartment,2019,1890,1,13.916666666666666,623274,247893
4001486201,"Im Wilacker 15,",4106 Therwil,4,91.0,1801.0,6.5,apartment,2014,1968,1,19.791208791208792,609064,261562
