id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
106759682,"Wasserstrasse 16,",4056 Basel,3,20.0,280.0,3.75,apartment,2015,1965,0,14.0,610648,268782
3003140449,"Claragraben 39,",4058 Basel,3,77.39781021897811,2250.0,3.75,apartment,2015,1964,0,29.070589899561462,611841,267770
4000136328,"Gasstrasse 68,",4056 Basel,4,77.39781021897811,2375.0,6.25,apartment,2023,1965,1,30.685622671759322,610194,268644
4000633351,"Entenweidstrasse 74/7,",4056 Basel,2,77.39781021897811,1210.0,7.0,apartment,2015,1965,1,15.633517234875276,610166,268711
4000636560,"Entenweidstrasse 74/7,",4056 Basel,2,77.39781021897811,1250.0,7.25,apartment,2015,1965,1,16.15032772197859,610166,268711
4000707994,"Kohlenberg 1,",4051 Basel,1,77.39781021897811,1745.0,2.0,apartment,2015,1965,0,22.545857499882114,611302,267047
4000925895,"Rümelinsplatz 19,",4001 Basel,1,77.39781021897811,1690.0,3.0,apartment,2015,1965,0,21.835243080115056,611170,267353
4001128151,"Spalenring 150,",4055 Basel,2,105.0,2400.0,4.25,apartment,2015,1981,0,22.857142857142858,610323,267134
4001265565,"Austrasse 54,",4051 Basel,2,60.0,1520.0,5.5,apartment,2015,1965,1,25.333333333333332,610732,267037
4001270666,"Entenweidstrasse 74/7,",4056 Basel,2,77.39781021897811,1310.0,7.0,apartment,2015,1965,1,16.925543452633562,610166,268711
4001353535,"Unterer Rheinweg 180,",4057 Basel,3,270.0,170.0,5.5,apartment,2015,1965,0,0.6296296296296297,611160,268986
4001378852,"Claragraben 60,",4058 Basel,1,29.0,1215.0,3.75,apartment,2015,1965,0,41.89655172413793,611803,267895
4001382839,"Tangentenweg 56,",4058 Basel,3,70.0,2110.0,7.5,apartment,2015,2015,1,30.142857142857142,612095,269139
4001391683,"Riehenring 141,",4058 Basel,1,28.0,1080.0,2.25,apartment,2015,1965,0,38.57142857142857,611947,268561
4001453106,"Kannenfeldstrasse 15,",4056 Basel,1,40.0,1500.0,5.5,apartment,2024,1959,1,37.5,610142,268038
4001453108,"Kannenfeldstrasse 15,",4056 Basel,1,40.0,1500.0,5.5,apartment,2024,1959,1,37.5,610142,268038
4001453936,"Reinacherstrasse 126,",4053 Basel,2,66.0,1770.0,4.75,apartment,2015,1965,1,26.818181818181817,612466,265088
4001456478,"Greifengasse 7,",4058 Basel,1,82.0,1990.0,2.75,apartment,2015,1965,0,24.26829268292683,611507,267831
4001502665,"Gasstrasse 68,",4056 Basel,3,77.39781021897811,2700.0,6.25,apartment,2024,1965,1,34.88470787947376,610194,268644
4001502666,"Gasstrasse 68,",4056 Basel,3,77.39781021897811,1990.0,6.25,apartment,2024,1965,0,25.711321733389916,610194,268644
4001502713,"Gasstrasse 68,",4056 Basel,3,77.39781021897811,2325.0,6.25,apartment,2024,1965,1,30.03960956288018,610194,268644
4001510165,"Reinacherstrasse 68,",4053 Basel,1,36.0,1250.0,5.25,apartment,2015,1965,1,34.72222222222222,612321,265445
4001524380,"Erlenmattstrasse 14,",4058 Basel,1,125.0,2570.0,3.75,apartment,2015,2009,0,20.56,612207,268811
4001565937,"Stellimattweg 44,",4125 Riehen,3,77.39781021897811,1890.0,9.5,apartment,2018,1965,1,24.419295515631628,616180,271581
4001571078,"Redingstrasse 24,",4052 Basel,3,98.0,3065.0,2.75,apartment,2015,2022,1,31.275510204081634,613668,266236
4001575431,"Unterm Schellenberg 123,",4125 Riehen,3,70.0,2150.0,7.75,apartment,1994,1964,1,30.714285714285715,615762,269257
4001582382,"Müllheimerstrasse 36,",4057 Basel,1,30.0,1050.0,3.0,apartment,2021,1965,0,35.0,611682,268292
4001584931,"Prattelerstr. 11,",4052 Basel,3,74.0,1700.0,8.0,apartment,2015,1965,0,22.972972972972972,613247,266088
4001584933,"Prattelerstr. 11,",4052 Basel,3,74.0,1690.0,8.0,apartment,2015,1965,0,22.83783783783784,613247,266088
4001605448,"Erlenmattstrasse 24,",4058 Basel,1,99.0,2095.0,3.75,apartment,2015,2009,0,21.161616161616163,612232,268835
4001605449,"Erlenmattstrasse 12,",4058 Basel,2,99.0,2125.0,3.75,apartment,2015,2009,0,21.464646464646464,612214,268778
