id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
4000824200,"Mettlengässli 8 + 10,",3074 Muri b. Bern,2,59.0,3770.0,4.0,apartment,2017,1983,1,63.898305084745765,603444,197800
4001313085,"Hauptstrasse 17,",2563 Ipsach,3,80.0,2250.0,3.0,apartment,2024,1983,1,28.125,584447,218230
4001365163,"Bernapark 23,",3066 Stettlen,3,142.0,3240.0,7.33,apartment,2017,2020,1,22.816901408450704,605629,201022
4001403890,"Murtenstrasse 3,",3270 Aarberg,5,144.0,2210.0,4.75,house,2017,1983,1,15.347222222222221,587468,210246
4001425840,"Bahnhofstrasse 29,",3066 Stettlen,5,98.0,1980.0,3.0,house,2001,1971,0,20.20408163265306,606553,200656
4001495431,"Mattenstrasse 81,",2503 Biel,7,184.0,4210.0,5.0,house,2017,1983,1,22.880434782608695,585947,220601
4001635498,"Bartolomäusweg 25,",2504 Biel/Bienne,4,94.0,1980.0,7.0,apartment,2017,1994,1,21.06382978723404,588289,221909
4001655412,"Eichmatt 2,",4938 Rohrbach,3,78.0,1235.0,4.0,apartment,2018,1985,1,15.833333333333334,629156,220557
4001668329,"Staffelweg 6,",3400 Burgdorf,4,74.0,1330.0,7.25,apartment,2017,1963,1,17.972972972972972,613312,211580
4001668438,"Staffelstr. 5a,",3303 Jegenstorf,4,72.0,1690.0,6.25,apartment,2017,1962,1,23.47222222222222,605389,211348
4001668473,"Rue de la Liberté 12-18,",2740 Moutier,4,104.0,1580.0,4.0,apartment,2017,1983,0,15.192307692307692,594994,236449
4001668931,"Marktgasse 4,",4900 Langenthal,2,146.0,2190.0,3.25,apartment,2017,2008,0,15.0,626586,229167
4001669383,"Grauholzstr. 80,",3063 Ittigen,4,118.0,2240.0,12.0,apartment,2017,1979,1,18.983050847457626,603170,203884
4001669420,"Unterer Strassackerweg 11,",3067 Boll,3,84.0,1630.0,9.0,apartment,2017,1992,1,19.404761904761905,607634,200276
4001683433,"Gerechtigkeitsgasse 57,",3011 Bern,2,66.0,2200.0,3.75,apartment,2017,1983,0,33.333333333333336,601121,199659
4001685991,"Nidaugasse 50,",2502 Biel/Bienne,3,94.0,2055.0,1.5,apartment,2017,1983,0,21.861702127659573,585423,220859
4001691514,"Hofmattenstrasse 3,",4914 Roggwil BE,3,77.0,1765.0,5.67,apartment,2017,1983,1,22.92207792207792,629233,232289
4001699835,"Schmiedweg 30,",2503 Biel,3,92.24034869240349,1290.0,5.25,apartment,2024,1983,0,13.985202986404568,585878,219976
4001708731,"Austr. 7,",3114 Wichtrach,4,170.0,2495.0,10.75,apartment,2017,1992,1,14.676470588235293,609680,187255
4001726560,"Bernstrasse 29,",3032 Hinterkappelen,3,60.0,1500.0,6.75,apartment,2017,1983,0,25.0,594696,202153
4001731221,"Kreuzstrasse 3a,",3052 Zollikofen,5,125.0,2770.0,4.25,house,2017,1983,1,22.16,601669,205073
4001748867,"Kappelenstrasse 11,",3250 Lyss,3,72.0,1690.0,4.25,apartment,2018,1973,0,23.47222222222222,589572,213352
4001749871,"Lyss-Strasse 24,",2560 Nidau,3,95.0,1470.0,7.75,apartment,2017,1983,1,15.473684210526315,585326,219462
4001764632,"Thunstrasse 47,",3005 Bern,3,100.0,3140.0,4.0,apartment,2024,1983,1,31.4,601379,198917
4001767434,"Zürchermatte 11, BE 153'040,",3550 Langnau i. E.,4,102.0,2020.0,9.75,apartment,2017,1992,1,19.80392156862745,625357,199319
4001778561,"Hinterdorfstrasse 11,",3550 Langnau im Emmental,5,92.24034869240349,2350.0,15.25,house,2024,1983,1,25.47692016903158,627035,198660
4001788625,"Burgdorfstrasse 29,",3422 Alchenflüh,3,80.0,1350.0,9.0,apartment,2024,1983,1,16.875,610889,214446
4001809021,"Rohrstrasse 2,",3507 Biglen,4,155.0,2360.0,6.33,apartment,2017,1983,0,15.225806451612904,613876,197446
4001809267,"Madretschstrasse 72,",2503 Bienne,3,43.0,1190.0,5.25,apartment,2025,1983,0,27.674418604651162,586105,220413
4001828964,"Bernstrasse 87,",3363 Oberönz,4,92.24034869240349,1560.0,9.75,apartment,2022,1983,1,16.91233849518692,619572,225508
4001853355,"Muracher 3,",2542 Pieterlen,3,88.0,2050.0,11.5,apartment,2017,1983,1,23.295454545454547,590881,224589
4001874968,"Poststrasse 19,",2504 Biel/Bienne,5,135.0,3950.0,2.0,house,2017,2024,1,29.25925925925926,587405,221735
4001878408,"Alte Bernstrasse 9,",3148 Lanzenhäusern,4,75.0,1490.0,5.0,apartment,2017,1983,0,19.866666666666667,593120,188080
4001891289,"Unterer Strassackerweg 3,",3067 Boll,4,112.0,2080.0,8.0,apartment,2017,1992,1,18.571428571428573,607716,200258
4001897509,"Wabersackerstr. 57,",3097 Liebefeld,3,92.24034869240349,1990.0,6.25,apartment,2017,1983,1,21.574072823988445,598869,197483
