id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
3001211665,"Chemin du Lac 13,",1637 Val-de-Charmey,5,208.0,3140.0,8.0,house,2018,1998,1,15.096153846153847,578374,163153
3003135248,"Tunnelstrasse 2,",3186 Düdingen,1,92.77997364953886,1085.0,7.0,apartment,2013,1998,1,11.694333996023857,580881,188319
4000824386,"Route d'Oron 154,",1676 Chavannes-les-Forts,3,92.0,2190.0,6.561071428571428,apartment,2018,2024,1,23.804347826086957,558394,166497
4000931784,"Impasse de Champ-Riond 5,",1753 Matran,4,104.0,1835.9163090128754,12.33,apartment,2018,2023,0,17.65304143281611,574380,181768
4000931785,"Impasse de Champ-Riond 6,",1753 Matran,4,104.0,1835.9163090128754,12.33,apartment,2018,2023,0,17.65304143281611,574400,181770
4001044669,,,8,550.0,10500.0,6.561071428571428,house,2018,2011,1,19.09090909090909,574458,181496
4001234004,"Av. de Granges-Paccot 2,",1700 Fribourg,1,92.77997364953886,1835.9163090128754,6.75,apartment,2018,1998,0,19.787851157920656,578207,184629
4001234020,"Route des Préalpes 110,",1723 Marly,1,92.77997364953886,740.0,6.561071428571428,apartment,2018,1998,0,7.975859130928714,580039,180011
4001259981,"Route de Belmont 2,",1741 Cottens,2,70.0,1750.0,7.33,apartment,2018,2024,1,25.0,569202,178241
4001259999,"Route de Belmont 2,",1741 Cottens,3,120.0,2210.0,7.67,apartment,2018,2024,1,18.416666666666668,569202,178241
4001302095,"Rue de la Sionge 23,",1630 Bulle,4,15.0,60.0,2.5,apartment,2018,1998,0,4.0,570735,163138
4001567321,"Gärteli 13,",3210 Kerzers,5,137.0,2395.0,9.75,house,2018,2000,0,17.48175182481752,582103,202699
4001598413,"Dorfmatta 3,",1734 Tentlingen,4,109.0,2080.0,12.67,apartment,2018,1998,1,19.08256880733945,581473,179947
4001636615,"Chemin de Bel-Air 7,",1752 Villars-sur-Glâne,4,110.0,2190.0,7.75,apartment,2018,1998,0,19.90909090909091,576716,183076
4001654521,"En Sibourg 11,",1566 St-Aubin FR,4,92.77997364953886,990.0,6.561071428571428,apartment,2018,1998,0,10.670406134620848,565144,193463
4001687359,"Rue des Frères - Lumière 29,",1723 Marly,4,105.0,2300.0,5.75,apartment,2018,2021,1,21.904761904761905,578422,180461
4001687832,"Route du Château 25,",1782 Cormagens,4,85.0,2200.0,14.5,apartment,2018,2021,1,25.88235294117647,576985,187049
4001725526,"Rte de Payerne 5,",1773 Léchelles,4,92.77997364953886,2500.0,3.67,apartment,2018,1998,0,26.945470036921332,567716,186451
4001737073,"PASSAGE QUERRO 7,",1724 LE MOURET,2,71.0,1620.0,9.33,apartment,2018,1966,0,22.816901408450704,579496,177487
4001764689,"Chemin de la Forge 4,",1782 Belfaux,5,140.0,3250.0,4.0,house,2024,1998,1,23.214285714285715,574427,185708
4001764702,"Oelegasse 60,",3210 Kerzers,6,92.77997364953886,2550.0,8.0,house,2018,1998,1,27.484379437659758,582499,202440
4001766066,"Chemin de Bethléem 5,",1700 Fribourg,3,64.0,1650.0,3.0,apartment,2018,1998,0,25.78125,577567,183345
4001782437,,,8,550.0,1835.9163090128754,6.561071428571428,house,2018,1998,0,3.3380296527506825,574458,181496
4001810190,"Rte de l'Ecole 1,",1753 Matran,4,112.0,2400.0,9.0,apartment,2025,1998,1,21.428571428571427,573833,181678
4001811573,"Avenue de la Gare 9,",1700 Fribourg,4,138.0,2370.0,3.0,apartment,2018,1950,0,17.17391304347826,578152,183644
4001811913,"Rue de la Gare 1,",1661 Le Pâquier-Montbarry,4,119.0,2420.0,3.0,apartment,2018,2023,1,20.33613445378151,570661,160370
4001820413,"Chemin de la Forêt 8,",1720 Corminboeuf,3,67.0,2115.0,8.0,apartment,2018,2024,0,31.567164179104477,574472,184086
4001841033,"Sägetstrasse 8,",1712 Tafers,4,108.0,2060.0,4.25,apartment,2018,2004,1,19.074074074074073,582980,185135
4001850229,"Grossi Matta 7,",1718 Rechthalten,3,82.0,1460.0,6.561071428571428,apartment,2018,1989,0,17.804878048780488,584571,179650
4001857633,"Av. de Beauregard 15,",1700 Fribourg,4,108.0,2160.0,3.75,apartment,2018,1998,1,20.0,577608,183483
4001862987,"Schlossgasse 8,",3280 Murten,2,70.0,1350.0,17.0,apartment,2018,1998,0,19.285714285714285,575417,197465
4001864949,"Kapellematte  30,",1792 Cordast,3,100.0,2130.0,4.33,apartment,2024,2024,1,21.3,578175,191255
4001866998,"Route des Argillères 4,",1782 Cormagens,3,80.0,2060.0,16.0,apartment,2018,2025,1,25.75,576795,187059
4001867001,"Route des Argillères 4,",1782 Cormagens,4,106.0,2400.0,16.0,apartment,2018,2025,1,22.641509433962263,576795,187059
4001867009,"Rte des Argillères 6 - 8,",1782 Cormagens,6,157.0,3600.0,17.0,house,2018,2025,1,22.929936305732483,576761,187088
4001870799,"Doktorgässli 29,",3212 Gurmels,4,108.0,2315.0,3.67,apartment,2018,2023,1,21.435185185185187,579836,193500
4001875742,"Telmoos 22,",1716 Plaffeien,3,92.77997364953886,1270.0,6.561071428571428,apartment,2018,1998,1,13.688298778756037,588757,176364
4001878314,"Route d'Oron 154,",1676 Chavannes-les-Forts,3,92.77997364953886,2040.0,6.561071428571428,apartment,2018,1998,0,21.987503550127805,558394,166497
4001878649,"Bernstrasse 3,",3280 Murten,5,147.0,2350.0,2.5,house,2014,1998,1,15.986394557823129,575704,197635
4001886156,"Rue Centrale 29,",1776 Montagny-la-Ville,5,92.77997364953886,1790.0,6.561071428571428,house,2018,1998,0,19.292956546435672,566115,185191
