id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
3003136868,"Rue de la Cloche 6,",1201 Genève,4,100.0,4500.0,4.5,apartment,2017,1978,0,45.0,500621,118526
4000923044,,,7,205.0,8900.0,4.613815789473684,house,2017,1978,0,43.41463414634146,505484,121841
4001029119,"Avenue Ernest-Pictet,",1203 Genève,6,200.0,9400.0,4.613815789473684,house,2017,1978,0,47.0,498827,118621
4001029131,,,12,122.43759630200309,20000.0,4.613815789473684,house,2017,1978,0,163.34851878885505,505484,121841
4001084656,,,8,250.0,10500.0,4.613815789473684,house,2017,1978,1,42.0,505484,121841
4001221160,,,4,122.43759630200309,6200.0,4.613815789473684,apartment,2025,1978,1,50.638040824545065,505484,121841
4001324102,"Rue de l' Athénée 38,",1206 Genève,4,93.0,4390.0,3.25,apartment,2017,1978,0,47.204301075268816,500851,116739
4001414280,"Route de l'Etraz 3,",1239 Collex-Bossy,1,14.0,1550.0,3.0,apartment,2022,1978,0,110.71428571428571,498825,125354
4001505783,,,5,122.43759630200309,19786.947928994083,4.613815789473684,house,2017,1978,0,161.60843177766932,505484,121841
4001532182,,,6,122.43759630200309,7000.0,4.613815789473684,house,2017,1978,1,57.17198157609926,505484,121841
4001532384,"Rue du Rhône 65,",1204 Genève,5,122.43759630200309,19786.947928994083,2.25,house,2017,1978,0,161.60843177766932,500899,117622
4001532445,"Chemin de Blandonnet 8,",1214 Vernier,5,122.43759630200309,2650.0,6.25,house,2017,2002,0,21.643678739523292,496592,119697
4001532779,"Esplanade de Pont-Rouge 4-6,",1212 Grand-Lancy,5,122.43759630200309,1375.0,3.75,house,2017,1978,0,11.230210666733784,498643,115943
4001533540,"Rue Rothschild 57,",1202 Genève,5,122.43759630200309,750.0,2.5,house,2017,1969,0,6.125569454582064,500372,119040
4001533544,"Chemin du Fief-de-Chapitre 12,",1213 Petit-Lancy,5,122.43759630200309,200.0,5.0,house,2015,1973,0,1.6334851878885503,498412,116881
4001533554,"Chemin Auguste-Vilbert 30,",1218 Le Grand-Saconnex,5,122.43759630200309,130.0,4.0,house,2017,1978,0,1.0617653721275577,498668,121045
4001533555,"Chemin Auguste-Vilbert 38,",1218 Le Grand-Saconnex,5,122.43759630200309,130.0,5.0,house,2017,1978,0,1.0617653721275577,498724,121059
4001533559,"Rue de Jargonnant 1,",1207 Genève,5,122.43759630200309,1080.0,1.5,house,2018,1979,0,8.820820014598173,501334,117419
4001533560,"Chemin de Blandonnet 8,",1214 Vernier,5,122.43759630200309,800.0,6.25,house,2017,2002,0,6.533940751554201,496592,119697
4001533561,"Chemin de Blandonnet 8,",1214 Vernier,5,122.43759630200309,2249.0,6.25,house,2017,2002,0,18.36854093780675,496592,119697
4001553799,,,7,122.43759630200309,22000.0,4.613815789473684,house,2017,1978,1,179.68337066774055,505484,121841
4001613867,"Rue de Lausanne 23,",1201 Genève,3,63.0,2233.0,2.5,apartment,2017,1911,0,35.44444444444444,500142,118669
4001667904,"Rue de Berne 3,",1201 Genève,5,122.43759630200309,109.0,2.5,house,2017,1978,0,0.8902494273992599,500102,118283
4001684572,"Route de Florissant 120,",1206 Genève,6,160.0,7830.0,4.0,house,2017,1978,0,48.9375,501807,116175
4001684659,"Route de la Chapelle 15,",1212 Grand-Lancy,5,85.0,3900.0,7.75,house,2017,2024,0,45.88235294117647,499126,114456
4001689465,,,6,180.0,7900.0,4.613815789473684,house,2025,1978,0,43.888888888888886,505484,121841
4001701615,"Rue Goetz-Monin 24,",1205 Genève,2,24.0,2300.0,4.5,apartment,2017,1978,0,95.83333333333333,500300,116695
4001701618,"Jonction,",1205 Genève,4,122.43759630200309,4500.0,5.75,apartment,2017,1978,1,36.753416727492386,498972,117482
4001705577,,,3,40.0,3600.0,4.613815789473684,apartment,2017,1978,0,90.0,505484,121841
