id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
3002315118,"Hauptstrasse 1,",7240 Küblis,3,87.07142857142857,250.0,8.0,apartment,2022,1982,0,2.871205906480722,777552,198477
4000950289,,,5,220.0,5690.0,5.435862068965517,house,2015,1982,1,25.863636363636363,755242,174660
4001264815,"Hauptstrasse 1,",7240 Küblis,1,23.0,1060.0,7.5,apartment,2017,1982,0,46.08695652173913,777552,198477
4001578753,,,3,87.07142857142857,1730.1884816753927,5.435862068965517,apartment,2017,2024,1,19.8709095516452,755242,174660
4001753071,"Bahnhofplatz 7,",7000 Chur,3,128.0,1110.0,3.25,apartment,2017,2008,0,8.671875,759541,191288
4001770981,,,1,41.0,900.0,5.435862068965517,apartment,2017,1970,0,21.951219512195124,755242,174660
4001965202,"Via Schlifras 85,",7130 Ilanz,3,81.0,2390.0,7.0,apartment,2017,2026,1,29.506172839506174,734972,181361
4001973645,"Piazza Nuova,",6537 Grono,4,95.0,1450.0,5.435862068965517,apartment,2017,1982,0,15.263157894736842,731673,123235
4001978069,"Via Schlifras 85,",7130 Ilanz,2,56.0,1950.0,7.0,apartment,2017,2026,1,34.82142857142857,734972,181361
4001978350,"Schmittnerstrasse 51,",7212 Seewis-Schmitten,1,20.0,800.0,7.5,apartment,2017,1982,0,40.0,767415,205414
4001982065,"Via Schlifras 85,",7130 Ilanz,3,73.0,2190.0,7.0,apartment,2017,2026,1,30.0,734972,181361
4001982332,"Via Schlifras 85,",7130 Ilanz,2,56.0,1990.0,7.0,apartment,2017,2026,1,35.535714285714285,734972,181361
4002027758,"Via Johannes Badrutt 11,",7500 St. Moritz,1,87.07142857142857,600.0,8.25,apartment,2007,1982,0,6.890894175553733,784806,152666
4002028645,,,2,87.07142857142857,1700.0,5.435862068965517,apartment,2017,1982,0,19.52420016406891,755242,174660
4002034586,"Davos Cuort,",7144 Lumnezia,3,90.0,1920.0,5.435862068965517,apartment,2017,2025,1,21.333333333333332,732572,175422
4002038839,"A la Cioldina,",6535 Roveredo,4,120.0,2000.0,5.435862068965517,apartment,2025,2019,1,16.666666666666668,730102,122088
4002041403,"Seewaldstrasse 16,",7050 Arosa,1,22.0,1160.0,7.0,apartment,2023,1982,1,52.72727272727273,771089,183189
4002045872,,,1,87.07142857142857,1300.0,5.435862068965517,apartment,2017,1982,0,14.930270713699754,755242,174660
4002049380,"Spitalstrasse 7 (Altbau),",7130 Ilanz,3,118.0,2120.0,4.67,apartment,2017,2022,0,17.966101694915253,734854,182094
4002049381,"Spitalstrasse 7 (Altbau),",7130 Ilanz,4,142.0,2490.0,4.67,apartment,2017,2022,0,17.535211267605632,734854,182094
4002084807,"Via Nova 15,",7017 Flims Dorf,3,50.0,1980.0,2.33,apartment,2017,1982,1,39.6,741054,188930
4002150492,,,3,128.0,4500.0,5.435862068965517,apartment,2017,1982,0,35.15625,755242,174660
4002151634,"Promenade 159,",7260 Davos,2,41.0,2150.0,3.0,apartment,2014,1992,1,52.4390243902439,783203,187006
4002161613,"Via Brattas,",7500 St. Moritz,6,190.0,1730.1884816753927,5.435862068965517,house,2024,1982,1,9.106255166712593,784466,152683
4002173638,"Center Augustin, Stradun 197,",7550 Scuol,3,93.0,1950.0,2.25,apartment,2017,1985,1,20.967741935483872,818549,187007
