id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
4001656496,,,3,77.0,1300.0,5.845405405405405,apartment,2022,1910,0,16.883116883116884,690234,283686
4001801703,,,1,37.0,850.0,5.845405405405405,apartment,2001,1880,0,22.972972972972972,690234,283686
4001837837,"Stettemerstrasse,",8207 Schaffhausen,4,105.0,1497.0,5.845405405405405,apartment,2013,1977,0,14.257142857142858,691651,286944
4001837840,"Stettemerstrasse,",8207 Schaffhausen,3,88.0,1140.0,5.845405405405405,apartment,2013,1977,1,12.954545454545455,691651,286944
4001845501,"Neutalstrasse 2,",8207 Schaffhausen,4,16.0,200.0,5.0,apartment,2013,2018,0,12.5,691944,286519
4001958660,"Schützengraben 20,",8200 Schaffhausen,3,69.0,1690.0,1.75,apartment,2013,1977,0,24.492753623188406,689857,283824
4001986348,"Schützenstrasse 11,",8212 Neuhausen am Rheinfall,2,50.0,1090.0,6.0,apartment,2013,1977,0,21.8,687672,281718
4002003614,,,4,105.0,1490.0,5.845405405405405,apartment,2019,1900,0,14.19047619047619,690234,283686
4002007318,"Tanne 7,",8200 Schaffhausen,6,185.0,3790.0,2.5,house,2015,1650,0,20.486486486486488,689663,283520
4002028982,"Stettemerstrasse 141,",8207 Schaffhausen,2,83.0,1395.0,6.5,apartment,2013,1987,1,16.80722891566265,691521,286882
4002038715,"Unterdorf 8,",8222 Beringen,1,20.0,950.0,4.0,apartment,2013,1977,0,47.5,685346,283544
4002042522,"Schützenstrasse 9,",8212 Neuhausen am Rheinfall,3,62.0,1350.0,6.0,apartment,2013,1977,0,21.774193548387096,687690,281728
4002047536,,,8,203.0,6600.0,5.845405405405405,house,2013,1997,0,32.51231527093596,690234,283686
4002066621,"Rheinstrasse 55,",8218 Neuhausen am Rheinfall,1,88.76047904191617,820.0,4.25,apartment,2013,1977,0,9.2383458139378,688911,281715
4002089683,"Schützengasse 2,",8224 Löhningen,4,68.0,590.0,8.67,apartment,2013,1977,0,8.676470588235293,683575,284036
4002094322,"Bachstr. 28,",8200 Schaffhausen,3,70.0,1350.0,2.5,apartment,2013,1977,0,19.285714285714285,690031,283573
4002094324,"Rössligasse 1,",8224 Löhningen,4,120.0,1880.0,2.0,apartment,2013,1890,1,15.666666666666666,683640,284025
4002108432,,,3,125.0,2900.0,5.845405405405405,apartment,2022,1986,1,23.2,690234,283686
4002108532,"Hauptstrasse 93,",8224 Löhningen,2,37.0,940.0,5.33,apartment,2013,1977,1,25.405405405405407,683302,283980
4002114926,"Im Riet 6,",8200 Schaffhausen,4,85.0,1865.0,3.33,apartment,2011,1980,1,21.941176470588236,688361,284309
4002116362,"Rabenfluhstrasse 18,",8212 Neuhausen am Rheinfall,5,139.0,2358.0,5.75,house,2013,1977,1,16.964028776978417,688959,282250
4002121203,"Herblingerstrasse 105,",8207 Schaffhausen,3,76.0,1370.0,4.75,apartment,2013,1990,0,18.026315789473685,691664,286408
4002123425,"Im Rhytech 3,",8212 Neuhausen am Rheinfall,3,125.0,3300.0,6.75,apartment,2013,2024,1,26.4,688175,281999
4002124819,"Gütliweg 1,",8200 Schaffhausen,4,88.76047904191617,2390.0,6.0,apartment,2013,1977,0,26.92639816501383,690078,284986
4002128828,,,4,88.76047904191617,1830.622641509434,5.845405405405405,apartment,2013,1977,0,20.624298801327363,690234,283686
4002142883,"Steingutstrasse 32,",8200 Schaffhausen,2,74.0,1750.0,3.0,apartment,2013,2014,1,23.64864864864865,690542,285684
4002145518,"Köhlerweid 20,",8260 Stein am Rhein,4,150.0,2290.0,10.75,apartment,2013,1990,1,15.266666666666667,705963,279221
4002146832,"Schaffhauserstrasse 2,",8213 Neunkirch,4,88.76047904191617,1490.0,3.25,apartment,2013,1977,0,16.78675032044795,679813,282720
4002152920,"Rundbuckstrasse 2,",8212 Neuhausen am Rheinfall,4,88.76047904191617,1830.622641509434,9.0,apartment,2013,1977,0,20.624298801327363,687584,281194
