id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
3002697949,"Wiedenstrasse 50b,",9470 Buchs SG,4,108.0,1990.0,6.25,apartment,2018,2003,0,18.425925925925927,753914,226034
3003134794,"Hauptstrasse 81,",9113 Degersheim,4,206.0,1850.0,2.75,apartment,2017,1986,0,8.980582524271844,732758,248345
3003135915,"Haldenhof 6,",9000 St. Gallen,1,164.0,1754.2505376344086,3.5,apartment,2018,2021,0,10.696649619722004,745908,253948
3003328660,"Wiedenstrasse 50b,",9470 Buchs SG,4,108.0,1990.0,4.25,apartment,2018,1986,0,18.425925925925927,753914,226034
4000741525,"Obstgartenstrasse 8,",9300 Wittenbach,4,95.0,1890.0,5.75,apartment,2018,1996,0,19.894736842105264,746878,258316
4000802645,"Hauptstrasse 27,",9477 Trübbach,4,276.0,1754.2505376344086,4.5,apartment,2018,1986,0,6.355980208820321,755122,215651
4000802648,"Hauptstrasse 27,",9477 Trübbach,4,974.0,1754.2505376344086,4.5,apartment,2018,1986,0,1.801078580733479,755122,215651
4001012135,"Hauptstrasse 27,",9477 Trübbach,4,20.0,1754.2505376344086,4.5,apartment,2018,1986,0,87.71252688172044,755122,215651
4001284512,"Kirchstrasse 65,",9400 Rorschach,4,64.0,1375.0,5.0,apartment,2014,1986,1,21.484375,754363,260587
4001337976,"Industriestrasse 3,",9015 St. Gallen,3,135.0,1740.0,4.33,apartment,2018,1986,1,12.88888888888889,740666,252078
4001400773,"Metzgergasse 24,",9000 St. Gallen,3,89.16502115655854,1690.0,3.25,apartment,2018,1986,1,18.953620804201336,746098,254725
4001442450,"Teufenerstrasse 180,",9012 St. Gallen,1,23.0,760.0,14.75,apartment,2018,1986,1,33.04347826086956,745767,252436
4001450264,"Lindenstrasse 155,",9016 St. Gallen,2,83.0,1740.0,4.5,apartment,2018,1986,1,20.96385542168675,748212,255995
4001467830,"Schorenstrasse 56,",9000 St. Gallen,3,89.16502115655854,1990.0,9.25,apartment,2018,1986,0,22.31816887595305,745113,254624
4001484929,"Wassergasse 47,",9000 St. Gallen,3,75.0,1900.0,3.0,apartment,2024,1986,1,25.333333333333332,745847,253924
4001496117,"Schorenstrasse 56,",9000 St. Gallen,3,89.16502115655854,1645.0,9.25,apartment,2018,1986,1,18.448938593438577,745113,254624
4001510320,"Andwilerstrasse 56,",9200 Gossau SG,2,66.0,1860.0,4.67,apartment,2018,2025,0,28.181818181818183,738030,253752
4001585637,"Zürcherstrasse 216a,",9014 St. Gallen,4,92.0,1790.0,4.0,apartment,2018,1986,1,19.456521739130434,743084,252952
4001587542,"Hauptstrasse 99,",9430 St. Margrethen SG,4,89.16502115655854,1550.0,3.75,apartment,2018,1986,1,17.3834983707172,765388,258147
4001608309,"Dorfstrasse 45,",9425 Thal,1,89.16502115655854,825.0,2.5,apartment,2018,1971,0,9.25250719731722,759857,259828
4001636111,"Lärchenstrasse 5,",9630 Wattwil,4,76.0,1760.0,9.25,apartment,2018,1986,1,23.157894736842106,725496,239260
4001636114,"Konsumstrasse 3,",9606 Bütschwil,3,86.0,1790.0,3.67,apartment,2018,1986,1,20.813953488372093,723398,246620
4001637083,"Obstgartenstrasse 12a,",9300 Wittenbach,3,79.0,1660.0,7.0,apartment,2018,1996,0,21.0126582278481,746938,258302
4001668678,"Spelterinistrasse 8b,",9602 Bazenheid,2,63.0,1860.0,6.75,apartment,2018,2020,0,29.523809523809526,722911,252651
4001669066,"Bahnhofstr. 40a,",9200 Gossau SG,3,108.0,2140.0,5.0,apartment,2018,2008,1,19.814814814814813,736838,252883
4001669281,"Brühlbleichestrasse 10,",9000 St. Gallen,2,47.0,1170.0,4.25,apartment,2014,1920,0,24.893617021276597,746711,255119
4001670394,"Schöntalstrasse 1a,",9450 Altstätten SG,4,120.0,1380.0,4.75,apartment,2018,1986,0,11.5,759091,249871
4001686259,"Zilstrasse 74a,",9016 St. Gallen,4,115.0,2095.0,6.0,apartment,2018,1985,0,18.217391304347824,748833,256543
4001731280,"Bahnhofstrasse 24,",8730 Uznach,3,98.0,1850.0,3.25,apartment,2018,2012,0,18.877551020408163,716875,231680
4001743104,"St. Gallerstrasse 56 A,",9500 Wil SG,5,127.0,2290.0,8.75,house,2024,1986,0,18.031496062992126,722210,258262
4001749454,"Chellenweiherweg 2a,",9200 Gossau SG,3,89.16502115655854,1790.0,5.33,apartment,2018,1986,1,20.075136828118573,738133,253558
4001749533,"Brugghalden 6,",9300 Wittenbach,3,80.0,1390.0,11.25,apartment,2018,1986,1,17.375,747768,257465
4001763260,"St. Leonhardstrasse 75,",9000 St. Gallen,4,89.16502115655854,2490.0,5.5,apartment,2018,1986,1,27.925748995539244,746630,253632
4001770886,"Untere Kräzern 2a,",9015 St. Gallen,4,22.0,150.0,10.33,apartment,2018,2010,0,6.818181818181818,742000,252384
4001792926,,,4,135.0,2900.0,6.273466042154566,apartment,2018,2023,0,21.48148148148148,743113,250445
4001800298,"Hauptstrasse 24A,",9400 Rorschach,2,89.16502115655854,1090.0,4.5,apartment,2018,1986,0,12.224524660697902,755052,260624
4001800364,"Hauptstrasse 83,",9113 Degersheim,5,102.0,1390.0,3.5,house,2018,1986,1,13.627450980392156,732716,248295
4001806536,"Thurgauerstrasse 27,",9400 Rorschach,3,75.0,1320.0,5.75,apartment,2018,1986,0,17.6,754341,260753
4001817408,"Langgasse 89,",9008 St. Gallen,2,70.0,1390.0,5.0,apartment,2018,1986,0,19.857142857142858,747300,256193
4001823979,"Wuhrstrasse 1,",9450 Lüchingen,4,89.16502115655854,690.0,5.33,apartment,2018,1986,0,7.738460565028947,759734,250680
4001834825,,,4,100.0,1990.0,6.273466042154566,apartment,2018,1920,1,19.9,743113,250445
4001834826,,,4,100.0,1990.0,6.273466042154566,apartment,2025,1920,1,19.9,743113,250445
4001836077,,,4,100.0,1990.0,6.273466042154566,apartment,2018,1920,0,19.9,743113,250445
4001837597,"Ringstrasse 4,",9200 Gossau SG,1,117.0,1990.0,5.5,apartment,2018,2015,1,17.00854700854701,736294,253050
4001838585,"Langgasse 155,",9008 St. Gallen,3,77.0,1510.0,9.67,apartment,2018,1996,0,19.61038961038961,747738,257240
4001847302,"Talhofstrasse 2b,",9030 Abtwil SG,3,109.0,2580.0,8.67,apartment,2018,2024,1,23.6697247706422,741707,253967
4001847547,"Iddastrasse 30a,",9008 St. Gallen,4,86.0,1700.0,4.0,apartment,2018,1986,0,19.767441860465116,747040,255913
4001850958,"Säntisstrasse 3,",9240 Uzwil,2,89.16502115655854,1313.0,7.0,apartment,2018,1986,0,14.725505394033345,727592,255537
4001851956,"Bernhardswiesweg 4,",9014 St. Gallen,4,85.0,1620.0,11.5,apartment,2018,1982,0,19.058823529411764,743752,252641
4001852220,"Schönaustrasse 81,",9000 St. Gallen,4,89.16502115655854,2140.0,4.75,apartment,2024,1986,1,24.00044291182891,744092,253528
4001860243,"Resedastrasse 3,",9404 Rorschacherberg,3,92.0,1740.0,7.5,apartment,2016,1984,1,18.91304347826087,754306,259867
4001868849,"Fanenrietstrasse 3,",7320 Sargans,4,122.0,2645.0,12.33,apartment,2018,1986,1,21.68032786885246,752809,213652
4001868857,"St. Gallerstrasse 113,",9230 Flawil,4,110.0,2590.0,8.25,apartment,2018,1986,1,23.545454545454547,732632,252737
4001868868,,,4,89.16502115655854,1754.2505376344086,6.273466042154566,apartment,2018,1986,0,19.674200879224202,743113,250445
4001874800,"Eichwiesstrasse 18a,",8645 Jona,3,89.16502115655854,3300.0,7.75,apartment,2018,1986,1,37.01002878926888,705878,231335
4001875372,"Grenzstrasse 13,",9430 St. Margrethen SG,4,98.0,1525.0,3.75,apartment,2018,1986,0,15.561224489795919,765634,258188
4001878700,"Spelterinistrasse 28,",9602 Bazenheid,4,85.0,1440.0,8.25,apartment,2018,1986,1,16.941176470588236,722659,252562
4001880161,"Paradiesstrasse 16,",9400 Rorschach,5,89.16502115655854,1600.0,6.25,house,2018,1986,0,17.944256382675817,754749,260027
4001883817,"Fellenbergstrasse 67,",9000 St. Gallen,3,81.0,1480.0,8.5,apartment,2018,1986,0,18.271604938271604,745423,253345
4001885920,"Hauptgasse 16,",9620 Lichtensteig,4,145.0,2360.0,2.33,apartment,2025,1850,1,16.275862068965516,724620,242685
4001886524,"Bruggwaldstrasse 100,",9300 Wittenbach,6,165.0,1940.0,9.5,house,2005,1967,1,11.757575757575758,747809,257672
4001889182,"Bahnhofstrasse 31,",7323 Wangs,1,22.0,990.0,6.273466042154566,apartment,2018,1982,1,45.0,751608,211470
4001895897,"Schützenwiesweg 2,",9240 Uzwil,3,83.0,1540.0,4.25,apartment,2018,1986,0,18.55421686746988,728164,255285
4001900156,,,4,89.16502115655854,1800.0,6.273466042154566,apartment,2018,1986,0,20.187288430510296,743113,250445
4001901217,"Hagenbuchstrasse 31,",9000 St. Gallen,3,75.0,1355.0,9.0,apartment,2018,1986,0,18.066666666666666,747970,255066
4001902787,"Stelzenrebenstrasse 3,",9403 Goldach,5,105.0,2015.0,7.0,house,2018,1986,1,19.19047619047619,753568,260721
4001905646,"Obstgartenstrasse 12,",9300 Wittenbach,3,78.0,1750.0,5.75,apartment,2018,1996,0,22.435897435897434,746937,258321
4001908740,"Bahnhofstrasse 8,",9475 Sevelen,4,120.0,2640.0,3.5,apartment,2018,1986,1,22.0,755846,221305
4001913523,"Teufenerstr. 121 a,",9000 St. Gallen,2,89.16502115655854,1140.0,9.0,apartment,2018,1986,0,12.785282672656521,744458,253508
4001913532,"Hauptstrasse 83,",9113 Degersheim,3,68.0,1190.0,3.5,apartment,2018,1986,1,17.5,732716,248295
4001913559,"Franklinstrasse 19,",9400 Rorschach,6,120.0,1530.0,7.0,house,2018,1986,0,12.75,754671,259972
4001914219,"Treuackerstrasse 33,",9000 St. Gallen,3,78.0,1390.0,8.25,apartment,2018,1986,1,17.82051282051282,745224,253391
4001914878,"Rorschacherstrasse 82,",9450 Altstätten SG,4,154.0,1990.0,7.75,apartment,2018,1986,0,12.922077922077921,759600,250515
4001917571,"Oststrasse 19,",9000 St. Gallen,3,89.16502115655854,2050.0,6.25,apartment,2018,1986,1,22.991078490303394,747473,255264
4001917585,"Oberzilstrasse 17,",9016 St. Gallen,3,80.0,1550.0,9.0,apartment,2008,1970,0,19.375,748433,256432
4001920275,"Johannes-Brasselstrasse 19,",9430 St. Margrethen SG,4,120.0,2200.0,5.5,apartment,2018,1986,0,18.333333333333332,765886,258105
4001923855,"Eschlenstrasse 48,",9404 Rorschacherberg,4,80.0,1450.0,13.5,apartment,2018,1986,1,18.125,754065,258547
4001930495,"Langgasse 108/110,",9008 St. Gallen,3,79.0,1595.0,6.0,apartment,2018,1986,0,20.189873417721518,747458,256356
4001931425,"Adlerstrasse 16,",9463 Oberriet,3,89.16502115655854,1540.0,8.0,apartment,2018,1986,0,17.271346768325476,760864,242775
4001937026,"Ruhbergstrasse 22,",9230 Flawil,4,89.16502115655854,1770.0,5.5,apartment,2018,1994,1,19.850833623335124,731169,253579
4001938530,"Chellenweiherweg 4,",9200 Gossau SG,4,102.0,2065.0,6.0,apartment,2018,1986,1,20.245098039215687,738184,253569
4001940938,"Teufenerstrasse 180,",9012 St. Gallen,2,38.0,1060.0,14.75,apartment,2018,2015,1,27.894736842105264,745767,252436
4001940994,"Schibistrasse 10,",9000 St. Gallen,3,65.0,1280.0,5.0,apartment,2018,1986,0,19.692307692307693,744104,253578
4001948170,"Bachwiesstrasse 1,",9404 Rorschacherberg,2,89.16502115655854,1290.0,3.5,apartment,2018,1986,1,14.46755670853238,756224,260531
4001949087,"Zilstrasse 12a,",9016 St. Gallen,3,75.0,1540.0,7.25,apartment,2018,1986,1,20.533333333333335,748307,256377
4001954986,"Säntisstrasse 10,",9400 Rorschach,2,89.16502115655854,990.0,6.0,apartment,2018,1986,0,11.103008636780663,754122,260408
4001957757,"St. Gallerstrasse 66,",9200 Gossau SG,2,38.0,1205.0,2.25,apartment,2013,1920,0,31.710526315789473,736749,253305
4001962032,"Feldgass 10,",9478 Azmoos,5,137.0,1990.0,5.0,house,2018,1967,1,14.525547445255475,754948,216195
4001963811,"Spisergasse 34,",9000 St. Gallen,3,58.0,1290.0,1.75,apartment,2018,1986,0,22.24137931034483,746370,254440
4001967531,"Gerbestrasse 7,",9000 St. Gallen,2,62.0,1330.0,2.0,apartment,2019,1920,0,21.451612903225808,744540,253972
4001978094,"Ringstrasse 4d (21800),",8737 Gommiswald,2,80.0,1850.0,3.0,apartment,2018,2024,1,23.125,719816,232595
4001979021,"Kirchstrasse 1a,",9327 Tübach,4,117.0,2180.0,3.67,apartment,2018,2006,1,18.632478632478634,751762,261482
4001984334,"Sonnrainweg 12,",9008 St. Gallen,1,24.0,780.0,8.0,apartment,2010,1976,0,32.5,747738,257057
4001996601,"Friedeggstrasse 3,",9000 St. Gallen,3,85.0,1450.0,6.25,apartment,2016,1986,1,17.058823529411764,747466,255293
4001997051,"Bischofszellerstr. 16,",9200 Gossau SG,4,105.0,2180.0,5.25,apartment,2018,2013,1,20.761904761904763,736341,253364
4001997461,"Sonnrainweg 4,",9008 St. Gallen,4,90.0,1790.0,10.0,apartment,2010,1976,0,19.88888888888889,747733,257133
4002000456,"Haldenstrasse 21,",9000 St. Gallen,2,89.16502115655854,1298.0,3.5,apartment,2018,1986,0,14.557277990445758,745846,253904
4002002387,"Oberstrasse 200,",9000 St. Gallen,4,89.16502115655854,1450.0,10.25,apartment,2018,1986,0,16.26198234679996,744311,253078
4002002388,"Oberstrasse 200,",9000 St. Gallen,3,89.16502115655854,1280.0,10.25,apartment,2018,1986,0,14.355405106140655,744311,253078
4002002472,"Ahornstrasse 23a,",9000 St. Gallen,1,33.0,1050.0,7.75,apartment,2018,2022,1,31.818181818181817,743993,253264
4002004099,"Sonnrainweg 10,",9008 St. Gallen,3,70.0,1490.0,8.0,apartment,2010,1976,0,21.285714285714285,747739,257066
4002005716,,,3,76.0,1250.0,6.273466042154566,apartment,2022,1980,1,16.44736842105263,743113,250445
4002007135,"Reitbahnstrasse 29,",9400 Rorschach,3,89.16502115655854,1480.0,4.75,apartment,2025,1986,0,16.598437153975134,754426,260415
4002007136,"Löwenstrasse 23,",9400 Rorschach,1,89.16502115655854,980.0,4.75,apartment,2018,1986,1,10.99085703438894,754472,260418
4002007619,"Sankt Gallerstrasse 57,",9300 Wittenbach,2,89.16502115655854,1360.0,10.5,apartment,2018,1986,1,15.252617925274446,747917,257557
4002010471,"Zürcherstrasse 7,",8730 Uznach,3,92.0,2073.0,2.5,apartment,2018,2012,0,22.532608695652176,716930,231646
4002017551,,,4,90.0,1960.0,6.273466042154566,apartment,2018,1920,1,21.77777777777778,743113,250445
4002024955,"Hügelstrasse 12A,",9200 Gossau SG,4,92.0,1590.0,6.0,apartment,2018,1973,1,17.282608695652176,736722,252460
4002025350,"Wachsbleichestrassse 49,",9400 Rorschach,2,89.16502115655854,1340.0,5.0,apartment,2018,1986,0,15.028314720490998,755448,260325
4002025792,"Haini-Rennhas-Strasse 22,",9403 Goldach,3,71.0,1460.0,6.75,apartment,2005,1963,0,20.56338028169014,752545,260675
4002034060,"Rickenstrasse 20,",9014 St. Gallen,2,38.0,1200.0,4.0,apartment,2018,1930,0,31.57894736842105,742934,252461
4002037777,"Espenmoosstrasse 8,",9008 St. Gallen,2,56.0,1295.0,6.75,apartment,2018,1986,1,23.125,747569,256254
4002040335,"Obstgartenstrasse 12a,",9300 Wittenbach,4,100.0,1690.0,7.0,apartment,2018,1996,0,16.9,746938,258302
4002040349,"Obstgartenstrasse 12,",9300 Wittenbach,2,54.0,1450.0,5.75,apartment,2018,1996,0,26.85185185185185,746937,258321
4002041836,"Lettenweg 7,",9462 Montlingen,4,112.0,2280.0,7.5,apartment,2018,2024,0,20.357142857142858,762308,244276
4002042528,"Hauptstrasse 80,",9434 Au SG,3,61.0,1090.0,4.33,apartment,2018,1986,0,17.868852459016395,765702,256115
4002044550,"Teufenerstrasse 180,",9012 St. Gallen,2,44.0,990.0,14.75,apartment,2018,2020,0,22.5,745767,252436
4002049781,"Ahornstrasse 60,",9000 St. Gallen,3,76.0,1740.0,10.5,apartment,2018,2022,0,22.894736842105264,744266,253089
4002050752,"St. Gallerstrasse 163, 8645 Jona,",8645 Rapperswil-Jona,4,118.0,1260.0,6.0,apartment,2018,1986,0,10.677966101694915,707057,232034
4002051346,"St. Gallerstrasse 66,",9200 Gossau SG,3,58.0,1420.0,2.25,apartment,2013,1920,0,24.482758620689655,736749,253305
4002052731,"Tablatstr. 12b,",9016 St. Gallen,3,84.0,1530.0,8.75,apartment,2012,1981,1,18.214285714285715,749497,255954
4002054434,"Zilstrasse 60,",9016 St. Gallen,4,94.0,1740.0,7.5,apartment,2018,1986,0,18.51063829787234,748607,256657
4002061592,"Signalstrasse 8,",9400 Rorschach,2,52.0,1070.0,2.75,apartment,2018,1986,1,20.576923076923077,754757,260573
4002063220,"Iddastrasse 30a,",9008 St. Gallen,3,62.0,1230.0,4.0,apartment,2018,1986,0,19.838709677419356,747040,255913
4002064376,"Bahnhofstrasse 7,",9443 Widnau,4,50.0,750.0,4.0,apartment,2018,1986,0,15.0,765390,253067
4002068548,"beim Berggasthaus Gonzen,",9478 Azmoos,2,43.0,1754.2505376344086,6.273466042154566,apartment,2018,2024,0,40.79652413103276,754948,216195
4002069205,"Chellenweiherweg 2a,",9200 Gossau SG,4,100.0,2095.0,6.0,apartment,2018,1986,1,20.95,738133,253558
4002070383,"Kruft 8,",9425 Thal,3,70.0,1930.0,3.0,apartment,2018,2013,1,27.571428571428573,760887,259272
4002070469,"Bahnhofstrasse 23,",7320 Sargans,4,89.16502115655854,1720.0,3.0,apartment,2018,1986,1,19.290075611376505,752350,212505
4002073650,"Romanshornerstrasse 27,",9300 Wittenbach,3,87.0,1690.0,5.75,apartment,2018,1986,1,19.42528735632184,747090,258379
4002073836,"Erlenstrasse 5,",9212 Arnegg,4,106.0,1990.0,7.5,apartment,2018,1986,1,18.77358490566038,736526,256126
4002077385,"Stadtbühlstr. 4,",9200 Gossau SG,3,95.0,1909.0,4.0,apartment,2018,2008,1,20.094736842105263,736851,252837
4002081485,,,6,180.0,3440.0,6.273466042154566,house,2015,1980,0,19.11111111111111,743113,250445
4002085934,"Hauptstrasse 49,",9400 Rorschach,4,149.0,1990.0,3.25,apartment,2015,1730,0,13.355704697986576,754890,260620
4002086522,"Merkurstrasse 1,",9000 St. Gallen,1,24.0,1135.0,1.5,apartment,2025,2025,0,47.291666666666664,745853,254320
4002086616,"Poststrasse 15,",9477 Trübbach,2,47.0,1700.0,4.75,apartment,2018,1986,1,36.170212765957444,754877,215745
4002086846,"Fellenbergstrasse 67,",9000 St. Gallen,1,32.0,940.0,8.5,apartment,2018,1986,0,29.375,745423,253345
4002089487,"Espenstrasse 139,",9443 Widnau,4,89.16502115655854,2850.0,10.25,apartment,2025,2002,1,31.963206681641303,765925,254054
4002089488,"Steigstrasse 16a,",9444 Diepoldsau,4,48.0,930.0,4.25,apartment,2018,1986,0,19.375,767383,250887
4002090012,"Hauptstrasse 99,",9430 St. Margrethen SG,3,89.16502115655854,1390.0,3.75,apartment,2018,1986,1,15.589072732449617,765388,258147
4002090087,"Auenstrasse 4,",9434 Au SG,4,67.0,1450.0,6.33,apartment,2018,1986,0,21.64179104477612,765996,255947
4002090369,,,3,65.0,1320.0,6.273466042154566,apartment,2025,2020,0,20.307692307692307,743113,250445
4002091589,"Linsebühlstrasse 50,",9000 St. Gallen,2,89.16502115655854,1240.0,4.25,apartment,2018,1986,1,13.90679869657376,746674,254471
4002092322,"Lindenstrasse 155,",9016 St. Gallen,2,52.0,1500.0,4.5,apartment,2018,1986,0,28.846153846153847,748212,255995
4002093053,,,4,130.0,2200.0,6.273466042154566,apartment,2022,1900,1,16.923076923076923,743113,250445
4002094688,"Oberstrasse 201,",9000 St. Gallen,2,49.0,1240.0,10.75,apartment,2006,1962,0,25.306122448979593,744336,253043
