id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
3000485250,"Hamelstrasse 1,",9320 Arbon,3,113.0,2421.0,2.75,apartment,2018,2020,1,21.424778761061948,750174,264107
3002715275,"Schützenstrasse 4,",8575 Bürglen TG,4,11.0,70.0,3.67,apartment,2018,1989,0,6.363636363636363,729020,267883
4000708738,"Mirabellenweg 4,",8590 Romanshorn,4,7.0,90.0,5.67,apartment,2018,2011,0,12.857142857142858,744766,269925
4000939381,"Märwilerstrasse 41,",9556 Affeltrangen,1,94.28719008264463,550.0,6.67,apartment,2018,1989,0,5.833242029144297,720398,265063
4001020026,"Sommeristrasse 22,",8580 Amriswil,4,133.0,2700.0,10.0,apartment,2024,1989,0,20.30075187969925,739677,268754
4001092631,"Amriswilerstrasse 5,",8570 Weinfelden,3,89.0,1830.0,3.75,apartment,2018,1989,1,20.56179775280899,725980,269909
4001349554,"Amriswilerstrasse 5,",8570 Weinfelden,4,127.0,2000.0,3.75,apartment,2018,1989,1,15.748031496062993,725980,269909
4001543499,"Brauerstrasse 5,",9320 Arbon,4,72.0,1290.0,5.0,apartment,2018,1989,0,17.916666666666668,749943,264808
4001565743,"Stickereistrasse 4,",9320 Arbon,1,82.0,1780.0,2.75,apartment,2018,2015,0,21.70731707317073,750187,264152
4001596159,"Wiesenstrasse 4,",8580 Amriswil,5,150.0,2080.0,9.75,house,2018,1989,1,13.866666666666667,740707,267429
4001624397,,,4,85.0,1800.0,6.228833333333333,apartment,2024,1900,0,21.176470588235293,727674,269351
4001653769,"Hauptstrasse 28,",8546 Islikon,4,94.28719008264463,2270.0,8.0,apartment,2018,1989,1,24.07538073846828,705654,267018
4001688799,"Romanshornerstrasse 225,",8580 Hefenhofen,4,120.0,1900.0,6.228833333333333,apartment,2018,1989,1,15.833333333333334,741439,268656
4001712535,,,8,213.0,2920.0,6.228833333333333,house,2018,1991,1,13.708920187793428,727674,269351
4001730200,"Brühlstrasse 96,",9320 Arbon,4,111.0,2040.0,8.33,apartment,2018,1989,1,18.37837837837838,748842,264034
4001744943,"Laagasse 1,",9565 Rothenhausen,4,130.0,2460.0,10.5,apartment,2018,2022,1,18.923076923076923,725144,267829
4001761110,"Romanshornerstrasse 7,",8592 Uttwil,9,208.0,3900.0,6.0,house,2018,1808,1,18.75,743234,271961
4001783318,"Hamelplatz 2,",9320 Arbon,3,90.0,2034.0,3.75,apartment,2018,2020,1,22.6,750182,264072
4001786289,"Hubstrasse 9,",8590 Romanshorn,4,77.0,1430.0,6.25,apartment,2012,1989,1,18.571428571428573,745086,270169
4001787073,"Reckholdernstrasse 13,",8590 Romanshorn,4,75.0,1440.0,6.75,apartment,2018,1989,0,19.2,745604,270651
4001799704,"Giessereistrasse 11,",9320 Arbon,2,60.0,1510.0,7.0,apartment,2018,1989,1,25.166666666666668,750031,263924
4001809246,"Buchenweg 1,",8266 Steckborn,4,70.0,1360.0,5.75,apartment,2018,1989,1,19.428571428571427,715940,280310
4001818750,"Städeliweg 5,",9220 Bischofszell,3,82.0,1625.0,6.75,apartment,2018,1996,1,19.817073170731707,735927,262177
4001857355,"Wilerstrasse 20,",9542 Münchwilen TG,2,65.0,1470.0,3.5,apartment,2018,2015,0,22.615384615384617,717656,259605
4001859422,"Hofenstrasse 2,",9542 Münchwilen TG,4,98.0,1990.0,8.0,apartment,2018,1995,1,20.306122448979593,716863,259503
4001867453,"Metropolstrasse 4,",9320 Arbon,3,63.0,1270.0,5.0,apartment,2022,1960,1,20.158730158730158,749791,264074
4001883013,"Hirschenweg 2,",8580 Amriswil,2,94.28719008264463,1285.0,4.0,apartment,2018,1989,1,13.628574559000768,738961,267705
4001884415,"St. Gallerstrasse 194,",9548 Matzingen,4,121.0,2780.0,13.0,apartment,2018,1989,1,22.975206611570247,711146,266284
4001884416,"St. Gallerstrasse 194,",9548 Matzingen,5,161.0,3200.0,13.0,house,2018,1989,1,19.875776397515526,711146,266284
4001919304,,,5,197.0,2950.0,6.228833333333333,house,2018,2013,0,14.974619289340101,727674,269351
4001923828,,,3,54.0,1280.0,6.228833333333333,apartment,2020,1850,0,23.703703703703702,727674,269351
4001924784,"Giessereistrasse 11,",9320 Arbon,2,53.0,1460.0,7.0,apartment,2018,1989,1,27.547169811320753,750031,263924
4001927172,"Hubstrasse 7,",8590 Romanshorn,4,77.0,1430.0,6.5,apartment,2018,1989,1,18.571428571428573,745076,270133
4001945754,"Brühlstrasse 63,",9320 Arbon,3,89.0,1290.0,10.0,apartment,1994,1960,0,14.49438202247191,749373,264199
4001946487,"Seeblickstrasse 1,",9320 Arbon,4,105.0,1790.0,7.25,apartment,2018,1989,0,17.047619047619047,749562,265199
4001947534,"Bruggmühle 7,",9220 Bischofszell,4,203.0,2950.0,5.75,apartment,2023,1989,1,14.532019704433498,735710,262294
4001947535,"Bruggmühle 7,",9220 Bischofszell,3,203.0,2950.0,5.75,apartment,2023,1989,1,14.532019704433498,735710,262294
4001950385,"Poststrasse 11A,",8586 Erlen,4,115.0,2100.0,8.67,apartment,2018,2006,1,18.26086956521739,734877,268103
4001956031,"Untere Bahnhofstrasse 12,",8580 Amriswil,4,100.0,1860.0,5.75,apartment,2018,1989,1,18.6,740469,268436
4001957082,"Hauptstrasse 146b,",8272 Ermatingen,2,52.0,1400.0,2.67,apartment,2018,1989,1,26.923076923076923,723681,280940
4001958909,"Hauptstrasse 4,",8586 Kümmertshausen,4,100.0,1550.0,6.228833333333333,apartment,2018,1992,1,15.5,735568,269726
4001961301,,,3,97.0,1490.0,6.228833333333333,apartment,2023,1989,0,15.360824742268042,727674,269351
4001963564,,,4,94.28719008264463,1793.8021148036253,6.228833333333333,apartment,2018,1989,0,19.02487616007351,727674,269351
4001967635,"Amriswilerstrasse 13,",8589 Sitterdorf,2,60.0,1490.0,6.0,apartment,2018,1989,1,24.833333333333332,735834,262464
4001975771,"Pestalozzistrasse 5,",9320 Arbon,3,60.0,1250.0,4.75,apartment,2024,1910,1,20.833333333333332,749784,264200
4001975984,"Walzmühlenstrasse 49/49a,",8500 Frauenfeld,4,163.0,2990.0,8.75,apartment,2018,1989,0,18.34355828220859,711284,268461
4001976806,,,4,94.28719008264463,1793.8021148036253,6.228833333333333,apartment,2018,1989,0,19.02487616007351,727674,269351
4001992094,,,4,94.28719008264463,1950.0,6.228833333333333,apartment,2024,1989,0,20.681494466966143,727674,269351
4001999692,"Rodelstrasse 8,",8266 Steckborn,3,60.0,1270.0,6.75,apartment,2018,1989,0,21.166666666666668,716117,280286
4002004961,"Rebenacker 29,",9542 Münchwilen TG,4,103.0,2130.0,5.75,apartment,2018,2018,0,20.679611650485437,717173,259948
4002007600,"Brühlstrasse 63,",9320 Arbon,3,89.0,1350.0,10.0,apartment,1994,1960,0,15.168539325842696,749373,264199
4002007601,"Brühlstrasse 63,",9320 Arbon,3,89.0,1290.0,10.0,apartment,1994,1960,0,14.49438202247191,749373,264199
4002009644,,,4,94.28719008264463,1793.8021148036253,6.228833333333333,apartment,2018,1989,0,19.02487616007351,727674,269351
4002023100,"Hamelstrasse 19,",9320 Arbon,3,86.0,1760.0,5.5,apartment,2018,2016,0,20.46511627906977,750016,264014
4002024185,,,4,94.28719008264463,1793.8021148036253,6.228833333333333,apartment,2018,1989,0,19.02487616007351,727674,269351
4002024905,"Steckbornstrasse 1C,",8505 Pfyn,3,94.0,2330.0,6.33,apartment,2018,2023,1,24.78723404255319,713695,272778
4002024961,,,4,94.28719008264463,1793.8021148036253,6.228833333333333,apartment,2018,1989,0,19.02487616007351,727674,269351
4002025782,"Schützenstrasse 7b,",8575 Bürglen TG,4,113.0,2250.0,4.0,apartment,2018,2010,0,19.911504424778762,728927,267950
4002026368,"Thundorferstrasse 88/90,",8500 Frauenfeld,5,144.0,3490.0,5.5,house,2024,1989,1,24.23611111111111,710426,267516
4002028601,,,4,147.0,2660.0,6.228833333333333,apartment,2018,2025,1,18.095238095238095,727674,269351
4002041161,"Pestalozzistrasse 9,",9320 Arbon,3,94.28719008264463,950.0,4.75,apartment,2018,1989,0,10.075599868521968,749770,264213
4002047107,"Waidackerstrasse 9,",8592 Uttwil,3,86.0,1590.0,11.33,apartment,2018,1989,0,18.488372093023255,743455,271738
4002050033,"Käsereistrasse 6,",8582 Dozwil,7,208.0,3100.0,3.33,house,2025,1989,1,14.903846153846153,741424,271211
4002051339,"Romanshornerstr. 76b,",9320 Arbon,4,81.0,1320.0,6.0,apartment,2018,1956,1,16.296296296296298,749368,265105
4002055567,,,5,120.0,1900.0,6.228833333333333,house,2000,1650,0,15.833333333333334,727674,269351
4002064355,"Luggenackerstrasse 3,",8596 Scherzingen,4,94.28719008264463,2340.0,3.67,apartment,2018,1971,0,24.817793360359374,734426,277264
4002070335,,,4,94.28719008264463,750.0,6.228833333333333,apartment,2018,1989,0,7.954420948833133,727674,269351
4002070859,"Schottengasse 17,",9220 Bischofszell,2,55.0,940.0,6.5,apartment,2018,1989,0,17.09090909090909,735579,261943
4002071612,"Oberwiesenstrasse 55,",8500 Frauenfeld,4,99.0,1930.0,4.75,apartment,1999,1972,0,19.494949494949495,708678,268328
4002072703,"Lindenstrasse 22,",8370 Sirnach,2,164.0,2555.0,6.75,apartment,2018,2013,1,15.579268292682928,716934,258056
4002073086,"Rennweg 6,",8580 Amriswil,3,94.28719008264463,1400.0,2.5,apartment,2018,1989,1,14.848252437821847,740288,268195
4002074516,"Schützenstrasse 4,",8575 Bürglen TG,2,34.0,1060.0,3.67,apartment,2018,1989,0,31.176470588235293,729020,267883
4002076366,"Ifangweg 5,",8570 Weinfelden,4,94.28719008264463,1980.0,5.5,apartment,2018,1995,0,20.99967130491947,724999,270267
4002076512,"Obertor 30,",8253 Diessenhofen,3,93.0,1650.0,4.5,apartment,2018,1989,0,17.741935483870968,698683,282832
4002076714,"Hauptstrasse 48a,",8586 Erlen,3,94.28719008264463,1465.0,10.0,apartment,2018,1989,0,15.537635586720718,735107,267953
4002083820,"Bahnhofstrasse 4a,",8360 Eschlikon TG,2,61.0,1690.0,5.67,apartment,2018,2020,1,27.704918032786885,714679,257899
4002085471,"Hauptstrasse 29,",9565 Bussnang,1,22.0,700.0,7.5,apartment,2018,1989,0,31.818181818181817,723728,268718
4002088209,"Schwalbenstrasse 1a,",8374 Dussnang,3,66.0,1650.0,9.0,apartment,2018,2025,0,25.0,715339,255506
4002092374,"Zihlstrasse 10,",8280 Kreuzlingen,4,94.28719008264463,2040.0,5.67,apartment,2018,1981,0,21.63602498082612,732573,278110
4002094315,"Sportplatzstrasse 11,",8580 Amriswil,5,172.0,2350.0,6.75,house,2018,1989,1,13.662790697674419,739270,267712
4002094323,"Schaffhauserstr. 9,",8253 Diessenhofen,3,60.0,1490.0,7.0,apartment,2018,1968,1,24.833333333333332,698224,282773
4002094327,"Mülibach 2,",8259 Wagenhausen,4,147.0,2859.0,12.75,apartment,2018,1989,1,19.448979591836736,705634,279783
4002094333,"Sportplatzstrasse 9,",8580 Amriswil,4,85.0,1305.0,6.75,apartment,2018,1989,0,15.352941176470589,739305,267692
4002097871,"Seestrasse 25,",9320 Arbon,3,96.0,1950.0,6.75,apartment,2022,1965,1,20.3125,749380,265181
4002100952,,,4,100.0,2950.0,6.228833333333333,apartment,2018,2023,0,29.5,727674,269351
4002106579,,,4,80.0,1750.0,6.228833333333333,apartment,2018,1900,0,21.875,727674,269351
4002112649,"Brühlstrasse 63,",9320 Arbon,3,89.0,1380.0,10.0,apartment,1994,1960,0,15.50561797752809,749373,264199
4002114277,"Wisliweg 2/4,",8573 Siegershausen,4,112.0,2260.0,6.228833333333333,apartment,2018,2025,0,20.178571428571427,730180,274930
4002114278,"Wisliweg 2/4,",8573 Siegershausen,3,85.0,1920.0,6.228833333333333,apartment,2018,2025,0,22.58823529411765,730180,274930
4002118026,"Hubstrasse 5,",8590 Romanshorn,3,65.0,1230.0,6.5,apartment,2019,1962,1,18.923076923076923,745087,270114
4002121631,"Morgenstrasse 13,",8266 Steckborn,2,39.0,845.0,7.75,apartment,2018,1989,0,21.666666666666668,716239,280772
4002129943,"Scheuchenstr. 26,",8500 Frauenfeld,4,88.0,1360.0,4.75,apartment,1983,1982,0,15.454545454545455,708915,268536
4002132197,"Wielsteinstrasse 28,",8500 Frauenfeld,5,220.0,4500.0,5.75,house,2018,1966,1,20.454545454545453,710455,268649
4002132549,"Wiesenpark 4,",9220 Bischofszell,4,85.0,1415.0,9.0,apartment,2018,1989,1,16.647058823529413,735380,261316
