id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
109557177,"Quartiere Sagittario,",6512 Giubiasco,4,35.0,900.0,6.42392156862745,apartment,2019,1987,1,25.714285714285715,721521,114988
109559147,"Quartiere Sagittario,",6512 Giubiasco,2,68.0,1200.0,6.42392156862745,apartment,2019,1987,0,17.647058823529413,721521,114988
109559241,"Quartiere Sagittario,",6512 Giubiasco,3,98.0,1400.0,1.5,apartment,2019,1987,1,14.285714285714286,721521,114988
109559317,"Quartiere Sagittario,",6512 Giubiasco,4,114.0,1570.0,6.42392156862745,apartment,2019,1987,1,13.771929824561404,721521,114988
3001945696,"VIA CEREDA 7C,",6828 Balerna,3,90.0,1230.0,13.75,apartment,2019,1987,0,13.666666666666666,721027,78520
3001945724,"Via al Mulino 10,",6995 Molinazzo di Monteggio,4,109.90926013071896,1140.0,6.42392156862745,apartment,2019,1987,0,10.372192467169352,707071,93991
3002580124,,,2,91.0,1300.0,6.42392156862745,apartment,2019,1987,0,14.285714285714286,717110,99592
3003050080,"Via Saleggi 1,",6512 Giubiasco,3,79.0,1490.0,2.25,apartment,2019,1987,1,18.860759493670887,721675,115298
3003136795,"Viale C. Olgiati 20,",6512 Giubiasco,2,68.0,1200.0,2.0,apartment,2019,1987,1,17.647058823529413,721644,115044
3003138579,"Via Motta 6 mendrisio,",6850 Mendrisio,2,55.0,1400.0,4.75,apartment,2019,1987,1,25.454545454545453,719706,80776
3003221874,"Via Antonio Brenni 4,",6850 Mendrisio,1,109.90926013071896,650.0,4.0,apartment,2019,2020,1,5.913969389175508,719754,80956
3003221876,"Via Antonio Brenni 4,",6850 Mendrisio,1,109.90926013071896,700.0,4.0,apartment,2019,2020,1,6.368890111419778,719754,80956
3003324284,"Via Stazione  51,",6987 Caslano,3,77.0,1550.0,4.0,apartment,2019,1987,1,20.12987012987013,711570,92539
3003522316,,,5,300.0,7000.0,6.42392156862745,house,2019,1987,0,23.333333333333332,717110,99592
4000121741,"Piazza Grande 13,",6600 Locarno,4,94.0,1490.0,2.25,apartment,2019,1956,1,15.851063829787234,704740,113952
