id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace,price_per_m2,lat,lon
3002648036,"Franklinstrasse 12,",8050 Zürich,1,26.0,2850.0,3.0,apartment,2023,1988,0,109.61538461538461,683515,251531
4000495519,"Franklinstrasse 12,",8050 Zürich,1,36.0,3150.0,3.0,apartment,2023,1988,0,87.5,683515,251531
4000706591,"Zürcherstrasse 143,",8406 Winterthur,1,36.0,2100.0,2.25,apartment,2015,1988,0,58.333333333333336,695459,260723
4001053710,"Im Tubental 4,",8352 Elsau,1,18.0,320.0,10.0,apartment,2015,2024,0,17.77777777777778,701602,261855
4001454300,"Franklinstrasse 12,",8050 Zürich,2,51.0,3900.0,3.0,apartment,2023,1988,0,76.47058823529412,683515,251531
4001626953,"Meier-Bosshard-Strasse 9,",8048 Zürich,2,57.0,2580.0,3.75,apartment,2015,2024,1,45.26315789473684,679022,249231
4001668648,,,4,97.52,3218.112922002328,5.529468599033816,apartment,2015,1988,0,32.999517247767926,686690,249128
4001694283,"Birchstrasse 180,",8050 Zürich,3,74.0,6900.0,3.0,apartment,2015,2007,1,93.24324324324324,682990,252041
4001694286,"Birchstrasse 180,",8050 Zürich,2,55.0,4870.0,2.75,apartment,2015,2006,1,88.54545454545455,682990,252041
4001749947,"Jungholzstrasse 20,",8050 Zürich,1,43.0,1846.0,3.75,apartment,2015,1931,0,42.93023255813954,683446,251989
4001782931,"Zürcherstrasse 71,",8903 Birmensdorf ZH,4,97.52,3591.0,9.5,apartment,2015,1988,1,36.82321575061526,675777,245646
4001783149,"Tödistrasse 63,",8810 Horgen,2,57.0,3770.0,8.5,apartment,2024,2024,1,66.14035087719299,686848,234860
4001783150,,,4,97.52,3218.112922002328,5.529468599033816,apartment,2015,1988,0,32.999517247767926,686690,249128
4001790468,"Länggenstrasse 3,",8184 Bachenbülach,4,159.0,2990.0,8.25,apartment,2015,2002,0,18.80503144654088,683356,261947
4001800254,"Badenerstrasse 54,",8953 Dietikon,2,97.52,1740.0,4.75,apartment,2024,1988,1,17.842493847415916,672098,251237
4001800256,,,4,97.52,3218.112922002328,5.529468599033816,apartment,2015,1988,0,32.999517247767926,686690,249128
4001825603,,,4,97.52,3218.112922002328,5.529468599033816,apartment,2015,1988,0,32.999517247767926,686690,249128
4001869085,"Erlengutstrasse 8,",8703 Erlenbach ZH,2,73.0,3160.0,6.5,apartment,2015,2025,1,43.28767123287671,687350,239532
4001869086,"Erlengutstrasse 8,",8703 Erlenbach ZH,3,91.0,3790.0,6.5,apartment,2015,2025,1,41.64835164835165,687350,239532
4001869087,"Erlengutstrasse 6,",8703 Erlenbach ZH,4,110.0,4890.0,6.75,apartment,2015,2025,1,44.45454545454545,687332,239562
4001869088,"Rütiwiesenstr. 16,",8136 Gattikon,4,143.0,750.0,6.75,apartment,2015,1961,0,5.244755244755245,683807,237548
4001879895,"Rieterstrasse 11,",8002 Zürich,3,70.0,2850.0,4.5,apartment,2025,1894,0,40.714285714285715,682140,246034
4001880640,"Steinhaldenstrasse 62,",8002 Zürich,3,88.0,3930.0,5.25,apartment,2017,1913,0,44.65909090909091,682286,245826
4001885004,"Schönholzweg 43,",8409 Winterthur,3,92.0,3260.0,9.25,apartment,2015,2023,1,35.43478260869565,701200,262520
4001897256,"Schaffhauserstrasse 129,",8152 Glattbrugg,1,14.0,750.0,4.25,apartment,2015,1960,1,53.57142857142857,685154,254442
4001926348,,,4,97.52,3218.112922002328,5.529468599033816,apartment,2015,1988,0,32.999517247767926,686690,249128
4001927974,"Zwingliplatz 3,",8001 Zürich,3,172.0,5700.0,3.25,apartment,2015,1927,0,33.13953488372093,683528,247226
4001964303,"Dorfgasse 14,",8810 Horgen,2,83.0,2600.0,1.5,apartment,2015,1988,0,31.325301204819276,687828,235023
4001966608,"Buchholzstrasse 17,",8053 Zürich,2,57.0,2575.0,5.0,apartment,2015,2025,1,45.175438596491226,686542,246138
4001966783,"Mühlebachstr. 30a (Güggel),",8800 Thalwil,5,157.0,4950.0,5.529468599033816,house,2015,1988,1,31.528662420382165,685346,238616
4001976122,"Forchstrasse 261,",8032 Zürich,2,78.0,3080.0,4.0,apartment,2015,1961,1,39.48717948717949,685596,245911
4001977900,"Maurstrasse 2,",8117 Fällanden,3,99.0,2940.0,4.5,apartment,2015,1988,0,29.696969696969695,690696,247325
4001979914,"Kappelerhof,",8926 Kappel am Albis,4,97.52,3490.0,5.67,apartment,2015,1988,0,35.787530762920426,682256,231359
4001983884,"Sonneggstr. 41,",8006 Zürich,2,72.0,3420.0,4.25,apartment,2015,2025,0,47.5,683609,248326
4001986505,"Stapferstrasse 1,",8006 Zürich,3,97.52,4190.0,2.5,apartment,2025,1863,0,42.96554552912223,683705,248514
4001986526,"Stapferstrasse 1,",8006 Zürich,2,97.52,3290.0,2.5,apartment,2025,1863,0,33.73666940114848,683705,248514
4001990159,"Zürcherstrasse 100,",8800 Thalwil,2,49.0,2680.0,5.5,apartment,2015,2025,1,54.69387755102041,684839,238278
4001995103,"Emmerhofstrasse 13,",8192 Glattfelden,4,143.0,3150.0,3.67,apartment,2015,2019,1,22.027972027972027,680016,267906
4001996859,"Buchholzstrasse 15,",8053 Zürich,3,81.0,3990.0,4.5,apartment,2015,2025,1,49.25925925925926,686561,246154
4001999959,"Schöntalstrasse 18a,",8486 Rikon im Tösstal,4,153.0,2614.0,13.33,apartment,2015,2010,1,17.084967320261438,702164,256555
4002000511,"Bucheggstrasse 130,",8057 Zürich,4,125.0,4950.0,5.25,apartment,2015,2023,0,39.6,683018,250304
4002002092,"Erlenwiesenstrasse 20,",8152 Opfikon,2,46.0,2990.0,5.0,apartment,2015,1988,1,65.0,684901,253935
4002002444,"Höglerstr. 44,",8600 Dübendorf,2,82.0,2065.0,5.75,apartment,2015,1992,1,25.182926829268293,688789,249618
4002003120,"Seestrasse 136-142,",8707 Uetikon am See,2,92.0,3630.0,7.25,apartment,2015,1988,1,39.45652173913044,693788,234958
4002003145,"Weinbergstrasse 161,",8006 Zürich,2,78.0,2990.0,3.0,apartment,2021,1930,1,38.333333333333336,683091,249464
4002004600,"Obergasse 3,",8180 Bülach,3,97.52,1993.0,3.0,apartment,2015,1967,0,20.436833470057426,683077,263649
4002006204,"Wermatswilerstrasse,",8320 Fehraltorf,1,33.0,1690.0,8.0,apartment,2025,1988,0,51.21212121212121,699392,249125
4002017368,"Buckhauserstrasse 45,",8048 Zürich,2,75.0,2820.0,2.75,apartment,2015,1988,0,37.6,679685,248710
4002017696,"Seestrasse 261,",8038 Zürich,4,213.0,7960.0,6.5,apartment,2017,1988,1,37.370892018779344,682667,245051
4002021591,"Grüzenstrasse 44,",8400 Winterthur,3,82.0,2240.0,4.5,apartment,2025,1876,1,27.317073170731707,697973,261408
4002021605,"Töpferstrasse 15,",8400 Winterthur,5,140.0,3400.0,4.5,house,2025,1876,0,24.285714285714285,697988,261426
4002023792,"Buchholzstrasse 9,",8053 Zürich,2,54.0,2375.0,8.0,apartment,2015,2025,1,43.98148148148148,686543,246102
4002023847,"Buchholzstrasse 9,",8053 Zürich,3,90.0,3450.0,7.75,apartment,2015,2025,1,38.333333333333336,686543,246102
4002032198,"Hürstringstrasse 5,",8046 Zürich,3,90.0,2950.0,5.75,apartment,2015,2025,1,32.77777777777778,682104,252165
4002039927,"Grabenwies 32,",8057 Zürich,4,110.0,4320.0,3.75,apartment,1985,1941,0,39.27272727272727,682936,250809
4002045085,"Sunneraistr. 18-56,",8634 Hombrechtikon,6,168.0,3565.0,10.0,house,2015,1998,1,21.220238095238095,701431,233840
4002045115,"Renggerstrasse 19,",8038 Zürich,2,103.0,4100.0,4.75,apartment,2015,1988,1,39.80582524271845,682647,244501
4002046841,"Hofstrasse 53,",8032 Zürich,4,130.0,3450.0,4.25,apartment,2015,1928,1,26.53846153846154,684657,247395
4002047788,"Höglerstr. 36,",8600 Dübendorf,4,138.0,3609.0,6.25,apartment,2015,1992,0,26.152173913043477,688720,249681
4002048339,"Hohlstrasse 27,",8004 Zürich,3,73.0,3410.0,4.0,apartment,2015,1988,0,46.71232876712329,682190,247923
4002048658,"Lerchenhalde 4,",8703 Erlenbach ZH,4,104.0,3420.0,7.5,apartment,2024,2001,0,32.88461538461539,687656,240278
