id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3002263005,"Industriestrasse 173a,",8957 Spreitenbach,1.0,18.0,320,10.75,Hobby room,-1,2021,0
4001202001,"Sandäckerstrasse 1-9,",8957 Spreitenbach,4.5,114.0,3090,6.75,Apartment,-1,-1,0
4001202003,"Sandäckerstrasse 1-9,",8957 Spreitenbach,3.5,86.0,2530,6.75,Apartment,-1,-1,1
4001202005,"Sandäckerstrasse 1-9,",8957 Spreitenbach,5.5,146.0,3545,6.75,Apartment,-1,-1,0
4001202006,"Sandäckerstrasse 1-9,",8957 Spreitenbach,2.5,72.0,2215,6.75,Apartment,-1,-1,1
4001278820,"Hauptstrasse 37,",5113 Holderbank AG,1.0,-1,750,3.0,Advertising area,-1,2024,0
4001421306,"Laurenzenvorstadt 89,",5000 Aarau,-1,-1,2250,4.25,Cellar compartment,-1,1835,0
4001452690,"Baslerstrasse 6,",4310 Rheinfelden,3.5,125.0,3150,2.25,Apartment,-1,2016,1
4001471055,"Fliederstrasse 12,",4663 Aarburg,1.0,66.0,1100,8.67,Retail,-1,2024,0
4001585413,"Marktgasse 176,",5080 Laufenburg,4.5,100.0,1860,5.0,Maisonette / Duplex,2023,-1,1
4001639977,"Neumarktplatz 7,",5200 Brugg AG,1.5,28.0,1800,2.0,Apartment,2022,-1,0
4001645475,"Pappelweg 2,",4800 Zofingen,2.5,-1,1580,7.25,Apartment,-1,-1,0
4001698475,"Schmiedgasse 6,",4665 Oftringen,2.5,62.0,1610,15.5,Apartment,-1,2025,1
4001698483,"Schmiedgasse 4,",4665 Oftringen,3.5,109.0,2310,15.5,Maisonette / Duplex,-1,2025,1
4001698489,"Kreuzstrasse 1,",4665 Oftringen,3.5,88.0,2140,15.5,Apartment,-1,2025,1
4001724954,"Dorfstrasse 52,",5745 Safenwil,3.5,57.0,1620,8.33,Apartment,-1,-1,1
4001763701,"Langäckerstrasse 49,",8957 Spreitenbach,4.5,90.0,1965,6.5,Apartment,-1,-1,1
4001800340,"Hauptstrasse 52,",5737 Menziken,4.5,140.0,1850,8.0,Maisonette / Duplex,-1,-1,0
4001831315,"Hinterdorfstrasse 3,",5525 Fischbach-Göslikon,5.5,155.0,3200,5.0,Row house,-1,2025,1
4001848639,"Hauptstrasse 47,",5312 Döttingen,1.5,92.0,1800,4.0,Loft,-1,-1,0
4001866270,"Kaiserstrasse 28,",4310 Rheinfelden,4.5,167.0,5165,3.5,Attic flat,-1,2017,1
4001867631,"Hallwilstrasse 24,",5600 Lenzburg,3.5,66.0,1550,3.5,Apartment,-1,-1,0
4001887791,,,4.0,77.0,1800,-1,Apartment,2025,-1,0
4001895934,"Hauserstrasse 2d,",5210 Windisch,-1,37.0,397,3.75,Hobby room,-1,2013,0
4001906819,"Bahnhofstrasse 26,",4663 Aarburg,3.5,71.0,1440,5.25,Apartment,-1,-1,1
4001922820,"Hauptstrasse 29b,",5502 Hunzenschwil,-1,-1,130,5.5,Hobby room,-1,2013,0
4001938604,"General Guisan-Str. 52,",5000 Aarau,2.5,60.0,1455,13.0,Apartment,-1,1968,1
4001943320,"Bernstrasse 120,",8964 Rudolfstetten-Friedlisberg,7.0,244.0,4500,7.0,Multi-family house,2020,-1,1
4001966832,"Parkweg 1,",5610 Wohlen,3.5,97.0,2590,5.5,Attic flat,-1,2025,0
4001968192,"Alte Strasse 49,",5734 Reinach,5.5,115.0,2620,3.25,Apartment,-1,-1,1
4001970247,,,-1,-1,-1,-1,,-1,-1,0
4001980147,"Grubenstrasse 13b,",5070 Frick,5.5,178.0,2400,5.0,Apartment,-1,-1,1
4001980175,"Gottfried Keller-Str. 2,",4800 Zofingen,4.5,81.0,1575,8.0,Apartment,-1,1959,1
4001982306,"Unterdorfstrasse 4,",5082 Kaisten,3.5,85.0,1930,-1,Apartment,-1,2025,1
4001983181,"Badhüsliweg 2,",5036 Oberentfelden,2.5,72.0,1850,5.5,Apartment,-1,2012,1
4001984789,"Trieschäckerstrasse 16,",5032 Aarau Rohr,3.5,93.0,2500,12.0,Attic flat,-1,-1,1
4001994719,"Badstrasse 30,",5400 Baden,2.5,56.0,2430,3.75,Apartment,-1,2025,1
4001994724,,,-1,-1,-1,-1,,-1,-1,0
4001997056,"Hammerweg 17,",5702 Niederlenz,3.5,87.0,1850,6.25,Apartment,2023,1995,1
4002003572,"Sportplatzweg 19,",5070 Frick,4.5,73.0,1790,7.5,Apartment,-1,1963,1
4002020776,"Aarauerstr. 8,",5630 Muri AG,3.5,100.0,2300,5.0,Apartment,-1,2015,1
4002021601,,,-1,-1,-1,-1,,-1,-1,0
4002025553,"Mäderstrasse 3,",5400 Baden,6.5,170.0,4250,5.5,Single house,-1,-1,1
4002031188,"Kirchgasse 13,",5742 Kölliken,4.0,-1,2050,4.25,Apartment,-1,-1,1
4002032849,"Rosengässchen 1,",4310 Rheinfelden,4.0,73.0,1541,5.75,Apartment,1993,1966,1
4002038125,"Unterer Lindenrainweg 4,",5330 Zurzach,7.5,248.0,-1,8.0,Single house,-1,2008,1
4002038159,"Grünaustrasse 15,",5737 Menziken,2.5,-1,1440,3.5,Apartment,-1,-1,1
4002046813,,,-1,-1,-1,-1,,-1,-1,0
4002047367,"Chilhaldenweg 6,",5222 Umiken,4.5,154.0,5500,10.5,Apartment,-1,2025,1
4002047369,"Bodenfeldstrasse 1,",5737 Menziken,6.5,136.0,3800,7.0,Apartment,-1,2023,1
4002047409,"Chilhaldenweg 4,",5222 Umiken,4.5,154.0,5400,3.5,Terrace flat,-1,2025,1
4002052411,"Dorfstrasse 21,",5736 Menziken,3.5,139.0,2640,7.0,Maisonette / Duplex,-1,-1,1
4002061738,"Oberdorf 4c,",5040 Schöftland,4.0,195.0,2250,6.25,Loft,2013,-1,1
4002062968,"Rankstrasse 27 + 29 + 31,",5304 Endingen,3.5,82.0,2200,7.0,Apartment,-1,2025,1
4002066648,"Chüferweg 4a,",5703 Seon,4.5,130.0,1850,9.0,Maisonette / Duplex,-1,1917,1
4002071291,"Cholacherstrasse 10,",5452 Oberrohrdorf,4.5,112.0,2277,8.5,Apartment,-1,1982,0
4002074896,"Sandstrasse 2b,",5412 Gebenstorf,4.5,101.0,2000,5.5,Apartment,-1,-1,0
4002075422,"Wydenstrasse 20,",5242 Birr,4.5,99.0,1900,3.0,Apartment,-1,-1,0
4002076051,"Hafnerweg 6,",5200 Brugg AG,5.5,95.0,2100,8.25,Apartment,-1,-1,1
4002076480,"Meienweg 10,",4800 Zofingen,2.5,67.0,2000,6.75,Apartment,-1,2025,1
4002077236,"Winterhaldenweg 36,",4852 Rothrist,4.5,-1,2150,9.5,Apartment,-1,-1,0
4002078107,"Gewerbepark Bata 1,",4313 Möhlin,5.5,142.0,3227,5.0,Apartment,-1,-1,1
4002085371,"Marktplatz 158,",5080 Laufenburg,3.5,128.0,2100,4.5,Apartment,2025,-1,1
4002086515,"Brown Boveri Strasse 7,",5400 Baden,1.5,21.0,1328,5.25,Apartment,2025,2025,0
4002093131,"Lindenhof 1,",5706 Boniswil,4.5,112.0,2340,2.67,Apartment,-1,2018,1
4002097802,"Gotthelfstrasse 3,",4800 Zofingen,3.0,69.0,1570,8.75,Apartment,2020,1961,0
4002101908,"Hauptstrasse 3,",5505 Brunegg,2.0,49.0,1320,4.0,Maisonette / Duplex,2013,1998,1
4002107664,,,-1,-1,-1,-1,,-1,-1,0
4002107665,"Waldweg 4,",5313 Klingnau,4.5,111.0,2637,-1,Attic flat,2021,2012,0
4002108858,,,-1,-1,-1,-1,,-1,-1,0
4002111620,,,-1,-1,-1,-1,,-1,-1,0
4002112082,,,2.5,103.0,2240,-1,Loft,2019,1969,0
4002112186,,,-1,-1,-1,-1,,-1,-1,0
4002112450,,,3.5,115.0,2660,-1,Attic flat,-1,2022,0
4002112943,"Zelglistrasse 8,",5416 Kirchdorf AG,3.0,90.0,2100,7.33,Apartment,2025,1805,0
4002117976,"Zentralstrasse 20C,",5610 Wohlen AG,4.5,196.0,2590,3.25,Loft,-1,2005,1
