id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3003379456,"Dorfplatz 5,",4244 Röschenz,4.5,118.0,1590,3.0,Apartment,-1,-1,0
3003556067,"Unterer Rainweg 3,",4414 Füllinsdorf,4.5,130.0,2770,5.75,Apartment,2004,1962,1
4000202136,"Ringstrasse 119,",4106 Therwil,3.5,-1,1715,7.0,Apartment,2015,-1,1
4000471599,"Hauptstrasse 2,",4144 Arlesheim,4.5,125.0,2690,2.25,Apartment,-1,-1,0
4000518683,"Baslerstrasse 50,",4102 Binningen,3.0,71.0,1800,4.25,Apartment,-1,-1,1
4000563656,"Hauptstrasse 2,",4144 Arlesheim,4.5,125.0,2350,2.25,Roof flat,2015,1966,0
4000644740,"Burgfeldermattweg 13,",4123 Allschwil,3.5,85.0,1950,4.5,Apartment,2001,1966,0
4000669496,"Hauptstrasse 5,",4242 Laufen,3.0,110.0,1630,3.5,Apartment,2023,-1,0
4001011635,"Hagmattstrasse 7a,",4123 Allschwil,1.0,-1,295,7.75,Hobby room,-1,2016,0
4001084780,"Ofenstrasse 22,",4123 Allschwil,3.5,93.0,2275,10.25,Maisonette / Duplex,-1,2010,1
4001117122,"Hauptstrasse 7,",4242 Laufen,3.5,82.0,1410,17.67,Apartment,-1,-1,0
4001131860,"Langegasse 115,",4104 Oberwil BL,4.5,87.0,2120,7.25,Apartment,2014,1982,1
4001133352,"Hauptstrasse 40,",4242 Laufen,3.5,142.0,2210,3.75,Maisonette / Duplex,-1,-1,1
4001190324,,,-1,-1,-1,-1,,-1,-1,0
4001238938,"Teichweg 30,",4142 Münchenstein,2.5,53.0,1765,9.0,Apartment,-1,2025,1
4001247258,"Unterwartweg 49,",4132 Muttenz,3.5,80.0,1907,10.5,Apartment,2013,1973,0
4001307826,"General Guisan-Strasse 29,",4144 Arlesheim,6.5,155.0,3580,8.75,Apartment,-1,-1,1
4001441525,"Mühlegasse 6,",4105 Biel-Benken BL,3.5,85.0,1650,4.5,Roof flat,-1,-1,0
4001449869,"Gewerbestrasse 25,",4123 Allschwil,-1,-1,109,8.5,Apartment,-1,-1,0
4001473981,"Hauptstrasse 88,",4437 Waldenburg,4.5,120.0,1670,3.0,Maisonette / Duplex,2019,1890,1
4001486201,"Im Wilacker 15,",4106 Therwil,4.5,91.0,1801,6.5,Apartment,-1,1968,1
4001489063,"Oberdorfstrasse 16,",4244 Röschenz,2.5,66.0,2200,4.5,Roof flat,-1,2019,1
4001510353,"Frohburgerstrasse 9,",4132 Muttenz,4.5,90.0,1990,7.25,Apartment,-1,-1,0
4001546919,"Prattelerstrasse 12,",4132 Muttenz,2.5,103.0,1970,4.75,Apartment,-1,-1,1
4001636325,"Kugelweg 13,",4222 Zwingen,3.5,-1,1460,6.33,Apartment,-1,-1,1
4001668507,"Hohenrainstr. 24a,",4133 Pratteln,3.5,94.0,2750,5.0,Apartment,-1,2017,1
4001668702,"Im Albantal 9,",4147 Aesch BL,4.0,85.0,1900,5.25,Apartment,2003,1960,1
4001669506,"Bruderholzstrasse 12,",4102 Binningen,4.5,116.0,2612,6.5,Apartment,-1,1994,1
4001670012,"Baumgartenweg 1,",4105 Biel-Benken BL,5.5,154.0,3790,4.0,Maisonette / Duplex,-1,-1,1
4001682347,"Muesmattweg 70-78a,",4123 Allschwil,3.5,85.0,2110,-1,Maisonette / Duplex,-1,1988,1
4001682351,"Rosenstrasse 1,",4410 Liestal,2.5,71.0,1855,2.25,Apartment,-1,2020,0
4001685243,"Baslerstrasse 11,",4106 Therwil,4.5,100.0,2000,3.0,Apartment,-1,-1,1
4001701297,"Dorfstrasse 42,",4452 Itingen,4.0,82.0,1650,-1,Apartment,-1,1970,0
4001712304,"Hauptstrasse 28,",4448 Läufelfingen,3.5,118.0,2000,1.5,Apartment,-1,2022,1
4001734334,"Eggstrasse 53,",4402 Frenkendorf,4.0,90.0,1795,12.0,Apartment,-1,-1,1
4001741077,"Burgfeldermattweg 15,",4123 Allschwil,3.5,65.0,1640,4.75,Apartment,2001,1966,0
4001746001,"Dorfgasse 60/62,",4435 Niederdorf,3.5,-1,1370,2.5,Apartment,-1,-1,1
4001746789,"Pestalozzistrasse 39,",4132 Muttenz,4.5,94.0,2130,3.0,Apartment,2024,-1,1
4001747479,"Joh. Brüderlin-Str. 12,",4132 Muttenz,4.0,79.0,1700,4.75,Apartment,-1,-1,1
4001757259,"Schlossstrasse 10,",4133 Pratteln,2.5,56.0,1530,2.75,Roof flat,2001,1969,0
4001764408,"Bruggfeldweg 2,",4147 Aesch BL,1.0,21.0,275,8.5,Hobby room,-1,1994,0
4001766658,"Alemannenstr. 19,",4106 Therwil,3.0,71.0,1660,7.75,Apartment,1991,1969,0
4001767928,"Burgfeldermattweg 17,",4123 Allschwil,3.5,70.0,1908,5.75,Apartment,2001,1966,0
4001772793,"Unterm Stallen 15,",4104 Oberwil BL,3.5,93.0,2190,6.75,Apartment,-1,-1,1
4001783599,"Heidenlochstrasse 82,",4410 Liestal,4.5,90.0,1950,10.75,Apartment,-1,-1,1
4001787411,"Teichweg 24,",4142 Münchenstein,3.5,66.0,2135,9.0,Apartment,-1,2025,1
4001788466,"Stockackerstrasse 3,",4153 Reinach BL,4.5,93.0,2110,4.25,Apartment,-1,-1,1
4001817445,"Ergolzstrasse 24,",4414 Füllinsdorf,3.5,70.0,1690,5.5,Apartment,-1,1973,0
