id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
106759682,"Wasserstrasse 16,",4056 Basel,-1,20.0,280,3.75,Hobby room,-1,-1,0
3003140449,"Claragraben 39,",4058 Basel,-1,-1,2250,3.75,Apartment,-1,1964,0
4000136328,"Gasstrasse 68,",4056 Basel,4.5,-1,2375,6.25,Apartment,2023,-1,1
4000633351,"Entenweidstrasse 74/7,",4056 Basel,2.0,-1,1210,7.0,Apartment,-1,-1,1
4000636560,"Entenweidstrasse 74/7,",4056 Basel,2.0,-1,1250,7.25,Apartment,-1,-1,1
4000707994,"Kohlenberg 1,",4051 Basel,1.0,-1,1745,2.0,Studio,-1,-1,0
4000925895,"Rümelinsplatz 19,",4001 Basel,1.0,-1,1690,3.0,Apartment,-1,-1,0
4001128151,"Spalenring 150,",4055 Basel,2.5,105.0,2400,4.25,Apartment,-1,1981,0
4001265565,"Austrasse 54,",4051 Basel,2.0,60.0,1520,5.5,Apartment,-1,-1,1
4001270666,"Entenweidstrasse 74/7,",4056 Basel,2.0,-1,1310,7.0,Apartment,-1,-1,1
4001353535,"Unterer Rheinweg 180,",4057 Basel,-1,270.0,170,5.5,Hobby room,-1,-1,0
4001378852,"Claragraben 60,",4058 Basel,1.0,29.0,1215,3.75,Apartment,-1,-1,0
4001382839,"Tangentenweg 56,",4058 Basel,3.5,70.0,2110,7.5,Apartment,-1,2015,1
4001391683,"Riehenring 141,",4058 Basel,1.0,28.0,1080,2.25,Studio,-1,-1,0
4001453106,"Kannenfeldstrasse 15,",4056 Basel,1.5,40.0,1500,5.5,Studio,2024,1959,1
4001453108,"Kannenfeldstrasse 15,",4056 Basel,1.5,40.0,1500,5.5,Apartment,2024,1959,1
4001453936,"Reinacherstrasse 126,",4053 Basel,2.5,66.0,1770,4.75,Apartment,-1,-1,1
4001456478,"Greifengasse 7,",4058 Basel,1.5,82.0,1990,2.75,Apartment,-1,-1,0
4001502665,"Gasstrasse 68,",4056 Basel,3.5,-1,2700,6.25,Apartment,2024,-1,1
4001502666,"Gasstrasse 68,",4056 Basel,3.5,-1,1990,6.25,Apartment,2024,-1,0
4001502713,"Gasstrasse 68,",4056 Basel,3.5,-1,2325,6.25,Apartment,2024,-1,1
4001510165,"Reinacherstrasse 68,",4053 Basel,1.5,36.0,1250,5.25,Apartment,-1,-1,1
4001524380,"Erlenmattstrasse 14,",4058 Basel,1.0,125.0,2570,3.75,Apartment,-1,2009,0
4001565937,"Stellimattweg 44,",4125 Riehen,3.0,-1,1890,9.5,Apartment,2018,-1,1
4001571078,"Redingstrasse 24,",4052 Basel,3.5,98.0,3065,2.75,Apartment,-1,2022,1
4001575431,"Unterm Schellenberg 123,",4125 Riehen,3.5,70.0,2150,7.75,Apartment,1994,1964,1
4001582382,"Müllheimerstrasse 36,",4057 Basel,1.0,30.0,1050,3.0,Apartment,2021,-1,0
4001584931,"Prattelerstr. 11,",4052 Basel,3.0,74.0,1700,8.0,Apartment,-1,-1,0
4001584933,"Prattelerstr. 11,",4052 Basel,3.0,74.0,1690,8.0,Apartment,-1,-1,0
4001605448,"Erlenmattstrasse 24,",4058 Basel,1.5,99.0,2095,3.75,Loft,-1,2009,0
4001605449,"Erlenmattstrasse 12,",4058 Basel,2.0,99.0,2125,3.75,Apartment,-1,2009,0
4001642577,"Gundeldingerrain 10,",4053 Basel,2.0,48.0,2600,6.5,Apartment,-1,-1,1
4001655340,"Reinacherstrasse 66,",4053 Basel,1.5,39.0,1250,5.25,Apartment,-1,-1,1
4001662645,"Dornacherstrasse 160,",4053 Basel,2.0,56.0,1790,5.0,Apartment,-1,-1,1
4001668615,"Missionsstr. 3,",4055 Basel,5.5,164.0,4350,4.25,Maisonette / Duplex,2013,1980,0
4001687224,"Laufenstrasse 4,",4053 Basel,3.5,70.0,2028,5.5,Apartment,2019,1976,1
