id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
4000824200,"Mettlengässli 8 + 10,",3074 Muri b. Bern,2.0,59.0,3770,4.0,Apartment,-1,-1,1
4001313085,"Hauptstrasse 17,",2563 Ipsach,3.5,80.0,2250,3.0,Attic flat,2024,-1,1
4001365163,"Bernapark 23,",3066 Stettlen,3.5,142.0,3240,7.33,Apartment,-1,2020,1
4001403890,"Murtenstrasse 3,",3270 Aarberg,5.0,144.0,2210,4.75,Apartment,-1,-1,1
4001425840,"Bahnhofstrasse 29,",3066 Stettlen,5.0,98.0,1980,3.0,Apartment,2001,1971,0
4001495431,"Mattenstrasse 81,",2503 Biel,7.5,184.0,4210,5.0,Apartment,-1,-1,1
4001635498,"Bartolomäusweg 25,",2504 Biel/Bienne,4.5,94.0,1980,7.0,Apartment,-1,1994,1
4001655412,"Eichmatt 2,",4938 Rohrbach,3.5,78.0,1235,4.0,Roof flat,2018,1985,1
4001668329,"Staffelweg 6,",3400 Burgdorf,4.0,74.0,1330,7.25,Apartment,-1,1963,1
4001668438,"Staffelstr. 5a,",3303 Jegenstorf,4.0,72.0,1690,6.25,Apartment,-1,1962,1
4001668473,"Rue de la Liberté 12-18,",2740 Moutier,4.0,104.0,1580,4.0,Apartment,-1,-1,0
4001668931,"Marktgasse 4,",4900 Langenthal,2.5,146.0,2190,3.25,Loft,-1,2008,0
4001669383,"Grauholzstr. 80,",3063 Ittigen,4.5,118.0,2240,12.0,Apartment,-1,1979,1
4001669420,"Unterer Strassackerweg 11,",3067 Boll,3.0,84.0,1630,9.0,Apartment,2017,1992,1
4001683433,"Gerechtigkeitsgasse 57,",3011 Bern,2.0,66.0,2200,3.75,Apartment,-1,-1,0
4001685991,"Nidaugasse 50,",2502 Biel/Bienne,3.5,94.0,2055,1.5,Apartment,-1,-1,0
4001691514,"Hofmattenstrasse 3,",4914 Roggwil BE,3.5,77.0,1765,5.67,Apartment,-1,-1,1
4001699835,"Schmiedweg 30,",2503 Biel,3.0,-1,1290,5.25,Maisonette / Duplex,2024,-1,0
