id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3001211665,"Chemin du Lac 13,",1637 Val-de-Charmey,5.5,208.0,3140,8.0,Attic flat,-1,-1,1
3003135248,"Tunnelstrasse 2,",3186 Düdingen,1.0,-1,1085,7.0,Roof flat,2013,-1,1
4000824386,"Route d'Oron 154,",1676 Chavannes-les-Forts,3.5,92.0,2190,-1,Apartment,-1,2024,1
4000931784,"Impasse de Champ-Riond 5,",1753 Matran,4.5,104.0,-1,12.33,Apartment,-1,2023,0
4000931785,"Impasse de Champ-Riond 6,",1753 Matran,4.5,104.0,-1,12.33,Apartment,-1,2023,0
4001044669,,,8.5,550.0,10500,-1,Villa,-1,2011,1
4001234004,"Av. de Granges-Paccot 2,",1700 Fribourg,1.5,-1,-1,6.75,Apartment,-1,-1,0
4001234020,"Route des Préalpes 110,",1723 Marly,1.0,-1,740,-1,Apartment,-1,-1,0
4001259981,"Route de Belmont 2,",1741 Cottens,2.5,70.0,1750,7.33,Apartment,-1,2024,1
4001259999,"Route de Belmont 2,",1741 Cottens,3.5,120.0,2210,7.67,Apartment,-1,2024,1
4001302095,"Rue de la Sionge 23,",1630 Bulle,-1,15.0,60,2.5,Attic compartment,-1,-1,0
4001567321,"Gärteli 13,",3210 Kerzers,5.5,137.0,2395,9.75,Attic flat,-1,2000,0
4001598413,"Dorfmatta 3,",1734 Tentlingen,4.5,109.0,2080,12.67,Apartment,-1,-1,1
4001636615,"Chemin de Bel-Air 7,",1752 Villars-sur-Glâne,4.5,110.0,2190,7.75,Apartment,-1,-1,0
4001654521,"En Sibourg 11,",1566 St-Aubin FR,-1,-1,990,-1,Farm house,-1,-1,0
4001687359,"Rue des Frères - Lumière 29,",1723 Marly,4.5,105.0,2300,5.75,Apartment,-1,2021,1
4001687832,"Route du Château 25,",1782 Cormagens,4.5,85.0,2200,14.5,Apartment,-1,2021,1
4001725526,"Rte de Payerne 5,",1773 Léchelles,4.5,-1,2500,3.67,Apartment,-1,-1,0
4001737073,"PASSAGE QUERRO 7,",1724 LE MOURET,2.5,71.0,1620,9.33,Apartment,-1,1966,0
4001764689,"Chemin de la Forge 4,",1782 Belfaux,5.5,140.0,3250,4.0,Terrace flat,2024,-1,1
4001764702,"Oelegasse 60,",3210 Kerzers,6.0,-1,2550,8.0,Apartment,-1,-1,1
4001766066,"Chemin de Bethléem 5,",1700 Fribourg,3.5,64.0,1650,3.0,Apartment,-1,-1,0
4001782437,,,8.5,550.0,-1,-1,Single house,-1,-1,0
4001810190,"Rte de l'Ecole 1,",1753 Matran,4.5,112.0,2400,9.0,Apartment,2025,-1,1
4001811573,"Avenue de la Gare 9,",1700 Fribourg,4.0,138.0,2370,3.0,Apartment,-1,1950,0
4001811913,"Rue de la Gare 1,",1661 Le Pâquier-Montbarry,4.5,119.0,2420,3.0,Apartment,-1,2023,1
4001820413,"Chemin de la Forêt 8,",1720 Corminboeuf,3.5,67.0,2115,8.0,Apartment,-1,2024,0
4001841033,"Sägetstrasse 8,",1712 Tafers,4.5,108.0,2060,4.25,Apartment,-1,2004,1
4001850229,"Grossi Matta 7,",1718 Rechthalten,3.0,82.0,1460,-1,Apartment,-1,1989,0
4001857633,"Av. de Beauregard 15,",1700 Fribourg,4.5,108.0,2160,3.75,Apartment,-1,-1,1
4001862987,"Schlossgasse 8,",3280 Murten,2.5,70.0,1350,17.0,Roof flat,-1,-1,0
4001864949,"Kapellematte  30,",1792 Cordast,3.5,100.0,2130,4.33,Apartment,2024,2024,1
