id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3003136868,"Rue de la Cloche 6,",1201 Genève,4.5,100.0,4500,4.5,Apartment,-1,-1,0
4000923044,,,7.0,205.0,8900,-1,Apartment,-1,-1,0
4001029119,"Avenue Ernest-Pictet,",1203 Genève,6.0,200.0,9400,-1,Apartment,-1,-1,0
4001029131,,,12.0,-1,20000,-1,Single house,-1,-1,0
4001084656,,,8.0,250.0,10500,-1,Apartment,-1,-1,1
4001221160,,,4.5,-1,6200,-1,Apartment,2025,-1,1
4001324102,"Rue de l' Athénée 38,",1206 Genève,4.0,93.0,4390,3.25,Apartment,-1,-1,0
4001414280,"Route de l'Etraz 3,",1239 Collex-Bossy,1.0,14.0,1550,3.0,Single Room,2022,-1,0
4001505783,,,-1,-1,-1,-1,Cellar compartment,-1,-1,0
4001532182,,,6.0,-1,7000,-1,Villa,-1,-1,1
4001532384,"Rue du Rhône 65,",1204 Genève,-1,-1,-1,2.25,Hobby room,-1,-1,0
4001532445,"Chemin de Blandonnet 8,",1214 Vernier,-1,-1,2650,6.25,Hobby room,-1,2002,0
4001532779,"Esplanade de Pont-Rouge 4-6,",1212 Grand-Lancy,-1,-1,1375,3.75,Hobby room,-1,-1,0
4001533540,"Rue Rothschild 57,",1202 Genève,-1,-1,750,2.5,Hobby room,-1,1969,0
4001533544,"Chemin du Fief-de-Chapitre 12,",1213 Petit-Lancy,-1,-1,200,5.0,Hobby room,2015,1973,0
4001533554,"Chemin Auguste-Vilbert 30,",1218 Le Grand-Saconnex,-1,-1,130,4.0,Hobby room,-1,-1,0
4001533555,"Chemin Auguste-Vilbert 38,",1218 Le Grand-Saconnex,-1,-1,130,5.0,Hobby room,-1,-1,0
4001533559,"Rue de Jargonnant 1,",1207 Genève,-1,-1,1080,1.5,Hobby room,2018,1979,0
4001533560,"Chemin de Blandonnet 8,",1214 Vernier,-1,-1,800,6.25,Hobby room,-1,2002,0
4001533561,"Chemin de Blandonnet 8,",1214 Vernier,-1,-1,2249,6.25,Hobby room,-1,2002,0
4001553799,,,7.0,-1,22000,-1,Single house,-1,-1,1
4001613867,"Rue de Lausanne 23,",1201 Genève,3.0,63.0,2233,2.5,Apartment,-1,1911,0
4001667904,"Rue de Berne 3,",1201 Genève,-1,-1,109,2.5,Cellar compartment,-1,-1,0
4001684572,"Route de Florissant 120,",1206 Genève,6.0,160.0,7830,4.0,Apartment,-1,-1,0
4001684659,"Route de la Chapelle 15,",1212 Grand-Lancy,5.0,85.0,3900,7.75,Apartment,-1,2024,0
4001689465,,,6.0,180.0,7900,-1,Apartment,2025,-1,0
4001701615,"Rue Goetz-Monin 24,",1205 Genève,2.0,24.0,2300,4.5,Apartment,-1,-1,0
4001701618,"Jonction,",1205 Genève,4.5,-1,4500,5.75,Apartment,-1,-1,1
4001705577,,,3.0,40.0,3600,-1,Apartment,-1,-1,0
4001705581,,,3.0,40.0,3600,-1,Apartment,-1,-1,0
4001722754,"Jonction,",1205 Genève,3.5,-1,3650,5.75,Apartment,-1,-1,1
4001722766,,,1.0,25.0,2700,-1,Apartment,-1,-1,0
4001746761,"Avenue de l'Etang 69-71,",1219 Châtelaine,1.0,-1,1460,4.0,Single Room,-1,-1,0
4001763170,"Rue Sismondi 15,",1201 Genève,4.0,-1,2800,3.0,Apartment,-1,-1,0
4001789320,"Place de l'Eglise,",1255 Veyrier,6.0,130.0,4750,-1,Apartment,-1,-1,0
4001822457,"Rue de Lyon 59,",1203 Genève,-1,-1,140,3.75,Hobby room,1990,1974,0
4001822459,"Rue de Lyon 59,",1203 Genève,-1,-1,240,3.75,Hobby room,1990,1974,0
4001827888,"Esplanade de Pont-Rouge 4-6,",1212 Grand-Lancy,-1,-1,2281,3.75,Hobby room,-1,-1,0
4001860391,,,4.5,-1,4250,-1,Bifamiliar house,2021,1986,1
4001863630,"Quai des Arénières 8,",1205 Geneva,2.5,70.0,3650,3.75,Apartment,-1,-1,1
4001864248,"Chemin de Colladon 20,",1209 Genève,7.5,-1,4500,2.75,Apartment,-1,-1,0
4001886181,"Chausse-Coq 10,",1204 Genève,5.0,100.0,4100,3.5,Apartment,-1,-1,0
4001889637,,,5.0,155.0,4400,-1,Maisonette / Duplex,2025,2007,0
4001895726,"Avenue de Sécheron 2,",1202 Genève,-1,-1,170,4.25,Hobby room,-1,1956,0
4001899566,"Boulevard George-Favon 16,",1204 Genève,5.0,137.0,5252,4.25,Apartment,-1,1870,0
4001903310,"Avenue Marc-Doret,",1224 Chêne-Bougeries,3.0,72.0,6400,9.75,Apartment,2021,2021,1
4001910452,"Chemin des Semailles 9C,",1212 Grand-Lancy,7.0,142.0,4470,4.75,Apartment,2019,1963,0
4001945360,"Rue de Contamines 35,",1206 Genève,3.0,80.0,3185,2.75,Apartment,2001,1938,1
4001959868,"Rue de Richemont 7,",1202 Genève,1.0,36.0,2400,4.0,Studio,-1,-1,0
4001962810,"Rue De-Beaumont,",1206 Genève,8.5,-1,8649,4.0,Apartment,-1,-1,1
4001979098,"Chemin William Barbey,",1292 Pregny-Chambésy,8.0,-1,18000,-1,Single house,-1,-1,0
4001979187,,,10.0,650.0,22000,-1,Single house,2000,-1,0
4001981371,"Quai Wilson,",1201 Genève,11.0,425.0,-1,-1,Apartment,2024,-1,0
4001988136,"Avenue Soret 9,",1203 Genève,5.0,95.0,2900,5.0,Apartment,1985,1985,0
4001988242,"Quai de la Poste 4,",1204 Genève,2.0,32.0,2290,5.0,Apartment,-1,-1,0
4002002704,"Avenue de France 6,",1202 Genève,6.5,162.0,6717,5.0,Apartment,-1,-1,1
