id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
4001209961,"Bruggli 5,",8754 Netstal,3.5,-1,1553,8.0,Apartment,-1,-1,1
4001624076,,,4.5,132.0,1750,-1,Apartment,2018,1970,0
4001863391,"Abläschstrasse 33,",8750 Glarus,2.5,-1,2150,4.25,Apartment,2023,-1,1
4001876517,"Bahnhofstrasse 13,",8762 Glarus Süd,6.0,-1,1400,4.25,Apartment,-1,-1,0
4001884955,"Dorf 38,",8767 Elm,3.5,-1,1350,-1,Apartment,-1,-1,0
4001903397,,,4.5,78.0,2582,-1,Apartment,-1,2022,0
4001910458,,,1.5,30.0,1230,-1,Apartment,-1,2023,0
4001912602,,,4.5,79.0,2774,-1,Apartment,-1,2023,0
4001912792,,,1.5,30.0,1178,-1,Apartment,-1,2022,0
4001982249,"Zollhausstrasse 30,",8750 Glarus,3.5,91.0,1920,7.0,Apartment,-1,2015,1
4002010864,,,14.0,335.0,5850,-1,Single house,-1,1945,1
4002010989,,,5.5,150.0,2500,-1,Row house,2010,1888,0
4002093093,"Ziegelbrückstrasse 105,",8866 Ziegelbrücke,-1,160.0,2950,6.0,Bifamiliar house,2015,-1,1
4002100658,"Hauptstrasse 131,",8762 Glarus Süd,4.5,-1,1650,4.25,Single house,2025,-1,0
4002135904,"Letz 12,",8752 Näfels,4.5,110.0,1949,3.0,Maisonette / Duplex,-1,-1,0
4002140395,"Kalkofen 3,",8782 Rüti GL,4.5,80.0,1280,6.0,Apartment,2025,-1,1
4002140454,"Kalkofen 3,",8782 Rüti GL,3.5,57.0,1100,6.0,Apartment,2025,-1,1
4002152694,"Obere Allmeind 3,",8755 Ennenda,6.0,-1,2700,8.75,Apartment,2018,-1,1
4002186505,"Achern 10,",8775 Luchsingen,4.5,88.0,1090,-1,Apartment,-1,-1,0
4002210619,"Plattenaustrasse 37,",8762 Schwanden GL,3.5,78.0,1510,7.5,Apartment,2015,-1,1
4002210697,"Gemeindehausplatz 2,",8750 Glarus,3.5,58.0,1060,2.75,Apartment,2010,-1,1
4002214100,"Kerenzerbergstrasse,",8874 Mühlehorn,4.5,250.0,-1,-1,Attic flat,-1,2019,1
4002216580,"Abläschstrasse 33,",8750 Glarus,2.5,-1,1880,4.25,Apartment,-1,-1,1
4002219068,"Saatengüetli 1,",8762 Schwanden GL,3.0,65.0,1100,4.25,Apartment,-1,-1,1
4002241194,,,3.5,71.0,1560,-1,Apartment,-1,1990,0
4002260503,"Hauptstr. 47,",8865 Bilten,3.5,73.0,1440,9.75,Apartment,-1,-1,0
4002263079,,,-1,-1,850,-1,Single Room,-1,-1,0
4002265985,"Bruch 2,",8750 Riedern,2.5,57.0,990,12.33,Apartment,-1,-1,0
4002267089,"Hauptstrasse 24,",8750 Glarus,2.5,-1,1350,2.75,Apartment,-1,-1,0
4002270440,"Ziegelbrückstrasse 31,",8867 Niederurnen,1.0,-1,1420,-1,Studio,-1,-1,1
4002274838,"Ziegelbrückstrasse 31,",8867 Niederurnen,2.5,-1,1660,-1,Apartment,-1,-1,1
4002274934,"Ziegelbrückstrasse 31,",8867 Niederurnen,3.5,-1,1890,-1,Apartment,-1,-1,1
4002282407,"Autschachenpark 2,",8752 Näfels,2.5,54.0,1660,7.5,Apartment,-1,2021,1
4002292073,"Mollis,",8753 Mollis,5.5,180.0,4000,-1,Single house,-1,-1,0
4002296373,"Reimen 1,",8775 Luchsingen-Hätzingen,4.5,-1,1240,5.33,Apartment,-1,1960,1
4002296385,"Asylstrasse 12,",8750 Glarus,3.5,109.0,2140,6.25,Apartment,-1,2025,1
4002305430,"Güterstrasse 6,",8868 Oberurnen,3.5,-1,1270,10.0,Apartment,-1,-1,1
4002306926,"Im Hof 3,",8866 Ziegelbrücke,3.0,64.0,1184,7.0,Apartment,-1,1973,1
4002308146,"Landstrasse 12,",8750 Glarus,5.5,138.0,1850,7.5,Apartment,-1,-1,0
4002308877,"Bahnhofstrasse 10,",8750 Glarus,2.5,-1,1350,3.25,Apartment,-1,-1,0
4002308878,"Hauptstrasse 17,",8750 Riedern,2.0,-1,815,5.0,Apartment,-1,-1,0
4002312074,"Unterdorf 25,",8752 Näfels,3.5,70.0,1635,-1,Apartment,2025,-1,1
4002313650,"Linthgut 1,",8782 Glarus Süd,3.5,70.0,1099,2.5,Roof flat,2015,-1,1
