id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3002315118,"Hauptstrasse 1,",7240 Küblis,-1,-1,250,8.0,Hobby room,2022,-1,0
4000950289,,,5.5,220.0,5690,-1,Apartment,2015,-1,1
4001264815,"Hauptstrasse 1,",7240 Küblis,1.0,23.0,1060,7.5,Apartment,-1,-1,0
4001578753,,,3.5,-1,-1,-1,Apartment,-1,2024,1
4001753071,"Bahnhofplatz 7,",7000 Chur,-1,128.0,1110,3.25,Hobby room,-1,2008,0
4001770981,,,1.0,41.0,900,-1,Single Room,-1,1970,0
4001965202,"Via Schlifras 85,",7130 Ilanz,3.5,81.0,2390,7.0,Apartment,-1,2026,1
4001973645,"Piazza Nuova,",6537 Grono,4.5,95.0,1450,-1,Apartment,-1,-1,0
4001978069,"Via Schlifras 85,",7130 Ilanz,2.5,56.0,1950,7.0,Apartment,-1,2026,1
4001978350,"Schmittnerstrasse 51,",7212 Seewis-Schmitten,1.0,20.0,800,7.5,Apartment,-1,-1,0
4001982065,"Via Schlifras 85,",7130 Ilanz,3.5,73.0,2190,7.0,Apartment,-1,2026,1
4001982332,"Via Schlifras 85,",7130 Ilanz,2.5,56.0,1990,7.0,Apartment,-1,2026,1
4002027758,"Via Johannes Badrutt 11,",7500 St. Moritz,1.0,-1,600,8.25,Apartment,2007,-1,0
4002028645,,,2.5,-1,1700,-1,Studio,-1,-1,0
4002034586,"Davos Cuort,",7144 Lumnezia,3.5,90.0,1920,-1,Roof flat,-1,2025,1
4002038839,"A la Cioldina,",6535 Roveredo,4.5,120.0,2000,-1,Apartment,2025,2019,1
4002041403,"Seewaldstrasse 16,",7050 Arosa,1.0,22.0,1160,7.0,Studio,2023,-1,1
4002045872,,,1.0,-1,1300,-1,Studio,-1,-1,0
4002049380,"Spitalstrasse 7 (Altbau),",7130 Ilanz,3.5,118.0,2120,4.67,Maisonette / Duplex,-1,2022,0
4002049381,"Spitalstrasse 7 (Altbau),",7130 Ilanz,4.5,142.0,2490,4.67,Maisonette / Duplex,-1,2022,0
4002084807,"Via Nova 15,",7017 Flims Dorf,3.0,50.0,1980,2.33,Apartment,-1,-1,1
4002150492,,,3.5,128.0,4500,-1,Apartment,-1,-1,0
4002151634,"Promenade 159,",7260 Davos,2.5,41.0,2150,3.0,Apartment,2014,1992,1
4002161613,"Via Brattas,",7500 St. Moritz,6.5,190.0,-1,-1,Maisonette / Duplex,2024,-1,1
4002173638,"Center Augustin, Stradun 197,",7550 Scuol,3.5,93.0,1950,2.25,Apartment,-1,1985,1
4002175488,,,5.5,-1,-1,-1,Apartment,-1,-1,1
4002175611,"Skistrasse 10,",7270 Davos Platz,2.5,-1,2560,5.0,Apartment,-1,2025,1
4002176578,"Gotschnastrasse 15,",7250 Klosters,4.5,87.0,2600,2.5,Apartment,-1,-1,0
4002194864,,,5.5,130.0,6670,-1,Apartment,-1,-1,0
4002194865,,,7.5,426.0,-1,-1,Attic flat,-1,-1,0
4002194867,,,6.5,244.0,-1,-1,Apartment,-1,-1,1
4002200559,,,6.5,242.0,5550,-1,Maisonette / Duplex,2024,-1,0
4002220636,"Voa Canius 1,",7078 Lenzerheide/Lai,6.0,150.0,2750,-1,Chalet,-1,-1,1
4002229884,"Ravaisch Strasse 18,",7563 Samnaun Dorf,3.0,49.0,1400,-1,Apartment,-1,-1,0
4002233224,"Bärgliwäg 19 Churwalden,",7075 Churwalden,2.0,30.0,1450,-1,Apartment,-1,-1,0
4002235648,"Aspermontstrasse 17,",7000 Chur,3.5,-1,1820,4.5,Apartment,-1,-1,1
4002238617,"Schmittnerstrasse 53,",7212 Seewis im Prättigau,4.0,83.0,1389,13.0,Apartment,-1,1965,1
4002241166,,,-1,-1,660,-1,Single Room,-1,-1,0
4002243090,"Haus im Park,",7077 Valbella,1.5,-1,1600,-1,Apartment,-1,-1,0
4002246570,"Grono,",6537 Grono,-1,20.0,600,-1,Single Room,-1,-1,0
4002247849,"Ziegelgut 16,",7206 Igis,4.5,89.0,1820,7.75,Apartment,2017,1983,0
4002250295,"Albarella,",6565 S. Bernardino,3.5,70.0,2200,-1,Apartment,-1,-1,0
4002253661,"Piaza 52,",6535 Roveredo GR,1.0,50.0,1100,-1,Apartment,-1,-1,0
4002253696,,,2.0,35.0,800,-1,Apartment,-1,-1,0
4002254217,,,6.5,260.0,-1,-1,Maisonette / Duplex,2014,1980,1
4002260511,"Crest la Geina,",7142 Cumbel,-1,20.0,680,-1,Single Room,-1,-1,0
4002263083,"Disentiserhof, Disentis,",7180 Disentis/Mustér,2.5,52.0,1350,-1,Apartment,-1,-1,0
4002264957,"Sutscheins,",7113 Camuns,2.5,-1,800,-1,Apartment,-1,-1,0
4002266067,,,-1,-1,-1,-1,,-1,-1,0
4002266171,"Ovronnaz,",7154 Ruschein,2.5,60.0,1000,-1,Apartment,-1,-1,0
4002268768,"Zinols Isla 9,",7477 Filisur,1.5,32.0,1100,-1,Apartment,-1,2014,1
4002271608,,,-1,15.0,600,-1,Single Room,-1,-1,0
4002271612,,,3.5,83.0,2500,-1,Apartment,-1,-1,0
4002275267,"Via Sontga Clau 23,",7159 Andiast,1.0,-1,750,-1,Apartment,-1,-1,0
4002275356,"Miralago Haus 14,",7743 Miralago,3.0,50.0,715,-1,Apartment,-1,-1,0
4002277694,"Unterseestrasse 20,",7050 Arosa,2.0,57.0,1690,4.5,Apartment,2018,-1,0
4002278508,"Via Camenisch,",7159 Andiast,3.0,-1,1000,-1,Apartment,-1,-1,0
4002278562,"Bahnhofstrasse 10,",7215 Fanas,2.5,75.0,1490,-1,Apartment,-1,-1,0
4002284919,"Landstrasse 46A,",7252 Klosters-Serneus,3.5,101.0,2900,6.0,Apartment,2018,2005,1
4002285407,"Susenbühlstrasse 78,",7000 Chur,3.5,88.0,2000,9.25,Apartment,-1,-1,0
4002285408,"Via Fanaus 39,",7152 Sagogn,3.5,90.0,2400,3.5,Apartment,-1,-1,0
