id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3003233448,"Denise Péronne 1,",2800 Delémont,4.0,-1,1750,10.0,Apartment,-1,2023,1
3003233449,"Denise Péronne 1,",2800 Delémont,2.0,-1,1000,10.0,Apartment,-1,2023,1
3003233450,"Denise Péronne 1,",2800 Delémont,3.0,-1,1400,10.0,Apartment,-1,2023,1
3003324856,"Route de Moutier 89/Neuve 2,",2800 Delémont,-1,-1,30,4.5,Apartment,-1,-1,0
3003533474,"Route de Bâle 29,",2800 Delémont,1.0,-1,580,2.25,Studio,-1,-1,1
4000567747,"Rue Brûlée 11,",2802 Develier,3.5,87.0,1150,-1,Apartment,-1,-1,1
4000574103,"Rue de la Farrère 7,",2830 Courrendlin,4.5,117.0,1670,7.5,Apartment,-1,-1,1
4000635971,"Rue des Pinsons 11,",2800 Delémont,3.5,-1,1300,7.0,Apartment,-1,-1,1
4000963937,"Route de la Scheulte 15,",2827 Mervelier,4.5,-1,1185,-1,Apartment,-1,-1,1
4001158429,"Le Genevrier 6,",2950 Courgenay,4.0,-1,890,5.5,Apartment,-1,-1,1
4001169239,"Rue de la Rauracie 40,",2853 Courfaivre,2.5,-1,1010,-1,Apartment,-1,2020,0
4001173574,"Impasse du Curé Copin 4,",2340 Le Noirmont,4.5,97.0,1550,-1,Apartment,-1,-1,1
4001224471,"Rue du Vieux-Moulin 6,",2852 Courtételle,6.0,178.0,1900,3.0,Maisonette / Duplex,-1,-1,0
4001261447,"Rue de l'Avenir 29,",2800 Delémont,4.5,82.0,1485,3.25,Apartment,-1,-1,1
4001334100,"Rue des Tilleuls 31,",2900 Porrentruy,4.5,73.0,1150,5.25,Apartment,-1,-1,0
4001356523,"Route de Moutier 1,",2800 Delémont,1.0,-1,650,2.25,Studio,-1,-1,0
4001423550,"Rue de l'Industrie 11,",2800 Delémont,3.0,-1,890,2.25,Apartment,-1,-1,0
4001423551,"Industrie 11,",2800 Delémont,4.0,-1,990,2.25,Apartment,-1,-1,0
4001429247,"Résidence Bellevie 8A -8B,",2822 Courroux,2.5,65.0,1220,3.0,Apartment,-1,-1,1
4001430099,"Chemin des Marguerites,",2350 Saignelégier,2.5,65.0,1400,-1,Apartment,-1,2024,1
4001431952,"Rue de la Sorne 1,",2852 Courtételle,4.5,107.0,1420,4.33,Apartment,-1,-1,1
4001454350,"Route de Belfort 6,",2900 Porrentruy,4.5,-1,1350,6.0,Apartment,2024,-1,0
4001541624,"Route de la Scheulte 15,",2827 Mervelier,2.5,-1,615,-1,Apartment,-1,-1,1
4001551795,"Rière de l'Auberge 2,",2825 Courchapoix,4.5,-1,995,-1,Apartment,-1,-1,0
4001559902,"Corban,",2826 Corban,3.0,80.0,1050,-1,Apartment,-1,-1,0
4001654038,"Rue Jeanne Haas-Ulmann 2,",2800 Delémont,2.5,61.0,1320,2.5,Apartment,-1,2022,0
4001654161,"Rue des Tilleuls 31,",2900 Porrentruy,3.5,62.0,1140,5.25,Apartment,-1,-1,0
4001668472,"Chemin du Finage 6 (b),",2350 Saignelégier,4.5,101.0,1811,-1,Apartment,-1,-1,1
4001668476,"Rue du 23-Juin 70, 70B,",2905 Courtedoux,4.0,100.0,1720,-1,Apartment,-1,-1,0
4001668477,"Rue du 23-Juin 70, 70B,",2905 Courtedoux,4.0,100.0,-1,-1,Apartment,-1,-1,0
4001668478,"Rue du 23-Juin 70, 70B,",2905 Courtedoux,4.0,98.0,1690,-1,Apartment,-1,-1,1
4001668479,"Rue du 23-Juin 70, 70B,",2905 Courtedoux,2.0,64.0,1120,-1,Apartment,-1,-1,0
4001668480,"Rue du Kirlou 24,",2800 Delémont,4.0,97.0,1430,12.5,Apartment,-1,-1,0
4001668481,"Rue du Kirlou 25,",2800 Delémont,4.0,103.0,1500,13.5,Apartment,-1,-1,0
4001668482,"Rue du Kirlou 26,",2800 Delémont,4.0,97.0,1430,13.75,Apartment,-1,-1,0
4001668483,"Rue du Kirlou 27,",2800 Delémont,4.0,103.0,1500,12.33,Apartment,-1,-1,0
4001668484,"Rue du Kirlou 27,",2800 Delémont,4.0,103.0,1500,12.33,Apartment,-1,-1,0
4001668485,"Rue du Kirlou 27,",2800 Delémont,4.0,103.0,1460,12.33,Apartment,-1,-1,0
4001668486,"Rue des Carrières 19,",2800 Delémont,2.0,58.0,1020,12.25,Apartment,-1,-1,0
4001668488,"Rue des Carrières 25,",2800 Delémont,4.0,97.0,1440,13.0,Apartment,-1,-1,0
4001668489,"Rue des Carrières 26,",2800 Delémont,4.0,97.0,1440,12.5,Apartment,-1,-1,0
4001671689,"Emile-Boéchat 15,",2800 Delémont,4.5,-1,2000,5.5,Apartment,-1,-1,0
4001671712,"Rue Emile-Boéchat 15,",2800 Delémont,4.5,-1,2050,4.5,Apartment,-1,-1,0
4001671713,"Rue Emile-Boéchat 17,",2800 Delémont,3.5,-1,1375,4.5,Apartment,-1,-1,0
4001671714,"Rue Emile-Boéchat 15,",2800 Delémont,3.5,-1,1440,5.5,Apartment,-1,-1,0
4001671715,"Rue Emile-Boéchat 9,",2800 Delémont,3.5,-1,1484,5.25,Apartment,-1,-1,0
4001671716,"Rue Emile-Boéchat 3,",2800 Delémont,4.5,-1,1779,5.5,Apartment,-1,-1,0
4001681162,"Chemin du Finage 8 (a),",2350 Saignelégier,4.5,106.0,1650,-1,Apartment,-1,-1,1
4001729255,"Rue de la Faverge 29,",2853 Courfaivre,4.5,160.0,1700,-1,Apartment,-1,-1,1
4001743479,"Sous Bellevue 27,",2900 Porrentruy,3.5,-1,950,4.0,Apartment,-1,-1,1
4001743480,"Sous Bellevue 27,",2900 Porrentruy,1.5,-1,695,4.0,Apartment,-1,-1,1
4001746394,"Rue de l' Eglise 8,",2822 Courroux,3.0,-1,1150,3.5,Apartment,-1,-1,1
4001763247,"Rue du Puits 16,",2800 Delémont,4.5,-1,1100,5.0,Apartment,-1,-1,1
4001780967,"La Colombière 119,",2900 Porrentruy,2.5,69.0,990,10.0,Apartment,-1,-1,1
4001802952,"Rue du Nord 8,",2800 Delémont,2.5,-1,850,2.5,Apartment,-1,-1,0
4001812041,"Les Carrelles 26,",2950 Courgenay,2.5,64.0,1320,6.0,Apartment,-1,2017,1
4001812042,"Les Carrelles 28,",2950 Courgenay,2.5,64.0,1320,5.5,Apartment,-1,2024,1
4001837556,"Rue du Haut-Fourneau 24,",2800 Delémont,4.5,100.0,1555,5.25,Apartment,-1,1986,0
4001837561,"Rue Neuve 35,",2800 Delémont,3.5,84.0,1205,5.5,Apartment,-1,1986,0
4001837562,"Rue Neuve 35,",2800 Delémont,3.5,84.0,1315,5.5,Apartment,-1,1986,0
4001843725,"Aux Fossés 9,",2852 Courtételle,2.5,45.0,1030,7.33,Apartment,-1,-1,1
4001857967,"Route du Câre 1,",2812 Movelier,2.0,-1,800,-1,Apartment,-1,-1,0
4001860546,"Rue Jeanne Haas-Ulmann 4,",2800 Delémont,2.5,62.0,1320,3.25,Apartment,-1,2022,0
4001864277,"Rue Auguste-Quiquerez 70,",2800 Delémont,4.0,73.0,1375,7.25,Apartment,-1,1960,1
4001893618,"Rue de l'Eglise 18,",2900 Porrentruy,2.0,65.0,790,2.25,Apartment,-1,1919,0
4001895316,"Rue des Prés 26,",2800 Delémont,3.5,-1,1020,3.0,Apartment,2016,-1,1
4001897918,"Rue des Prés 18,",2800 Delémont,3.5,-1,990,3.75,Apartment,2018,-1,0
4001897955,"Rue des Prés 22,",2800 Delémont,4.5,-1,1100,3.5,Apartment,2018,-1,1
4001898808,"Sous-Rosé 4,",2822 Courroux,2.0,52.0,1080,6.75,Apartment,-1,-1,1
4001906307,"Birse 7,",2822 Courroux,2.5,-1,1050,4.0,Apartment,-1,-1,0
4001908416,"Rue de la Fin Doie 23,",2854 Bassecourt,3.5,-1,1085,6.5,Apartment,-1,-1,1
4001913533,"Maltière 34,",2800 Delsberg,4.5,95.0,1340,10.75,Apartment,-1,-1,0
4001913602,"Rue de la Maltière 34,",2800 Delémont,4.5,116.0,1340,1.75,Apartment,-1,-1,0
4001916218,"Rue du Pont-Neuf 4,",2800 Delémont,2.5,60.0,1350,2.5,Apartment,-1,-1,1
4001946541,"Chemin du Château 26 a,",2805 Soyhières,4.5,119.0,1620,-1,Apartment,-1,-1,1
4001946675,"Rue du 23-Juin 11,",2882 Clos du Doubs,3.5,84.0,1026,3.0,Apartment,2003,2003,0
4001946921,,,1.5,30.0,530,-1,Apartment,-1,-1,0
4001959818,"Rue du Kirlou 25,",2800 Delémont,4.0,103.0,1490,13.5,Apartment,-1,-1,0
4001962764,"Rue de la Paix 5,",2800 Delémont,3.0,66.0,1130,7.0,Apartment,-1,-1,1
4001964375,"Prévot 15,",2915 Bure,3.5,-1,1020,-1,Apartment,-1,-1,0
4001979847,"Ecluse 4,",2800 Delémont,3.5,75.0,1250,4.25,Apartment,2016,-1,1
4001979992,"Route de la Transjurane 3,",2855 Haute-Sorne,2.5,37.0,1150,-1,Apartment,2025,-1,1
4001980050,"Route de la Transjurane 3,",2855 Haute-Sorne,3.5,73.0,1350,-1,Apartment,2025,-1,0
4001981510,"Aux Fossés 9b,",2852 Courtételle,3.5,97.0,1725,7.33,Apartment,-1,-1,1
4001981693,"Aux Fossés 9a,",2852 Courtételle,4.5,98.0,1735,7.33,Apartment,-1,-1,1
4001983158,"Rière l'Arsenal 7,",2800 Delémont,4.0,86.0,1250,4.0,Apartment,-1,-1,0
4001983703,"Rue de l'Avenir 40,",2800 Delémont,4.5,100.0,1435,5.25,Apartment,-1,1986,0
4001997101,,,3.5,73.0,990,-1,Apartment,-1,-1,1
4002014558,"Rue de la Vendline 193B,",2944 Bonfol,3.0,100.0,1230,4.0,Maisonette / Duplex,2019,-1,0
4002021347,"Pierre Pequignat 30,",2900 Pruntrut,3.5,60.0,1000,-1,Apartment,-1,-1,0
4002022066,"Chemin du Finage 4 (c),",2350 Saignelégier,3.0,85.0,1520,7.33,Apartment,-1,-1,0
4002027528,"Rue des Moulins,",2800 Delémont,2.5,43.0,790,-1,Apartment,-1,-1,0
4002028914,"Rue de Chêtre 53,",2800 Delémont,4.5,145.0,3100,8.75,Apartment,-1,2019,1
4002041805,"Rue Xavier-Stockmar 13,",2900 Porrentruy,1.5,39.0,650,5.25,Apartment,-1,-1,1
4002042494,"Sous-Maichereux 11,",2800 Delémont,4.5,110.0,1770,11.75,Bifamiliar house,-1,-1,0
4002042840,"Rue des Rochets 8,",2952 Cornol,3.5,95.0,1570,-1,Apartment,-1,-1,0
4002043777,,,4.5,131.0,1750,-1,Maisonette / Duplex,-1,2023,0
4002045527,,,2.5,-1,720,-1,Apartment,-1,-1,0
4002045557,,,3.5,-1,1200,-1,Apartment,-1,-1,0
4002054709,"Rue de l'Avenir 42,",2800 Delémont,3.5,84.0,1395,5.75,Apartment,-1,1986,0
4002061775,"Rue Emile-Boéchat 3,",2800 Delémont,3.5,-1,1400,5.5,Apartment,-1,-1,0
4002061981,"Rue Emile-Boéchat 15,",2800 Delémont,3.5,-1,1391,5.5,Apartment,-1,-1,0
4002068632,"Rue du 23-Juin 70, 70B,",2905 Courtedoux,2.0,63.0,1120,-1,Apartment,-1,-1,0
4002068733,"Rue des Prés 2,",2800 Delémont,2.0,33.0,900,2.75,Apartment,-1,2017,0
4002068811,"Rue du Temple 7,",2830 Courrendlin,4.5,85.0,1050,6.67,Apartment,2023,1970,1
4002069201,"Route Principale 51,",2824 Vicques,4.0,110.0,1720,-1,Apartment,2024,1988,1
4002069925,"Le Brue 1,",2825 Courchapoix,4.5,-1,1470,-1,Apartment,-1,-1,1
4002069927,"Sous Bellevue 27,",2900 Porrentruy,2.5,-1,945,4.0,Apartment,-1,-1,1
4002071377,"Rue des malvoisins 11,",2900 Porrentruy,2.5,50.0,905,3.25,Apartment,2021,-1,0
4002071650,"Rue Neuve 35,",2800 Delémont,-1,10.0,90,5.5,Hobby room,-1,1986,0
4002073413,"Impasse du Curé Copin 3,",2340 Le Noirmont,3.5,77.0,1170,4.25,Apartment,-1,2011,1
4002076689,"Place de la Gare 20,",2800 Delémont,3.5,87.0,1490,2.25,Apartment,2025,-1,1
4002082385,"Rue Briscol 6,",2853 Courfaivre,4.5,90.0,1300,-1,Apartment,2020,1970,1
4002086365,,,2.5,49.0,850,-1,Apartment,-1,-1,1
4002089483,"Rue du Guéret 5,",2800 Delémont,4.5,98.0,1565,13.25,Apartment,2021,-1,1
4002089958,"Rue des Bordgeais 35,",2800 Delémont,4.0,88.0,1350,12.0,Apartment,2024,-1,0
4002090488,"Rue des Moulins,",2800 Delémont,4.5,78.0,1280,-1,Apartment,-1,-1,0
4002090536,"Route de France 45,",2805 Soyhières,5.0,180.0,1500,-1,Apartment,2023,-1,1
4002092001,"Rue du 23-Juin 9,",2830 Courrendlin,3.5,123.0,1250,4.0,Roof flat,-1,-1,0
4002092082,"Rue Saint-Germain 2,",2853 Courfaivre,4.5,-1,1180,-1,Apartment,-1,-1,1
4002092459,"Rue de la Sorne 1,",2852 Courtételle,4.5,82.0,1205,4.33,Apartment,-1,-1,0
4002092628,"Rue de l'Abbé-Monnin 24,",2854 Bassecourt,4.5,-1,1360,6.25,Apartment,-1,-1,1
4002092710,"Rue des Romains 1R,",2856 Boécourt,1.0,25.0,427,-1,Apartment,-1,-1,0
4002092995,"Rue Emile-Boéchat 15,",2800 Delémont,4.5,-1,1691,5.5,Apartment,-1,-1,0
4002096365,"Rue des Prés 3,",2830 Courrendlin,3.5,-1,1460,5.75,Apartment,-1,-1,1
4002098836,"Rue Xavier-Stockmar 13,",2900 Porrentruy,2.5,53.0,880,5.25,Apartment,-1,-1,1
4002100949,"Rue de Porrentruy 124,",2916 Fahy,4.0,90.0,1280,-1,Apartment,2012,1810,1
4002106146,"Rue du Temple 4,",2830 Courrendlin,4.5,85.0,1000,5.67,Apartment,2025,-1,1
4002108442,"Rue des Tourterelles 22,",2800 Delémont,5.5,157.0,2130,10.25,Apartment,-1,2015,1
4002110599,"Route d'Alle 28,",2952 Cornol,1.0,45.0,840,-1,Studio,-1,2011,1
4002110771,"Quai de la Sorne 8,",2800 Delémont,5.5,-1,1590,2.75,Apartment,-1,-1,0
4002110775,"Rue Chavon-Dessus 6,",2853 Courfaivre,4.5,140.0,1540,-1,Terrace flat,-1,-1,1
4002115820,,,-1,-1,-1,-1,,-1,-1,0
4002118536,"Rue du 23 Juin 40,",2905 Courtedoux,5.5,160.0,1680,-1,Apartment,-1,-1,0
4002118537,"Sous-Bellevue 28,",2900 Porrentruy,4.5,79.0,1160,6.5,Apartment,-1,-1,1
4002118540,"Sous-Bellevue 47,",2900 Porrentruy,3.5,-1,990,5.33,Apartment,-1,-1,1
4002119471,"Rue des Bâts 12,",2800 Delémont,3.0,79.0,1150,2.25,Apartment,-1,1962,1
4002136615,"Route de Bâle 12-14-16,",2800 Delémont,4.5,108.0,2035,2.0,Apartment,-1,2021,1
4002136617,"Route de Bâle 12-14-16,",2800 Delémont,4.5,99.0,1740,2.0,Apartment,-1,2021,1
4002136619,"Route de Bâle 12-14-16,",2800 Delémont,4.5,92.0,2015,2.0,Apartment,-1,2021,1
4002136621,"Route de Bâle 12-14-16,",2800 Delémont,4.5,108.0,1860,2.0,Apartment,-1,2021,1
4002136622,"Route de Bâle 12-14-16,",2800 Delémont,3.5,92.0,1910,2.0,Apartment,-1,2021,1
4002136623,"Route de Bâle 12-14-16,",2800 Delémont,4.5,100.0,2180,2.0,Apartment,-1,2021,1
4002136624,"Route de Bâle 12-14-16,",2800 Delémont,4.5,108.0,1770,2.0,Apartment,-1,2021,1
4002136626,,,-1,-1,-1,-1,,-1,-1,0
4002136627,"Route de Bâle 12-14-16,",2800 Delémont,2.5,62.0,1419,2.0,Apartment,-1,2021,1
4002136628,"Route de Bâle 12-14-16,",2800 Delémont,3.5,78.0,1609,2.0,Apartment,-1,2021,1
4002136629,"Route de Bâle 12-14-16,",2800 Delémont,2.5,55.0,1327,2.0,Apartment,-1,2021,1
4002136654,"rue des Carrières 19,",2800 Delémont,2.5,58.0,1130,12.25,Apartment,-1,-1,0
4002136714,"Rue de Montjoie 2,",2900 Porrentruy,7.0,100.0,1370,3.0,Apartment,-1,1955,0
4002136726,"Rue de la Brasserie 10,",2800 Delémont,3.0,73.0,1100,2.25,Apartment,-1,1965,0
4002136727,"Route d'Alle 54,",2900 Porrentruy,3.0,-1,1050,8.25,Apartment,-1,-1,0
4002136729,"Rue du Vieux-Moulin 14,",2852 Courtételle,4.0,-1,1460,3.0,Apartment,-1,-1,0
4002136730,"Champs-Hulay 55,",2854 Bassecourt,3.5,60.0,1120,-1,Apartment,-1,-1,0
4002136731,"Rue des Tourniquets 250,",2944 Bonfol,3.0,-1,575,3.0,Apartment,-1,1877,0
4002136732,"Route de Bonfol 1,",2943 Vendlincourt,2.0,-1,570,-1,Apartment,-1,1886,0
4002136733,"Rue de la Poste 42,",2856 Boécourt,3.0,67.0,1200,-1,Apartment,-1,2017,0
4002136736,"Rue des Mérovingiens 30,",2854 Bassecourt,4.5,-1,1120,8.0,Apartment,-1,1971,0
4002136737,"Rue du Vieux-Moulin 14,",2852 Courtételle,3.0,-1,1210,3.0,Apartment,-1,-1,0
4002136740,"Rue de la Brasserie 4,",2800 Delémont,3.0,69.0,1100,2.25,Apartment,-1,-1,0
4002136742,"Route de Faverge 62,",2853 Courfaivre,3.0,-1,1350,-1,Apartment,-1,-1,0
4002136744,"Rue de la Brasserie 10,",2800 Delémont,1.0,22.0,570,2.25,Apartment,-1,1965,0
4002136797,"Route de Vicques 6a,",2830 Courrendlin,4.5,-1,1900,5.75,Apartment,-1,-1,0
4002136806,"Rue du 23 juin 6,",2830 Courrendlin,4.5,-1,1150,3.5,Apartment,-1,1982,0
4002136817,"Rue de Montjoie 8,",2900 Porrentruy,3.5,55.0,1050,2.5,Apartment,-1,1955,0
4002136818,"Route d'Alle 54,",2900 Porrentruy,4.5,-1,1058,8.25,Apartment,-1,-1,0
4002136821,"Rue des Pervenches 50,",2800 Delémont,4.5,-1,1300,7.5,Apartment,-1,-1,0
4002136844,"Rue de la Poste 42,",2856 Boécourt,3.5,66.0,1150,-1,Apartment,-1,2017,0
4002139974,"Rue des Téxérans 7,",2800 Delémont,2.5,53.0,1200,3.5,Apartment,-1,2022,0
4002157226,"Emile-Boéchat 30,",2800 Delémont,2.5,64.0,1038,4.25,Apartment,-1,-1,1
4002159252,"Rue de Fer,",2800 Delsberg,1.5,26.0,650,-1,Apartment,-1,-1,0
4002162405,"Sous-Rosé 2,",2822 Courroux,1.0,56.0,980,5.75,Apartment,-1,-1,1
4002164998,"Route de Courgenay 10,",2952 Cornol,3.0,-1,1200,-1,Apartment,-1,1965,1
4002173268,"Rue de la Molière 22,",2800 Delémont,4.5,-1,1555,1.75,Apartment,-1,-1,1
4002178091,"Guillaume Triponez 41,",2336 Les Bois,3.5,-1,1080,9.33,Apartment,2022,-1,0
4002178459,"Rue des Bordgeais 34,",2800 Delémont,4.0,91.0,1470,11.75,Apartment,-1,-1,1
4002180025,"Rue de l'Avenir 3,",2800 Delémont,4.5,107.0,1950,1.75,Apartment,-1,-1,0
4002185632,"Rue du 23 Juin 34,",2905 Courtedoux,3.5,60.0,1150,-1,Apartment,-1,-1,1
4002191450,"Rue de la Brasserie 10,",2800 Delémont,5.5,-1,1514,2.25,Apartment,-1,1965,0
4002197927,"Sous-Bellevue 13,",2900 Porrentruy,4.5,81.0,1147,6.75,Apartment,-1,-1,1
4002197928,"Rue du 23 Juin 34,",2905 Courtedoux,3.5,60.0,950,-1,Apartment,-1,-1,1
4002198730,"Rue de la Paix 6,",2800 Delémont,3.0,58.0,700,6.75,Roof flat,-1,-1,0
4002198860,"Rue Neuve 33,",2800 Delémont,4.5,100.0,1485,5.75,Apartment,-1,1986,0
4002198962,"Rue du Jura 35,",2900 Porrentruy,1.0,26.0,650,3.25,Studio,2024,-1,0
4002210995,"Résidence Bellevie 8A -8B,",2822 Courroux,2.5,65.0,1220,3.0,Apartment,-1,-1,1
4002214652,"Rue de l?Hôpital 56,",2800 Delémont,2.0,61.0,1350,2.75,Apartment,-1,-1,0
4002214653,"Rue de l?Hôpital 56,",2800 Delémont,1.0,36.0,950,2.75,Studio,-1,-1,0
4002216969,"Rue des Pervenches 46,",2800 Delémont,3.5,-1,1070,6.5,Apartment,-1,-1,0
4002216970,"Rue de la Brasserie 2,",2800 Delémont,3.5,69.0,1100,3.25,Apartment,-1,-1,0
4002217617,"Rue des Collèges 21/23,",2340 Le Noirmont,4.5,84.0,1230,7.75,Apartment,-1,-1,1
4002218685,"Sous-Bellevue 24,",2900 Porrentruy,4.5,-1,1180,7.0,Apartment,-1,-1,1
4002219654,"Rue des Prés 3,",2830 Courrendlin,2.5,-1,1290,5.75,Apartment,-1,-1,1
4002219736,"Rue du Kirlou 24,",2800 Delémont,4.0,113.0,1510,12.5,Apartment,-1,-1,0
4002219877,,,3.5,-1,-1,-1,Apartment,-1,-1,0
4002220412,,,-1,-1,-1,-1,,-1,-1,0
4002222950,"Le Genevrier 3,",2950 Courgenay,4.5,133.0,1950,5.5,Apartment,2025,2021,1
4002224018,"Lorette 9,",2900 Pruntrut,4.5,90.0,1350,8.0,Apartment,-1,-1,0
4002224922,,,4.0,240.0,1890,-1,Hobby room,-1,-1,0
4002226446,"Rue de la Gare 284,",2944 Bonfol,3.5,-1,930,3.0,Apartment,-1,-1,0
4002227779,"Courroux,",2822 Courroux,3.0,-1,1080,-1,Single house,-1,-1,0
4002229991,"2718,",2718 Lajoux JU,3.0,-1,1000,-1,Apartment,-1,-1,0
4002229994,,,3.0,-1,780,-1,Apartment,-1,-1,0
4002230106,,,4.5,90.0,1400,-1,Apartment,-1,-1,0
4002230578,"Grand-Rue 32, 1Est,",2900 Porrentruy,1.5,-1,475,19.0,Apartment,2025,-1,0
4002230591,,,3.5,90.0,2000,-1,Apartment,-1,2023,1
4002230625,"Grand-Rue 32, 2Est,",2900 Porrentruy,1.5,-1,517,19.0,Apartment,2025,-1,0
4002233325,"Le Moitan 23,",2912 Réclère,3.5,80.0,750,-1,Apartment,-1,-1,0
