id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
4000464840,"Wesemlinrain 12,",6006 Luzern,2.5,76.0,2400,6.5,Apartment,-1,2024,1
4000732288,"Sonnmatte 3,",6146 Grossdietwil,3.5,89.0,1885,5.0,Apartment,-1,2020,1
4001122933,,,-1,-1,-1,-1,Retail,-1,-1,0
4001264467,"Luzernerstrasse 4,",6010 Kriens,1.0,101.0,2390,2.75,Apartment,-1,-1,1
4001419144,"Seetalstrasse 145,",6032 Emmenbrücke,-1,-1,3650,4.5,Retail,-1,2024,1
4001432705,"Buchsteg 1,",6013 Eigenthal,7.0,-1,3300,-1,Farm house,1998,-1,1
4001452147,"Büttenenhalde 39,",6006 Luzern,-1,-1,-1,15.5,Hobby room,-1,1985,0
4001547067,"Sagenmattstrasse 20,",6003 Luzern,3.5,106.0,2179,8.75,Roof flat,-1,-1,1
4001585702,"Baselstrasse 67,",6003 Luzern,1.0,-1,400,6.75,Hobby room,2024,-1,0
4001590738,"Entlebucherstrasse 20,",6110 Wolhusen,2.0,-1,900,5.25,Apartment,-1,-1,0
4001590741,"Entlebucherstrasse 20,",6110 Wolhusen,2.0,-1,900,5.25,Apartment,-1,-1,0
4001593897,,,-1,-1,290,-1,Apartment,-1,-1,0
4001603897,"Hauptstrasse 71B / Haus E,",6260 Reiden,1.5,38.0,1020,4.0,Apartment,-1,-1,1
4001603898,"Hauptstrasse 69A / Haus C,",6260 Reiden,4.5,113.0,2250,4.67,Apartment,-1,-1,1
4001603899,"Hauptstrasse 69C / Haus A,",6260 Reiden,3.5,106.0,2000,4.67,Apartment,-1,-1,1
4001603900,"Hauptstrasse 69C / Haus A,",6260 Reiden,2.5,51.0,1280,4.67,Apartment,-1,-1,1
4001624361,,,1.0,92.0,2750,-1,Apartment,-1,2024,0
4001661828,"Hauptstrasse 69C / Haus A,",6260 Reiden,1.5,59.0,1400,4.67,Apartment,-1,-1,1
4001664984,"Wiggerblock A,",6260 Reiden,4.0,-1,1450,8.5,Apartment,-1,-1,1
4001696364,"Birkenweg 10,",6145 Fischbach,4.5,98.0,1810,7.5,Apartment,-1,2017,1
4001705561,"Waldheimstrasse 1,",6010 Kriens,1.0,23.0,1690,2.75,Apartment,2023,-1,0
4001705562,"Waldheimstrasse 1,",6010 Kriens,1.0,25.0,1590,2.75,Apartment,2023,-1,0
4001705580,"Waldheimstrasse 1,",6010 Kriens,1.0,21.0,1590,2.75,Apartment,2020,-1,0
4001705583,"Waldheimstrasse 1,",6010 Kriens,1.0,18.0,1490,2.75,Apartment,2020,-1,0
4001745590,"Waldheimstrasse 1,",6010 Kriens,1.0,15.0,1290,2.75,Apartment,2020,-1,0
4001786627,,,9.5,-1,5950,-1,Single house,-1,2017,0
4001803702,"Sonnmatte 2,",6146 Grossdietwil,3.5,89.0,1740,4.5,Apartment,-1,2020,1
4001821058,"Fadenstrasse 26,",6020 Emmenbrücke,1.5,84.0,2005,6.25,Apartment,-1,2022,0
4001827142,"Sonnmatte 3,",6146 Grossdietwil,3.5,85.0,1630,5.0,Apartment,-1,2020,0
4001833462,"Grossmatte,",6014 Luzern,4.5,130.0,1960,-1,Apartment,-1,-1,0
4001876981,"Muoshofstr. 7,",6102 Malters,3.5,88.0,1845,3.33,Apartment,2005,1978,0
4001893965,"Lehnstrasse 20,",6023 Rothenburg,3.5,-1,1950,9.67,Apartment,2024,-1,1
4001897992,,,-1,-1,-1,-1,,-1,-1,0
4001897997,"Obergütschrain 4,",6003 Luzern,3.5,92.0,1985,6.67,Apartment,-1,1983,1
4001927321,"Unterdorf 12,",6147 Altbüron,2.5,86.0,1400,6.0,Apartment,-1,-1,0
4001936996,"Haldenstrasse 4,",6006 Luzern,6.5,203.0,24000,4.0,Apartment,-1,-1,1
4001938648,"Würzenbachmatte 23,",6006 Luzern,2.5,66.0,1630,6.25,Apartment,-1,-1,0
4001976259,,,-1,12.0,400,-1,Single Room,-1,-1,0
4001986577,,,4.5,100.0,1580,-1,Apartment,-1,-1,1
4001990188,"Gerliswilstrasse 44,",6020 Emmenbrücke,1.0,91.0,1695,3.75,Loft,2020,1988,0
4001996669,"Nidfeldstrasse 2n,",6010 Kriens,3.5,74.0,2240,10.25,Apartment,-1,2025,1
4002010621,"Birkenweg 4,",6212 St. Erhard,4.5,119.0,2700,4.0,Apartment,-1,-1,0
4002018495,"Voltastrasse 2,",6005 Luzern,3.0,64.0,2700,5.25,Roof flat,2022,-1,1
4002021224,"Altweg 5 (Haus B),",6264 Pfaffnau,2.5,46.0,2290,6.0,Apartment,-1,-1,1
4002021651,,,7.5,-1,4150,-1,Single house,-1,2017,0
4002028874,"Dattenmattstr. 16,",6010 Kriens,6.0,170.0,3700,5.5,Apartment,-1,1988,1
4002030767,"Voltastrasse 2,",6005 Luzern,3.5,64.0,2700,5.25,Roof flat,2023,-1,1
4002031460,"Mülipark 7,",6170 Schüpfheim,2.5,64.0,1670,9.0,Apartment,-1,2012,1
4002038775,"Dorfstrasse 21,",6264 Pfaffnau,6.5,-1,2200,2.33,Apartment,-1,-1,0
