id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3002848437,"Crêt-Vaillant 21,",2400 Le Locle,2.0,46.0,760,4.25,Apartment,-1,-1,0
3003194949,"Midi 19,",2400 Le Locle,4.0,-1,1225,6.0,Apartment,-1,-1,1
3003492004,"Paix 61,",2300 La Chaux-de-Fonds,2.0,-1,930,3.75,Apartment,-1,-1,0
4000299457,"Route de Sachet,",2016 Cortaillod,5.5,171.0,3820,-1,Villa,-1,2026,1
4000772281,"Tourelles 8,",2300 La Chaux-de-Fonds,4.0,-1,1190,8.25,Apartment,-1,-1,0
4000892715,"Rue Chapeau-Rable 22,",2300 La Chaux-de-Fonds,3.0,65.0,970,9.0,Apartment,-1,-1,1
4000958517,"Jardinière 93,",2300 La Chaux-de-Fonds,3.5,-1,1005,4.25,Apartment,-1,-1,0
4001026898,"Rue du Marais 36,",2400 Le Locle,2.0,46.0,830,3.5,Apartment,2024,-1,0
4001063438,"Jardinière 93,",2300 La Chaux-de-Fonds,4.5,-1,1370,4.25,Apartment,-1,-1,0
4001073252,"Beau-Site 1,",2300 La Chaux-de-Fonds,4.0,-1,1220,4.75,Apartment,-1,-1,0
4001087020,"Jardinière 81,",2300 La Chaux-de-Fonds,3.0,-1,1000,4.0,Apartment,-1,-1,0
4001202825,"Rue de la Cure 7,",2300 La Chaux-de-Fonds,3.0,-1,1075,3.5,Apartment,-1,-1,0
4001274436,"Rue Girardet 22,",2400 Le Locle,3.5,-1,980,7.0,Apartment,2012,-1,0
4001277827,"Route du Raya 9,",2400 Le Locle,4.0,80.0,1150,6.75,Apartment,-1,-1,1
4001293782,"J.-F.-Houriet 5,",2400 Le Locle,4.5,-1,1090,6.25,Apartment,-1,-1,0
4001334047,"Col 6,",2400 Le Locle,5.0,-1,990,-1,Apartment,-1,-1,0
4001334066,"Numa-Droz 77,",2300 La Chaux-de-Fonds,4.0,-1,1220,4.25,Apartment,-1,-1,0
4001334079,"Rue du Marais 13,",2400 Le Locle,4.0,100.0,1095,5.0,Apartment,-1,-1,0
4001336190,"Rue Louis Favre 40,",2017 Boudry,5.5,-1,1900,4.75,Apartment,-1,-1,0
4001416966,"J.-F.-Houriet 5,",2400 Le Locle,5.0,-1,1200,6.25,Apartment,-1,-1,0
4001427848,"Rue de Buttes 7,",2114 Fleurier,4.0,100.0,1140,17.25,Apartment,2025,-1,0
4001432352,"Rue Ami-Girard 5,",2054 Chézard-St-Martin,2.5,-1,1460,6.5,Apartment,-1,2020,0
4001432851,"Guinand l'Opticien 4,",2416 Les Brenets,5.5,-1,1390,2.5,Apartment,-1,-1,0
4001454385,"Rue du Parc,",2300 La Chaux-de-Fonds,4.0,106.0,1310,-1,Apartment,-1,-1,0
4001513020,"Guinand l'Opticien 4,",2416 Les Brenets,3.5,-1,960,2.5,Apartment,2024,-1,0
4001513021,"Guinand l'Opticien 4,",2416 Les Brenets,4.5,-1,1130,2.5,Apartment,2024,-1,0
4001542324,"Bellevue 25,",2400 Le Locle,4.0,107.0,1450,4.75,Apartment,-1,-1,0
4001544796,"Avenue de la Gare 14,",2114 Fleurier,6.0,-1,1780,3.5,Apartment,-1,-1,0
4001583584,"Tourelles 10,",2300 La Chaux-de-Fonds,4.0,70.0,1110,8.5,Apartment,-1,-1,1
4001583586,"Numa-Droz 115,",2300 La Chaux-de-Fonds,4.0,-1,1090,4.0,Apartment,-1,-1,0
