id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
4001656496,,,3.5,77.0,1300,-1,Apartment,2022,1910,0
4001801703,,,1.0,37.0,850,-1,Roof flat,2001,1880,0
4001837837,"Stettemerstrasse,",8207 Schaffhausen,4.5,105.0,1497,-1,Roof flat,-1,-1,0
4001837840,"Stettemerstrasse,",8207 Schaffhausen,3.5,88.0,1140,-1,Apartment,-1,-1,1
4001845501,"Neutalstrasse 2,",8207 Schaffhausen,-1,16.0,200,5.0,Hobby room,-1,2018,0
4001958660,"Schützengraben 20,",8200 Schaffhausen,3.5,69.0,1690,1.75,Apartment,-1,-1,0
4001986348,"Schützenstrasse 11,",8212 Neuhausen am Rheinfall,2.0,50.0,1090,6.0,Apartment,-1,-1,0
4002003614,,,4.5,105.0,1490,-1,Maisonette / Duplex,2019,1900,0
4002007318,"Tanne 7,",8200 Schaffhausen,6.5,185.0,3790,2.5,Maisonette / Duplex,2015,1650,0
4002028982,"Stettemerstrasse 141,",8207 Schaffhausen,2.5,83.0,1395,6.5,Roof flat,-1,1987,1
4002038715,"Unterdorf 8,",8222 Beringen,1.0,20.0,950,4.0,Apartment,-1,-1,0
4002042522,"Schützenstrasse 9,",8212 Neuhausen am Rheinfall,3.0,62.0,1350,6.0,Apartment,-1,-1,0
4002047536,,,8.0,203.0,6600,-1,Villa,-1,1997,0
4002066621,"Rheinstrasse 55,",8218 Neuhausen am Rheinfall,1.0,-1,820,4.25,Apartment,-1,-1,0
4002089683,"Schützengasse 2,",8224 Löhningen,-1,68.0,590,8.67,Hobby room,-1,-1,0
4002094322,"Bachstr. 28,",8200 Schaffhausen,3.5,70.0,1350,2.5,Apartment,-1,-1,0
4002094324,"Rössligasse 1,",8224 Löhningen,4.5,120.0,1880,2.0,Apartment,-1,1890,1
4002108432,,,3.5,125.0,2900,-1,Apartment,2022,1986,1
4002108532,"Hauptstrasse 93,",8224 Löhningen,2.0,37.0,940,5.33,Apartment,-1,-1,1
4002114926,"Im Riet 6,",8200 Schaffhausen,4.0,85.0,1865,3.33,Apartment,2011,1980,1
4002116362,"Rabenfluhstrasse 18,",8212 Neuhausen am Rheinfall,5.5,139.0,2358,5.75,Apartment,-1,-1,1
4002121203,"Herblingerstrasse 105,",8207 Schaffhausen,3.5,76.0,1370,4.75,Apartment,-1,1990,0
4002123425,"Im Rhytech 3,",8212 Neuhausen am Rheinfall,3.5,125.0,3300,6.75,Apartment,-1,2024,1
4002124819,"Gütliweg 1,",8200 Schaffhausen,4.5,-1,2390,6.0,Apartment,-1,-1,0
4002128828,,,-1,-1,-1,-1,,-1,-1,0
4002142883,"Steingutstrasse 32,",8200 Schaffhausen,2.5,74.0,1750,3.0,Apartment,-1,2014,1
4002145518,"Köhlerweid 20,",8260 Stein am Rhein,4.5,150.0,2290,10.75,Row house,-1,1990,1
4002146832,"Schaffhauserstrasse 2,",8213 Neunkirch,4.5,-1,1490,3.25,Apartment,-1,-1,0
4002152920,"Rundbuckstrasse 2,",8212 Neuhausen am Rheinfall,-1,-1,-1,9.0,Retail,-1,-1,0
4002162721,"Charlottenweg 25,",8212 Neuhausen am Rheinfall,1.5,-1,1020,9.75,Apartment,-1,-1,0
4002166010,"Vorstadt 14,",8200 Schaffhausen,3.5,94.0,2665,2.0,Apartment,-1,-1,0
4002166011,"Neustadt 47,",8200 Schaffhausen,3.0,-1,1290,2.25,Apartment,-1,1600,0
4002166013,"Vorstadt 14,",8200 Schaffhausen,4.5,97.0,2770,2.0,Apartment,-1,-1,0
4002166016,"Schaffhauserstrasse 40,",8222 Beringen,5.0,-1,1790,6.67,Apartment,-1,-1,1
4002169612,,,-1,-1,-1,-1,,-1,-1,0
4002173593,,,-1,-1,-1,-1,,-1,-1,0
4002176134,,,3.5,103.0,2810,-1,Apartment,-1,2023,0
4002176691,"Zieglerweg 32,",8240 Thayngen,-1,16.0,140,5.0,Hobby room,-1,2014,0
4002185101,"Blumenstr. 37,",8240 Thayngen,3.0,67.0,1550,4.0,Apartment,-1,-1,0
4002186613,"Im Rhytech 1,",8212 Neuhausen am Rheinfall,1.5,37.0,1515,5.75,Apartment,-1,2024,0
4002196719,"Bleicheplatz 4,",8200 Schaffhausen,3.5,91.0,2090,2.25,Apartment,-1,2014,1
4002198868,"Schaffhauserstrasse 52,",8212 Neuhausen am Rheinfall,4.5,-1,1500,6.5,Apartment,-1,-1,0
4002199387,"Gennersbrunnerstraße 1,",8207 Schaffhausen,-1,-1,120,4.5,Cellar compartment,-1,-1,0
4002209040,"Im Rhytech 7,",8212 Neuhausen am Rheinfall,5.5,130.0,2750,6.5,Apartment,-1,-1,1
4002209586,"Bachstr. 28,",8200 Schaffhausen,3.5,80.0,1935,2.5,Apartment,-1,-1,1
4002216214,"Orichhöhe 8,",8260 Stein am Rhein,7.5,212.0,4050,8.75,Single house,-1,1919,1
4002218840,"Rathausplatz 14,",8260 Stein am Rhein,1.0,-1,760,1.75,Single Room,-1,-1,0
4002219376,"Charlottenweg 23,",8212 Neuhausen am Rheinfall,3.5,-1,1390,9.75,Apartment,-1,-1,1
4002219888,"Lochstrasse 93,",8200 Schaffhausen,3.5,81.0,1990,12.67,Apartment,2025,-1,1
4002226439,"Haupt Str. 58, Merishausen,",8232 Merishausen,1.0,25.0,650,-1,Apartment,-1,-1,0
4002232754,"Klösterli 19,",8222 Beringen,3.0,69.0,1400,6.33,Apartment,2008,1976,1
4002234264,"Fischergässchen 15,",8200 Schaffhausen,4.0,96.0,1680,2.25,Apartment,1983,1905,0
4002236084,"Artilleriestrasse 4,",8200 Schaffhausen,1.0,30.0,930,7.0,Apartment,-1,-1,1
4002236442,,,-1,-1,550,-1,Single Room,-1,-1,0
