id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3001525468,"Bahnhofstrasse 172,",6423 Seewen SZ,1.0,-1,750,5.25,Single Room,-1,-1,0
3003296216,"Bahnhofstrasse 172,",6423 Seewen SZ,1.0,24.0,1090,5.25,Apartment,2022,2022,0
3003296264,"Bahnhofstrasse 172,",6423 Seewen SZ,1.0,25.0,1140,5.25,Apartment,2022,2022,1
4001723241,"Mühlebachstrasse 1,",8832 Wollerau,2.5,93.0,3370,6.75,Apartment,-1,-1,1
4001724220,"Bahnhofstrasse 172,",6423 Seewen SZ,1.0,20.0,1040,5.25,Apartment,2022,2022,0
4001751936,"Bahnhofstrasse 172,",6423 Seewen SZ,1.0,-1,850,5.25,Single Room,-1,-1,0
4001945574,"Churerstrasse 109,",8808 Pfäffikon SZ,1.0,-1,1119,6.0,Single Room,2021,-1,0
4001960100,"Dorfstrasse 27,",8834 Schindellegi,1.0,13.0,1010,4.33,Single Room,2017,1900,0
4001966479,,,5.5,168.0,9400,-1,Single house,-1,1984,1
4002044403,"Mühlestrasse 35,",8854 Siebnen,-1,-1,6500,11.0,Single house,-1,-1,0
4002045421,"Glarnerstrasse 25a,",8854 Siebnen,3.5,79.0,1950,2.25,Apartment,2018,-1,0
4002060788,"Chlausjägergasse 8,",6403 Küssnacht am Rigi,2.5,58.0,2450,5.75,Apartment,-1,2025,1
4002060789,"Chlausjägergasse 8,",6403 Küssnacht am Rigi,3.5,76.0,2900,6.0,Apartment,-1,2025,1
4002074583,"Schwanenstrasse 32,",8840 Einsiedeln,2.5,67.0,2050,3.0,Apartment,2025,-1,1
4002097062,,,5.5,129.0,2650,-1,Apartment,-1,2000,1
4002112081,,,4.5,160.0,3800,-1,Row house,2017,1997,0
4002129150,,,3.5,121.0,2440,-1,Maisonette / Duplex,2025,1820,0
4002133471,"Dorfstrasse 31,",6417 Sattel,6.5,181.0,3740,3.33,Apartment,-1,2017,1
4002166659,"Kantonsstrasse 31,",8862 Schübelbach,4.5,120.0,2790,8.67,Apartment,2023,2012,1
4002166743,"Etzelblickstrasse,",8834 Schindellegi,2.5,75.0,3980,4.67,Apartment,-1,2009,1
4002166799,"Etzelblickstrasse 1,",8834 Schindellegi,3.5,130.0,5450,4.67,Apartment,2024,2009,1
4002168941,"Rebstockstrasse,",8808 Pfäffikon SZ,3.5,114.0,4050,4.25,Apartment,2020,2011,1
4002174048,"Chällenstrasse 8,",8852 Altendorf,5.5,143.0,3600,13.75,Maisonette / Duplex,-1,2011,1
4002175643,,,4.0,100.0,2280,-1,Chalet,2023,2000,0
4002185597,"Balbweg 7,",8832 Wollerau,3.0,163.0,7950,7.25,Roof flat,-1,-1,1
4002188764,"Obere Paulistrasse 42,",8834 Schindellegi,4.5,226.0,7950,8.0,Apartment,-1,2023,1
4002190849,,,3.5,66.0,2400,-1,Roof flat,2025,-1,0
4002190850,,,3.5,68.0,2400,-1,Apartment,2025,-1,0
4002195540,"Langrütistrasse 39a,",8840 Einsiedeln,5.5,182.0,4750,5.25,Maisonette / Duplex,-1,-1,1
4002209059,,,6.5,178.0,3950,-1,Row house,-1,2010,0
4002209998,"Churerstrasse,",8808 Pfäffikon SZ,4.5,95.0,3000,-1,Apartment,-1,-1,0
4002228057,,,4.5,144.0,6200,-1,Apartment,2025,2010,1
4002231941,"Dorfstrasse 31,",6417 Sattel,6.5,-1,3880,3.33,Maisonette / Duplex,-1,2017,1
4002233252,"Speerstrasse 4b,",8832 Wilen b. Wollerau,-1,120.0,1300,8.25,Single Room,-1,-1,0
4002233455,"Speerstrasse 4b,",8832 Wilen b. Wollerau,-1,120.0,1300,8.25,Single Room,-1,-1,0
