id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3000821580,"Höhenstrasse West 29,",4600 Olten,3.5,-1,1550,8.0,Apartment,-1,-1,1
4000728369,"Lingerizstrasse 88,",2540 Grenchen,4.5,-1,1650,11.25,Apartment,-1,-1,1
4000824138,,,-1,-1,-1,-1,,-1,-1,0
4001100565,"Westbahnhofstrasse 4,",4500 Solothurn,1.5,115.0,1790,2.75,Roof flat,2006,-1,0
4001264485,"Hohlenstrasse 24a,",2540 Grenchen,3.5,-1,1880,8.0,Apartment,-1,2021,1
4001293211,"Kurzäckerlistrasse 482,",4252 Bärschwil,5.5,121.0,1660,-1,Apartment,2023,1998,0
4001330177,"Poststrasse 2,",4500 Solothurn,-1,210.0,100,3.75,Hobby room,2024,-1,0
4001333716,"Simplonstrasse 50,",2540 Grenchen,3.5,-1,1530,7.5,Apartment,2024,-1,1
4001349898,,,-1,-1,-1,-1,,-1,-1,0
4001349899,,,-1,-1,-1,-1,,-1,-1,0
4001427214,"Dorfstrasse 21,",4612 Wangen bei Olten,2.5,90.0,1640,6.33,Loft,-1,-1,0
4001427215,,,-1,-1,-1,-1,,-1,-1,0
4001535060,"Heilbronnerstrasse 9A,",4500 Solothurn,3.5,83.0,1600,7.0,Apartment,-1,1988,1
4001598094,"Am Kreuzbach 6,",4612 Wangen b. Olten,3.5,118.0,1790,9.0,Maisonette / Duplex,-1,-1,0
4001624925,"Hauptgasse 11,",4500 Solothurn,2.0,60.0,1300,2.25,Apartment,-1,1880,0
4001653840,"Bachmatt 3,",4625 Oberbuchsiten,4.5,89.0,1660,6.67,Apartment,-1,-1,1
4001655415,"Oberdorfstrasse 24,",4227 Büsserach,2.0,-1,840,5.5,Hobby room,-1,-1,0
4001668544,"Mühletalweg 5,",4600 Olten,3.5,90.0,1988,7.0,Apartment,2003,1963,1
4001701139,"Berggäustrasse 28,",4626 Niederbuchsiten,4.5,95.0,1692,10.0,Apartment,-1,-1,0
4001701728,"Schluchtbachstrasse 1,",4552 Derendingen,-1,25.0,250,7.75,Hobby room,-1,-1,0
4001753123,"Niderfeld 4,",4617 Gunzgen,4.5,108.0,1860,6.0,Apartment,-1,-1,1
4001756942,"Chöpfliweg 4,",4114 Hofstetten SO,3.0,94.0,1430,3.5,Roof flat,2020,-1,0
4001781276,"Wollmattweg 6,",4143 Dornach,4.5,91.0,1875,4.5,Apartment,2002,1966,1
4001783359,"Im Rickenbacherfeld 11,",4612 Wangen b. Olten,4.5,-1,2110,8.67,Apartment,-1,2026,1
4001783361,"Im Rickenbacherfeld 11,",4612 Wangen b. Olten,3.5,-1,1830,8.67,Apartment,-1,2026,1
4001783386,"Im Rickenbacherfeld 11,",4612 Wangen b. Olten,2.5,-1,1490,8.67,Apartment,-1,2026,1
4001787013,"Dorfstrasse 37,",4623 Neuendorf,4.5,122.0,2290,3.5,Apartment,2014,1900,0
4001789343,"Gösgerstrasse 7,",5015 Erlinsbach SO,4.0,48.0,1460,4.0,Apartment,-1,-1,1
