id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3002697949,"Wiedenstrasse 50b,",9470 Buchs SG,-1,108.0,1990,6.25,Hobby room,-1,2003,0
3003134794,"Hauptstrasse 81,",9113 Degersheim,-1,206.0,1850,2.75,Apartment,2017,-1,0
3003135915,"Haldenhof 6,",9000 St. Gallen,1.0,164.0,-1,3.5,Apartment,-1,2021,0
3003328660,"Wiedenstrasse 50b,",9470 Buchs SG,-1,108.0,1990,4.25,Retail,-1,-1,0
4000741525,"Obstgartenstrasse 8,",9300 Wittenbach,4.5,95.0,1890,5.75,Apartment,-1,1996,0
4000802645,"Hauptstrasse 27,",9477 Trübbach,-1,276.0,-1,4.5,Hobby room,-1,-1,0
4000802648,"Hauptstrasse 27,",9477 Trübbach,-1,974.0,-1,4.5,Hobby room,-1,-1,0
4001012135,"Hauptstrasse 27,",9477 Trübbach,-1,20.0,-1,4.5,Hobby room,-1,-1,0
4001284512,"Kirchstrasse 65,",9400 Rorschach,4.0,64.0,1375,5.0,Apartment,2014,-1,1
4001337976,"Industriestrasse 3,",9015 St. Gallen,3.5,135.0,1740,4.33,Apartment,-1,-1,1
4001400773,"Metzgergasse 24,",9000 St. Gallen,3.0,-1,1690,3.25,Apartment,-1,-1,1
4001442450,"Teufenerstrasse 180,",9012 St. Gallen,1.0,23.0,760,14.75,Apartment,-1,-1,1
4001450264,"Lindenstrasse 155,",9016 St. Gallen,2.5,83.0,1740,4.5,Apartment,-1,-1,1
4001467830,"Schorenstrasse 56,",9000 St. Gallen,3.5,-1,1990,9.25,Apartment,-1,-1,0
4001484929,"Wassergasse 47,",9000 St. Gallen,3.5,75.0,1900,3.0,Apartment,2024,-1,1
4001496117,"Schorenstrasse 56,",9000 St. Gallen,3.5,-1,1645,9.25,Apartment,-1,-1,1
4001510320,"Andwilerstrasse 56,",9200 Gossau SG,2.5,66.0,1860,4.67,Apartment,-1,2025,0
4001585637,"Zürcherstrasse 216a,",9014 St. Gallen,4.0,92.0,1790,4.0,Apartment,-1,-1,1
4001587542,"Hauptstrasse 99,",9430 St. Margrethen SG,4.5,-1,1550,3.75,Apartment,-1,-1,1
4001608309,"Dorfstrasse 45,",9425 Thal,1.5,-1,825,2.5,Apartment,-1,1971,0
4001636111,"Lärchenstrasse 5,",9630 Wattwil,4.5,76.0,1760,9.25,Apartment,-1,-1,1
4001636114,"Konsumstrasse 3,",9606 Bütschwil,3.5,86.0,1790,3.67,Apartment,-1,-1,1
4001637083,"Obstgartenstrasse 12a,",9300 Wittenbach,3.5,79.0,1660,7.0,Apartment,-1,1996,0
4001668678,"Spelterinistrasse 8b,",9602 Bazenheid,2.5,63.0,1860,6.75,Apartment,-1,2020,0
4001669066,"Bahnhofstr. 40a,",9200 Gossau SG,3.5,108.0,2140,5.0,Apartment,-1,2008,1
4001669281,"Brühlbleichestrasse 10,",9000 St. Gallen,2.5,47.0,1170,4.25,Apartment,2014,1920,0
4001670394,"Schöntalstrasse 1a,",9450 Altstätten SG,-1,120.0,1380,4.75,Workshop,-1,-1,0
4001686259,"Zilstrasse 74a,",9016 St. Gallen,4.5,115.0,2095,6.0,Apartment,-1,1985,0
4001731280,"Bahnhofstrasse 24,",8730 Uznach,3.5,98.0,1850,3.25,Apartment,-1,2012,0
4001743104,"St. Gallerstrasse 56 A,",9500 Wil SG,5.5,127.0,2290,8.75,Apartment,2024,-1,0
4001749454,"Chellenweiherweg 2a,",9200 Gossau SG,3.5,-1,1790,5.33,Apartment,-1,-1,1
4001749533,"Brugghalden 6,",9300 Wittenbach,3.5,80.0,1390,11.25,Apartment,-1,-1,1
4001763260,"St. Leonhardstrasse 75,",9000 St. Gallen,4.0,-1,2490,5.5,Apartment,-1,-1,1
4001770886,"Untere Kräzern 2a,",9015 St. Gallen,-1,22.0,150,10.33,Hobby room,-1,2010,0
4001792926,,,4.5,135.0,2900,-1,Terrace flat,-1,2023,0
4001800298,"Hauptstrasse 24A,",9400 Rorschach,2.0,-1,1090,4.5,Apartment,-1,-1,0
4001800364,"Hauptstrasse 83,",9113 Degersheim,5.0,102.0,1390,3.5,Maisonette / Duplex,-1,-1,1
4001806536,"Thurgauerstrasse 27,",9400 Rorschach,3.5,75.0,1320,5.75,Apartment,-1,-1,0
4001817408,"Langgasse 89,",9008 St. Gallen,2.5,70.0,1390,5.0,Attic flat,-1,-1,0
4001823979,"Wuhrstrasse 1,",9450 Lüchingen,-1,-1,690,5.33,Studio,-1,-1,0
4001834825,,,4.5,100.0,1990,-1,Apartment,-1,1920,1
4001834826,,,4.5,100.0,1990,-1,Apartment,2025,1920,1
4001836077,,,4.5,100.0,1990,-1,Apartment,-1,1920,0
4001837597,"Ringstrasse 4,",9200 Gossau SG,1.5,117.0,1990,5.5,Loft,-1,2015,1
4001838585,"Langgasse 155,",9008 St. Gallen,3.5,77.0,1510,9.67,Apartment,-1,1996,0
4001847302,"Talhofstrasse 2b,",9030 Abtwil SG,3.5,109.0,2580,8.67,Roof flat,-1,2024,1
4001847547,"Iddastrasse 30a,",9008 St. Gallen,4.5,86.0,1700,4.0,Apartment,-1,-1,0
4001850958,"Säntisstrasse 3,",9240 Uzwil,2.5,-1,1313,7.0,House,-1,-1,0
4001851956,"Bernhardswiesweg 4,",9014 St. Gallen,4.0,85.0,1620,11.5,Apartment,-1,1982,0
4001852220,"Schönaustrasse 81,",9000 St. Gallen,4.5,-1,2140,4.75,Apartment,2024,-1,1
4001860243,"Resedastrasse 3,",9404 Rorschacherberg,3.5,92.0,1740,7.5,Apartment,2016,1984,1
4001868849,"Fanenrietstrasse 3,",7320 Sargans,4.5,122.0,2645,12.33,Attic flat,-1,-1,1
4001868857,"St. Gallerstrasse 113,",9230 Flawil,4.5,110.0,2590,8.25,Apartment,-1,-1,1
4001868868,,,-1,-1,-1,-1,,-1,-1,0
4001874800,"Eichwiesstrasse 18a,",8645 Jona,3.5,-1,3300,7.75,Apartment,-1,-1,1
4001875372,"Grenzstrasse 13,",9430 St. Margrethen SG,-1,98.0,1525,3.75,Hobby room,-1,-1,0
4001878700,"Spelterinistrasse 28,",9602 Bazenheid,4.5,85.0,1440,8.25,Apartment,-1,-1,1
4001880161,"Paradiesstrasse 16,",9400 Rorschach,5.0,-1,1600,6.25,Apartment,-1,-1,0
4001883817,"Fellenbergstrasse 67,",9000 St. Gallen,3.5,81.0,1480,8.5,Apartment,-1,-1,0
4001885920,"Hauptgasse 16,",9620 Lichtensteig,4.5,145.0,2360,2.33,Roof flat,2025,1850,1
4001886524,"Bruggwaldstrasse 100,",9300 Wittenbach,6.0,165.0,1940,9.5,Apartment,2005,1967,1
4001889182,"Bahnhofstrasse 31,",7323 Wangs,1.0,22.0,990,-1,Apartment,-1,1982,1
4001895897,"Schützenwiesweg 2,",9240 Uzwil,3.5,83.0,1540,4.25,Apartment,-1,-1,0
4001900156,,,4.5,-1,1800,-1,Apartment,-1,-1,0
4001901217,"Hagenbuchstrasse 31,",9000 St. Gallen,3.0,75.0,1355,9.0,Apartment,-1,-1,0
4001902787,"Stelzenrebenstrasse 3,",9403 Goldach,5.5,105.0,2015,7.0,Apartment,-1,-1,1
4001905646,"Obstgartenstrasse 12,",9300 Wittenbach,3.5,78.0,1750,5.75,Apartment,-1,1996,0
4001908740,"Bahnhofstrasse 8,",9475 Sevelen,4.5,120.0,2640,3.5,Roof flat,-1,-1,1
4001913523,"Teufenerstr. 121 a,",9000 St. Gallen,2.5,-1,1140,9.0,Apartment,-1,-1,0
4001913532,"Hauptstrasse 83,",9113 Degersheim,3.0,68.0,1190,3.5,Apartment,-1,-1,1
4001913559,"Franklinstrasse 19,",9400 Rorschach,6.0,120.0,1530,7.0,Maisonette / Duplex,-1,-1,0
4001914219,"Treuackerstrasse 33,",9000 St. Gallen,3.0,78.0,1390,8.25,Apartment,-1,-1,1
4001914878,"Rorschacherstrasse 82,",9450 Altstätten SG,-1,154.0,1990,7.75,Retail,-1,-1,0
4001917571,"Oststrasse 19,",9000 St. Gallen,3.5,-1,2050,6.25,Attic flat,-1,-1,1
4001917585,"Oberzilstrasse 17,",9016 St. Gallen,3.5,80.0,1550,9.0,Apartment,2008,1970,0
4001920275,"Johannes-Brasselstrasse 19,",9430 St. Margrethen SG,-1,120.0,2200,5.5,Retail,-1,-1,0
4001923855,"Eschlenstrasse 48,",9404 Rorschacherberg,4.5,80.0,1450,13.5,Apartment,-1,-1,1
4001930495,"Langgasse 108/110,",9008 St. Gallen,3.5,79.0,1595,6.0,Apartment,-1,-1,0
4001931425,"Adlerstrasse 16,",9463 Oberriet,3.5,-1,1540,8.0,Apartment,-1,-1,0
4001937026,"Ruhbergstrasse 22,",9230 Flawil,4.5,-1,1770,5.5,Roof flat,-1,1994,1
4001938530,"Chellenweiherweg 4,",9200 Gossau SG,4.5,102.0,2065,6.0,Apartment,-1,-1,1
4001940938,"Teufenerstrasse 180,",9012 St. Gallen,2.0,38.0,1060,14.75,Apartment,-1,2015,1
4001940994,"Schibistrasse 10,",9000 St. Gallen,3.0,65.0,1280,5.0,Apartment,-1,-1,0
4001948170,"Bachwiesstrasse 1,",9404 Rorschacherberg,2.0,-1,1290,3.5,Apartment,-1,-1,1
4001949087,"Zilstrasse 12a,",9016 St. Gallen,3.5,75.0,1540,7.25,Apartment,-1,-1,1
4001954986,"Säntisstrasse 10,",9400 Rorschach,2.0,-1,990,6.0,Apartment,-1,-1,0
4001957757,"St. Gallerstrasse 66,",9200 Gossau SG,2.5,38.0,1205,2.25,Apartment,2013,1920,0
4001962032,"Feldgass 10,",9478 Azmoos,5.5,137.0,1990,5.0,Apartment,-1,1967,1
4001963811,"Spisergasse 34,",9000 St. Gallen,3.0,58.0,1290,1.75,Apartment,-1,-1,0
4001967531,"Gerbestrasse 7,",9000 St. Gallen,2.5,62.0,1330,2.0,Apartment,2019,1920,0
4001978094,"Ringstrasse 4d (21800),",8737 Gommiswald,2.5,80.0,1850,3.0,Apartment,-1,2024,1
4001979021,"Kirchstrasse 1a,",9327 Tübach,4.5,117.0,2180,3.67,Roof flat,-1,2006,1
4001984334,"Sonnrainweg 12,",9008 St. Gallen,1.0,24.0,780,8.0,Apartment,2010,1976,0
4001996601,"Friedeggstrasse 3,",9000 St. Gallen,3.5,85.0,1450,6.25,Apartment,2016,-1,1
4001997051,"Bischofszellerstr. 16,",9200 Gossau SG,4.5,105.0,2180,5.25,Apartment,-1,2013,1
4001997461,"Sonnrainweg 4,",9008 St. Gallen,4.5,90.0,1790,10.0,Apartment,2010,1976,0
4002000456,"Haldenstrasse 21,",9000 St. Gallen,2.0,-1,1298,3.5,Apartment,-1,-1,0
4002002387,"Oberstrasse 200,",9000 St. Gallen,4.0,-1,1450,10.25,Apartment,-1,-1,0
4002002388,"Oberstrasse 200,",9000 St. Gallen,3.0,-1,1280,10.25,Roof flat,-1,-1,0
4002002472,"Ahornstrasse 23a,",9000 St. Gallen,1.5,33.0,1050,7.75,Apartment,-1,2022,1
4002004099,"Sonnrainweg 10,",9008 St. Gallen,3.5,70.0,1490,8.0,Apartment,2010,1976,0
4002005716,,,3.5,76.0,1250,-1,Apartment,2022,1980,1
4002007135,"Reitbahnstrasse 29,",9400 Rorschach,3.5,-1,1480,4.75,Apartment,2025,-1,0
4002007136,"Löwenstrasse 23,",9400 Rorschach,1.0,-1,980,4.75,Apartment,-1,-1,1
4002007619,"Sankt Gallerstrasse 57,",9300 Wittenbach,2.5,-1,1360,10.5,Apartment,-1,-1,1
4002010471,"Zürcherstrasse 7,",8730 Uznach,3.5,92.0,2073,2.5,Apartment,-1,2012,0
4002017551,,,4.5,90.0,1960,-1,Apartment,-1,1920,1
4002024955,"Hügelstrasse 12A,",9200 Gossau SG,4.0,92.0,1590,6.0,Apartment,-1,1973,1
4002025350,"Wachsbleichestrassse 49,",9400 Rorschach,2.5,-1,1340,5.0,Apartment,-1,-1,0
4002025792,"Haini-Rennhas-Strasse 22,",9403 Goldach,3.5,71.0,1460,6.75,Apartment,2005,1963,0
4002034060,"Rickenstrasse 20,",9014 St. Gallen,2.0,38.0,1200,4.0,Apartment,2018,1930,0
4002037777,"Espenmoosstrasse 8,",9008 St. Gallen,2.5,56.0,1295,6.75,Apartment,-1,-1,1
4002040335,"Obstgartenstrasse 12a,",9300 Wittenbach,4.5,100.0,1690,7.0,Apartment,-1,1996,0
4002040349,"Obstgartenstrasse 12,",9300 Wittenbach,2.5,54.0,1450,5.75,Apartment,-1,1996,0
4002041836,"Lettenweg 7,",9462 Montlingen,4.5,112.0,2280,7.5,Maisonette / Duplex,-1,2024,0
4002042528,"Hauptstrasse 80,",9434 Au SG,3.5,61.0,1090,4.33,Apartment,-1,-1,0
4002044550,"Teufenerstrasse 180,",9012 St. Gallen,2.0,44.0,990,14.75,Roof flat,-1,2020,0
4002049781,"Ahornstrasse 60,",9000 St. Gallen,3.5,76.0,1740,10.5,Apartment,-1,2022,0
4002050752,"St. Gallerstrasse 163, 8645 Jona,",8645 Rapperswil-Jona,-1,118.0,1260,6.0,Hobby room,-1,-1,0
4002051346,"St. Gallerstrasse 66,",9200 Gossau SG,3.5,58.0,1420,2.25,Apartment,2013,1920,0
4002052731,"Tablatstr. 12b,",9016 St. Gallen,3.5,84.0,1530,8.75,Apartment,2012,1981,1
4002054434,"Zilstrasse 60,",9016 St. Gallen,4.5,94.0,1740,7.5,Apartment,-1,-1,0
4002061592,"Signalstrasse 8,",9400 Rorschach,2.0,52.0,1070,2.75,Apartment,-1,-1,1
4002063220,"Iddastrasse 30a,",9008 St. Gallen,3.5,62.0,1230,4.0,Apartment,-1,-1,0
4002064376,"Bahnhofstrasse 7,",9443 Widnau,-1,50.0,750,4.0,Retail,-1,-1,0
4002068548,"beim Berggasthaus Gonzen,",9478 Azmoos,2.0,43.0,-1,-1,Apartment,-1,2024,0
4002069205,"Chellenweiherweg 2a,",9200 Gossau SG,-1,100.0,2095,6.0,Roof flat,-1,-1,1
4002070383,"Kruft 8,",9425 Thal,3.5,70.0,1930,3.0,Apartment,-1,2013,1
4002070469,"Bahnhofstrasse 23,",7320 Sargans,4.0,-1,1720,3.0,Apartment,-1,-1,1
4002073650,"Romanshornerstrasse 27,",9300 Wittenbach,3.5,87.0,1690,5.75,Apartment,-1,-1,1
4002073836,"Erlenstrasse 5,",9212 Arnegg,4.5,106.0,1990,7.5,Roof flat,-1,-1,1
4002077385,"Stadtbühlstr. 4,",9200 Gossau SG,3.5,95.0,1909,4.0,Apartment,-1,2008,1
4002081485,,,6.5,180.0,3440,-1,Attic flat,2015,1980,0
4002085934,"Hauptstrasse 49,",9400 Rorschach,4.5,149.0,1990,3.25,Apartment,2015,1730,0
4002086522,"Merkurstrasse 1,",9000 St. Gallen,1.5,24.0,1135,1.5,Apartment,2025,2025,0
4002086616,"Poststrasse 15,",9477 Trübbach,2.5,47.0,1700,4.75,Apartment,-1,-1,1
4002086846,"Fellenbergstrasse 67,",9000 St. Gallen,1.5,32.0,940,8.5,Apartment,-1,-1,0
4002089487,"Espenstrasse 139,",9443 Widnau,4.0,-1,2850,10.25,Roof flat,2025,2002,1
4002089488,"Steigstrasse 16a,",9444 Diepoldsau,-1,48.0,930,4.25,Workshop,-1,-1,0
4002090012,"Hauptstrasse 99,",9430 St. Margrethen SG,3.5,-1,1390,3.75,Apartment,-1,-1,1
4002090087,"Auenstrasse 4,",9434 Au SG,4.0,67.0,1450,6.33,Apartment,-1,-1,0
4002090369,,,3.5,65.0,1320,-1,Apartment,2025,2020,0
4002091589,"Linsebühlstrasse 50,",9000 St. Gallen,2.5,-1,1240,4.25,Apartment,-1,-1,1
