id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3000485250,"Hamelstrasse 1,",9320 Arbon,3.5,113.0,2421,2.75,Apartment,-1,2020,1
3002715275,"Schützenstrasse 4,",8575 Bürglen TG,-1,11.0,70,3.67,Hobby room,-1,-1,0
4000708738,"Mirabellenweg 4,",8590 Romanshorn,-1,7.0,90,5.67,Hobby room,-1,2011,0
4000939381,"Märwilerstrasse 41,",9556 Affeltrangen,1.0,-1,550,6.67,Single Room,-1,-1,0
4001020026,"Sommeristrasse 22,",8580 Amriswil,4.5,133.0,2700,10.0,Roof flat,2024,-1,0
4001092631,"Amriswilerstrasse 5,",8570 Weinfelden,3.5,89.0,1830,3.75,Apartment,-1,-1,1
4001349554,"Amriswilerstrasse 5,",8570 Weinfelden,4.0,127.0,2000,3.75,Maisonette / Duplex,-1,-1,1
4001543499,"Brauerstrasse 5,",9320 Arbon,4.0,72.0,1290,5.0,Apartment,-1,-1,0
4001565743,"Stickereistrasse 4,",9320 Arbon,1.5,82.0,1780,2.75,Apartment,-1,2015,0
4001596159,"Wiesenstrasse 4,",8580 Amriswil,5.5,150.0,2080,9.75,Roof flat,-1,-1,1
4001624397,,,4.0,85.0,1800,-1,Apartment,2024,1900,0
4001653769,"Hauptstrasse 28,",8546 Islikon,4.5,-1,2270,8.0,Apartment,-1,-1,1
4001688799,"Romanshornerstrasse 225,",8580 Hefenhofen,4.5,120.0,1900,-1,Apartment,-1,-1,1
4001712535,,,8.5,213.0,2920,-1,Apartment,-1,1991,1
4001730200,"Brühlstrasse 96,",9320 Arbon,4.5,111.0,2040,8.33,Apartment,-1,-1,1
4001744943,"Laagasse 1,",9565 Rothenhausen,4.5,130.0,2460,10.5,Apartment,-1,2022,1
4001761110,"Romanshornerstrasse 7,",8592 Uttwil,9.0,208.0,3900,6.0,Single house,-1,1808,1
4001783318,"Hamelplatz 2,",9320 Arbon,3.5,90.0,2034,3.75,Apartment,-1,2020,1
4001786289,"Hubstrasse 9,",8590 Romanshorn,4.5,77.0,1430,6.25,Apartment,2012,-1,1
4001787073,"Reckholdernstrasse 13,",8590 Romanshorn,-1,75.0,1440,6.75,Studio,-1,-1,0
4001799704,"Giessereistrasse 11,",9320 Arbon,2.5,60.0,1510,7.0,Apartment,-1,-1,1
4001809246,"Buchenweg 1,",8266 Steckborn,4.5,70.0,1360,5.75,Apartment,-1,-1,1
4001818750,"Städeliweg 5,",9220 Bischofszell,3.5,82.0,1625,6.75,Apartment,-1,1996,1
4001857355,"Wilerstrasse 20,",9542 Münchwilen TG,2.5,65.0,1470,3.5,Apartment,-1,2015,0
4001859422,"Hofenstrasse 2,",9542 Münchwilen TG,4.5,98.0,1990,8.0,Attic flat,-1,1995,1
4001867453,"Metropolstrasse 4,",9320 Arbon,3.5,63.0,1270,5.0,Apartment,2022,1960,1
4001883013,"Hirschenweg 2,",8580 Amriswil,2.5,-1,1285,4.0,Apartment,-1,-1,1
4001884415,"St. Gallerstrasse 194,",9548 Matzingen,4.5,121.0,2780,13.0,Attic flat,-1,-1,1
4001884416,"St. Gallerstrasse 194,",9548 Matzingen,5.5,161.0,3200,13.0,Attic flat,-1,-1,1
4001919304,,,5.5,197.0,2950,-1,Apartment,-1,2013,0
4001923828,,,3.5,54.0,1280,-1,Apartment,2020,1850,0
4001924784,"Giessereistrasse 11,",9320 Arbon,2.5,53.0,1460,7.0,Apartment,-1,-1,1
4001927172,"Hubstrasse 7,",8590 Romanshorn,4.5,77.0,1430,6.5,Apartment,-1,-1,1
4001945754,"Brühlstrasse 63,",9320 Arbon,3.5,89.0,1290,10.0,Maisonette / Duplex,1994,1960,0
4001946487,"Seeblickstrasse 1,",9320 Arbon,4.5,105.0,1790,7.25,Apartment,-1,-1,0
4001947534,"Bruggmühle 7,",9220 Bischofszell,4.5,203.0,2950,5.75,Loft,2023,-1,1
