id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
109557177,"Quartiere Sagittario,",6512 Giubiasco,-1,35.0,900,-1,Apartment,-1,-1,1
109559147,"Quartiere Sagittario,",6512 Giubiasco,2.5,68.0,1200,-1,Apartment,-1,-1,0
109559241,"Quartiere Sagittario,",6512 Giubiasco,3.5,98.0,1400,1.5,Apartment,-1,-1,1
109559317,"Quartiere Sagittario,",6512 Giubiasco,4.5,114.0,1570,-1,Apartment,-1,-1,1
3001945696,"VIA CEREDA 7C,",6828 Balerna,3.0,90.0,1230,13.75,Apartment,-1,-1,0
3001945724,"Via al Mulino 10,",6995 Molinazzo di Monteggio,4.5,-1,1140,-1,Apartment,-1,-1,0
3002580124,,,2.5,91.0,1300,-1,Apartment,-1,-1,0
3003050080,"Via Saleggi 1,",6512 Giubiasco,3.5,79.0,1490,2.25,Apartment,-1,-1,1
3003136795,"Viale C. Olgiati 20,",6512 Giubiasco,2.5,68.0,1200,2.0,Apartment,-1,-1,1
3003138579,"Via Motta 6 mendrisio,",6850 Mendrisio,2.5,55.0,1400,4.75,Apartment,-1,-1,1
3003221874,"Via Antonio Brenni 4,",6850 Mendrisio,1.0,-1,650,4.0,Apartment,-1,2020,1
3003221876,"Via Antonio Brenni 4,",6850 Mendrisio,1.0,-1,700,4.0,Apartment,-1,2020,1
3003324284,"Via Stazione  51,",6987 Caslano,3.5,77.0,1550,4.0,Apartment,-1,-1,1
3003522316,,,5.0,300.0,7000,-1,Villa,-1,-1,0
4000121741,"Piazza Grande 13,",6600 Locarno,4.0,94.0,1490,2.25,Apartment,-1,1956,1
4000203702,"Via Baldassarre Fontana 10,",6830 Chiasso,2.5,80.0,1120,3.5,Apartment,-1,-1,0
4000237339,"strada Növa 3,",6968 Sonvico,5.5,200.0,3500,1.5,Apartment,-1,-1,0
4000276014,"Via San Gottardo 41,",6500 Bellinzona,1.0,15.0,450,4.5,Single Room,-1,-1,1
4000355858,"Viale Monte Verità 7,",6612 Ascona,1.0,29.0,1090,3.75,Apartment,2018,-1,1
4000405379,"Via Lugano 16,",6710 Biasca,3.0,60.0,1050,7.75,Apartment,-1,-1,1
4000412834,,,-1,-1,-1,-1,,-1,-1,0
4000454917,,,-1,-1,-1,-1,,-1,-1,0
4000488954,"Via San Gottardo 47,",6500 Bellinzona,4.5,80.0,1500,6.25,Apartment,-1,-1,1
4000611086,"Via Stazione 51,",6987 Caslano,4.5,-1,1700,4.0,Apartment,-1,-1,1
4000705769,"Via Angelo Nessi 38,",6600 Locarno,2.5,40.0,1020,5.25,Apartment,2020,1970,0
4000726956,"Via della Pace 1A,",6600 Locarno,1.5,35.0,1000,4.0,Apartment,-1,-1,0
4000798476,"Via Pusterla 6,",6828 Balerna,3.5,84.0,1550,2.25,Apartment,2024,-1,0
4000798490,"Via Pusterla 6,",6828 Balerna,3.5,76.0,1450,2.25,Apartment,2024,-1,0
4000799636,,,5.5,213.0,5800,-1,Single house,-1,1996,0
4000838387,"Via Fiorita 4F,",6977 Ruvigliana,3.5,90.0,2180,15.0,Loft,1997,-1,1
4000843983,"Piazza Grande 13,",6600 Locarno,3.5,74.0,1250,2.5,Apartment,-1,1956,1
4000886225,"Via Quinta 47,",6710 Biasca,3.5,87.0,990,8.0,Apartment,-1,-1,1
4000948012,"Via Ronco 2,",6883 Novazzano,3.5,-1,1300,4.33,Apartment,-1,-1,1
4000966113,"Via Ronco 2,",6883 Novazzano,3.5,-1,1350,4.33,Apartment,-1,-1,1
4000969467,"Via Sottobisio 12,",6828 Balerna,4.5,96.0,1350,8.25,Apartment,-1,-1,0
4001022019,"Via Chiblee 39,",6514 Sementina,2.5,-1,1600,9.75,Apartment,2021,-1,0
4001022020,"Via Chiblee 39,",6514 Sementina,2.5,-1,1600,9.75,Apartment,2021,-1,0
4001074751,"Via Cava 5,",6855 Stabio,2.5,54.0,1150,5.5,Apartment,-1,-1,1
4001089419,"In di Vign 10,",6705 Cresciano,2.5,54.0,1250,-1,Apartment,-1,-1,1
4001114267,,,5.5,-1,3000,-1,Single house,-1,2022,0
4001114284,"Via Canton Uri,",6775 Ambrì,4.0,-1,1050,-1,Apartment,-1,-1,0
4001114300,,,3.5,91.0,1640,-1,Apartment,-1,-1,0
4001126004,,,-1,-1,-1,-1,,-1,-1,0
4001131845,,,2.5,-1,1340,-1,Apartment,-1,-1,0
4001140230,,,-1,-1,-1,-1,,-1,-1,0
4001158052,"Via Morella,",6900 Lugano,2.5,54.0,1540,4.25,Apartment,-1,2024,1
4001167066,"In di Vign 10,",6705 Cresciano,3.5,90.0,1550,-1,Apartment,-1,-1,1
4001193266,"Via Rogia 4,",6965 Cadro,6.5,125.0,2390,9.0,Apartment,-1,-1,1
4001194334,"Via Dottor Pagani 3,",6826 Riva San Vitale,3.5,85.0,1430,6.75,Apartment,-1,-1,1
4001232560,"Via Boscioro 18,",6962 Viganello,1.0,20.0,1070,4.5,Studio,-1,2024,1
4001241432,"Via dell'Indipendenza 10,",6826 Riva San Vitale,2.5,60.0,1490,3.5,Apartment,2017,2017,0
4001252485,,,6.0,222.0,10000,-1,Villa,-1,2003,0
4001261733,"Via Volta 2 / 2 A,",6830 Chiasso,2.5,53.0,1000,6.25,Apartment,-1,-1,0
4001262142,"Via Volta 2 / 2 A,",6830 Chiasso,3.5,100.0,1350,6.25,Apartment,-1,-1,1
4001280673,"Via San Gottardo 58C,",6500 Bellinzona,4.5,85.0,1390,5.5,Apartment,-1,-1,1
4001280943,"Lungolago Roncaioli 39,",6827 Brusino Arsizio,5.5,110.0,1150,3.0,Maisonette / Duplex,2024,-1,0
4001299417,"Riva Paradiso,",6900 Paradiso,4.5,125.0,5170,5.75,Apartment,-1,2024,1
4001336103,"Via Bolghetto 19,",6877 Coldrerio,3.5,129.0,2390,9.75,Apartment,2017,-1,1
4001349642,"Via Quinta 59,",6710 Biasca,4.5,90.0,1340,8.25,Apartment,-1,-1,1
4001350142,,,3.5,90.0,1600,-1,Single house,-1,-1,1
4001354404,"Via Sottobisio 12,",6828 Balerna,3.5,83.0,1240,8.25,Apartment,-1,-1,0
4001386970,"Via Carona (Paradiso),",6900 Paradiso,4.5,117.0,3200,4.0,Roof flat,2024,-1,1
4001401555,,,1.0,70.0,3000,-1,Loft,-1,-1,0
4001402725,"Via Circonvallazione 6,",6952 Canobbio,1.5,38.0,800,4.5,Apartment,-1,-1,0
4001433655,"Via Ronco 28a,",6618 Arcegno,5.0,-1,2600,-1,Single house,-1,-1,0
4001440736,"Via Cusolína 31,",6652 Terre di Pedemonte,1.5,36.0,1075,5.0,Apartment,2024,-1,0
4001442139,"Via Montalbano 1,",6925 Gentilino,4.5,220.0,6900,9.75,Apartment,-1,2024,1
4001445815,"Via G. Puccini 6,",6830 Chiasso,3.0,74.0,940,5.25,Apartment,-1,-1,1
4001449513,"Via alla Perfetta 5,",6864 Mendrisio,3.5,80.0,1450,7.5,Roof flat,-1,-1,0
4001449534,"Via Cantonale 71,",6838 Breggia,2.5,164.0,1550,-1,Apartment,-1,-1,1
4001450633,"Lugano,",6900 Lugano,5.5,212.0,7000,-1,Apartment,-1,-1,0
4001450697,"Gravesano,",6929 Lugano,2.5,65.0,1300,-1,Apartment,-1,-1,0
