id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3003409555,"Bahnhofstasse 18,",6460 Altdorf UR,-1,-1,345,8.5,Hobby room,-1,-1,0
3003409563,"Bahnhofstasse 18,",6460 Altdorf UR,-1,-1,390,8.5,Hobby room,-1,-1,0
3003409566,"Bahnhofstasse 18,",6460 Altdorf UR,-1,-1,330,8.5,Hobby room,-1,-1,0
4001663273,"Flüelerstrasse 78,",6460 Altdorf UR,3.0,52.0,1460,6.0,Apartment,-1,-1,1
4001689335,,,3.5,65.0,1390,-1,Roof flat,2023,1943,0
4001792604,"Schützengasse 1,",6460 Altdorf UR,1.0,23.0,695,3.0,Single Room,-1,-1,1
4001811981,"Schützengasse 4,",6460 Altdorf,1.0,53.0,1590,2.5,Apartment,2024,-1,1
4001938525,"Rathausplatz 5,",6460 Altdorf UR,3.5,117.0,2159,17.5,Roof flat,-1,-1,1
4002050953,"Schmiedgasse 1,",6460 Altdorf,2.0,31.0,1590,2.5,Apartment,2024,-1,1
4002131972,"Schützengasse 1,",6460 Altdorf UR,1.0,20.0,595,3.0,Single Room,-1,-1,1
4002154859,"Schmiedgasse 1,",6460 Altdorf,1.0,31.0,1390,2.5,Apartment,2024,-1,1
4002191127,,,-1,-1,-1,-1,,-1,-1,0
4002236413,"Seedorferstrasse,",6460 Altdorf UR,4.0,90.0,1500,-1,Apartment,-1,-1,0
4002246440,"Schützengasse 3,",6460 Altdorf UR,1.0,17.0,890,3.25,Apartment,-1,-1,0
4002265003,"Kohlplatz 4,",6474 Amsteg,4.5,-1,1100,-1,Apartment,-1,-1,0
4002265011,,,1.0,115.0,1700,-1,Apartment,-1,-1,0
4002268399,"Tellsgasse 3,",6460 Altdorf,6.5,220.0,2920,3.0,Maisonette / Duplex,-1,-1,1
4002276791,"In der Matte 2,",6460 Altdorf UR,5.5,125.0,2900,10.5,Attic flat,-1,-1,1
4002278564,"Lucendrogasse 2,",6490 Andermatt,2.5,59.0,2500,9.67,Apartment,-1,-1,0
4002287118,"In der Matte 8,",6460 Altdorf,4.5,109.0,2460,10.75,Apartment,-1,-1,1
4002287902,"Dorfstrasse 4,",6467 Schattdorf,2.0,44.0,1510,3.33,Apartment,-1,2014,1
4002292035,"Dorfstrasse 5,",6461 Isenthal,5.5,125.0,1100,2.33,Apartment,-1,-1,0
