id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
110338901,"Route de Verbier Station 74,",1936 Verbier,4.5,106.0,-1,1.75,Apartment,-1,-1,1
3000491869,"Rue de creta co,",1936 Verbier,6.5,265.0,-1,4.75,Chalet,-1,-1,1
3000806181,"Chemin de Plenadzeu,",1936 Verbier,5.5,188.0,-1,11.25,Chalet,2019,-1,1
3000876153,"Chemin Plan Pra,",1936 Verbier,5.5,135.0,-1,7.75,Chalet,2020,2020,1
3002118028,"Rte de Bel-Aube,",3963 Crans-Montana,5.5,120.0,3500,-1,Row house,-1,-1,1
3002260442,"Route de Vermala 73,",3963 Crans-Montana,6.5,190.0,-1,-1,Apartment,-1,-1,1
3003135361,"Chemin de Tracuit 29,",3967 Vercorin,3.0,60.0,-1,5.67,Apartment,-1,-1,1
3003135539,"Chemin de Tracuit 14,",3967 Vercorin,4.5,105.0,-1,3.67,Chalet,-1,-1,1
3003136061,"Les Jausses 12,",1973 Nax,5.0,120.0,-1,5.33,Chalet,-1,-1,1
3003136749,"Chemin du Bouillet 22,",3967 Vercorin,5.0,120.0,-1,5.33,Chalet,-1,-1,1
3003137730,"Route d'Anniviers 16,",3967 Vercorin,3.0,87.0,-1,1.33,Apartment,-1,-1,1
3003138222,"Route du Téléphérique 32,",3967 Vercorin,1.0,32.0,-1,4.67,Apartment,-1,-1,1
3003138430,"Chemin de Tracuit 37,",3967 Vercorin,3.0,75.0,-1,6.67,Apartment,-1,-1,1
3003138434,"Impasse de la Ferme 1,",3967 Vercorin,8.0,200.0,-1,7.67,Chalet,-1,-1,1
3003138528,"Rue Vermala 24b,",3963 Crans-Montana,1.5,67.0,1700,8.75,Studio,-1,2022,1
3003138772,"Route de Tsarbouye 30,",3963 Crans-Montana,8.0,-1,-1,11.5,Chalet,-1,-1,1
3003139679,"Impasse des Crêtes 17,",3967 Vercorin,7.0,280.0,-1,13.67,Chalet,-1,-1,1
3003148242,"Milachru,",3922 Stalden VS,-1,-1,-1,-1,Hobby room,-1,-1,0
3003389488,,,4.5,100.0,2950,-1,Apartment,2021,-1,1
3003559063,,,5.5,260.0,-1,-1,Apartment,-1,-1,1
4000100966,"Route de Tsa Crêta 33,",1968 Mase,4.5,80.0,-1,-1,Chalet,-1,-1,1
4000280817,"Route de la Moubra 54,",3963 Crans-Montana,4.5,-1,-1,8.5,Apartment,-1,-1,1
4000280821,"Route des Arolles 19,",3963 Crans-Montana,4.5,-1,4200,5.0,Apartment,-1,-1,1
4000431548,,,6.0,290.0,-1,-1,Attic flat,-1,-1,1
4000538395,,,4.5,125.0,-1,-1,Apartment,-1,-1,1
4000602092,"Route du Rawyl,",3963 Crans-Montana,4.5,110.0,-1,3.75,Apartment,-1,2016,1
4000602111,"Rue des Biolirs 2,",3963 Crans-Montana,5.5,200.0,-1,9.0,Apartment,-1,-1,1
4000629748,"Passage du Grenier 1,",3967 Vercorin,3.0,50.0,-1,3.0,Apartment,-1,-1,0
4000638506,"Route de Plans-Mayens 4,",3963 Lens,6.5,-1,-1,-1,Maisonette / Duplex,-1,-1,0
4000795514,,,4.5,-1,1890,-1,Single house,-1,-1,0
4000962132,"Chemin des Murailles 19,",3960 Sierre,1.0,42.0,1400,8.5,Studio,2023,-1,1
4001021519,"La Cordamou,",1973 Nax,3.0,90.0,-1,7.33,Chalet,-1,-1,1
4001062156,"Route des Sapins 10,",3963 Crans-Montana,6.5,200.0,2000,-1,Chalet,-1,-1,1
4001067447,"Brückenmoosstrasse 21,",3942 Raron,5.5,173.0,3150,3.0,Attic flat,-1,2024,1
4001074522,"Route du Téléphérique 32,",3967 Vercorin,3.0,-1,-1,4.67,Apartment,-1,-1,1
4001078935,"Place du Village 8,",1972 Anzère,5.5,-1,-1,-1,Apartment,-1,-1,1
4001078936,,,3.5,73.0,-1,-1,Single house,-1,-1,1
4001086257,,,-1,105.0,2400,-1,Apartment,-1,-1,0
4001152256,"Route de Marigny 21,",3963 Crans-Montana,3.5,-1,2500,9.5,Apartment,-1,-1,1
4001219482,"Route des Briesses 4,",3963 Crans-Montana,6.0,263.0,15000,15.5,Single house,-1,2012,1
4001227791,,,9.0,480.0,-1,-1,Chalet,-1,-1,0
4001232659,"Route du Bisse,",3967 Vercorin,2.5,59.0,-1,6.67,Apartment,-1,-1,1
4001287385,,,6.5,242.0,-1,-1,Chalet,-1,2013,1
4001288348,,,5.5,242.0,-1,-1,Chalet,-1,2013,1
4001292005,"Rue des Audannes 34,",1972 Ayent,9.0,452.0,-1,-1,Chalet,-1,-1,1
4001303221,,,3.5,-1,2200,-1,Apartment,-1,-1,1
4001317312,,,3.5,-1,1800,-1,Roof flat,-1,-1,1
4001340812,"Rte Cantonale Sierre-Montana 25,,",3975 Randogne,-1,-1,-1,-1,Single house,-1,-1,0
4001347089,,,4.5,155.0,6500,-1,Apartment,-1,-1,1
4001376725,"Impasse des Coquelicots, 3967 Vercorin,",3967 Vercorin,4.0,-1,-1,9.0,Chalet,-1,-1,1
4001392601,,,3.0,50.0,2800,-1,Apartment,-1,-1,0
4001426687,"Sältimattenstrasse 13,",3940 Steg VS,3.5,-1,1630,7.75,Apartment,-1,2021,1
4001431674,,,4.5,235.0,-1,-1,Attic flat,-1,-1,1
4001464087,"Route de Tsarbouye,",3963 Crans-Montana,5.0,-1,-1,11.5,Chalet,-1,-1,0
4001476716,,,5.5,183.0,4500,-1,Chalet,-1,1990,0
4001527762,"Rue de Médran 56,",1936 Val de Bagnes,4.5,149.0,-1,7.0,Apartment,-1,-1,0
4001527787,"Chemin des Esserts 72,",1936 Val de Bagnes,6.0,-1,15000,16.5,Apartment,-1,-1,1
4001528003,"Rue de Médran 62A,",1936 Val de Bagnes,3.5,93.0,11000,7.75,Apartment,-1,-1,1
4001539064,"Rue du Centre Sportif 21,",1936 Bagnes,-1,250.0,-1,3.75,Apartment,-1,-1,0
4001545329,"Route du Botza 58,",1911 Ovronnaz,3.5,50.0,1800,6.0,Apartment,-1,-1,1
4001558032,"Chemin des Vernes 8,",1936 Verbier,2.5,68.0,5000,7.0,Apartment,-1,-1,1
4001558073,"Les Clèves,",1997 Nendaz,7.5,238.0,9000,14.67,Chalet,-1,-1,1
4001558105,"Chemin de Pra Michaud,",1936 Val de Bagnes,4.5,140.0,5500,3.25,Apartment,-1,-1,1
4001558123,"Route des Creux,",1936 Val de Bagnes,4.5,115.0,6900,7.0,Apartment,-1,-1,1
4001588970,,,18.0,4.67,-1,-1,Chalet,-1,-1,0
4001596799,"Route du Rawyl 26,",3963 Crans-Montana,4.5,100.0,-1,3.5,Apartment,2022,1971,1
