id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
4001672375,,,-1,-1,-1,-1,,-1,-1,0
4001711768,,,-1,-1,-1,-1,,-1,-1,0
4001801648,,,-1,-1,-1,-1,,-1,-1,0
4001851907,,,-1,-1,-1,-1,,-1,-1,0
4001861556,,,-1,-1,-1,-1,,-1,-1,0
4001861565,,,-1,-1,-1,-1,,-1,-1,0
4001861573,,,-1,-1,-1,-1,,-1,-1,0
4001888874,,,-1,-1,-1,-1,,-1,-1,0
4002020577,,,-1,-1,-1,-1,,-1,-1,0
4002070901,,,-1,-1,-1,-1,,-1,-1,0
4002072609,,,-1,-1,-1,-1,,-1,-1,0
4002108096,,,-1,-1,-1,-1,,-1,-1,0
4002130218,,,-1,-1,-1,-1,,-1,-1,0
4002153225,,,-1,-1,-1,-1,,-1,-1,0
4002195589,,,-1,-1,-1,-1,,-1,-1,0
4002204636,,,-1,-1,-1,-1,,-1,-1,0
4002204675,,,-1,-1,-1,-1,,-1,-1,0
4002216521,,,-1,-1,-1,-1,,-1,-1,0
4002220333,,,-1,-1,-1,-1,,-1,-1,0
4002220502,,,-1,-1,-1,-1,,-1,-1,0
4002220879,,,-1,-1,-1,-1,,-1,-1,0
4002223776,,,-1,-1,-1,-1,,-1,-1,0
4002228800,,,-1,-1,-1,-1,,-1,-1,0
4002239162,,,-1,-1,-1,-1,,-1,-1,0
4002243103,,,-1,-1,-1,-1,,-1,-1,0
4002244614,,,-1,-1,-1,-1,,-1,-1,0
4002246968,,,-1,-1,-1,-1,,-1,-1,0
4002249789,,,-1,-1,-1,-1,,-1,-1,0
4002270982,,,-1,-1,-1,-1,,-1,-1,0
4002278427,,,-1,-1,-1,-1,,-1,-1,0
4002278896,,,-1,-1,-1,-1,,-1,-1,0
4002279330,,,-1,-1,-1,-1,,-1,-1,0
4002291701,,,-1,-1,-1,-1,,-1,-1,0
4002294825,,,-1,-1,-1,-1,,-1,-1,0
4002296601,,,-1,-1,-1,-1,,-1,-1,0
4002297985,,,-1,-1,-1,-1,,-1,-1,0
4002302112,,,-1,-1,-1,-1,,-1,-1,0
4002305902,,,-1,-1,-1,-1,,-1,-1,0
4002306329,,,-1,-1,-1,-1,,-1,-1,0
4002306946,,,-1,-1,-1,-1,,-1,-1,0
4002308582,,,-1,-1,-1,-1,,-1,-1,0
4002311885,,,-1,-1,-1,-1,,-1,-1,0
4002312330,,,-1,-1,770,-1,Single Room,-1,-1,0
