id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
3002648036,"Franklinstrasse 12,",8050 Zürich,1.0,26.0,2850,3.0,Apartment,2023,-1,0
4000495519,"Franklinstrasse 12,",8050 Zürich,1.5,36.0,3150,3.0,Apartment,2023,-1,0
4000706591,"Zürcherstrasse 143,",8406 Winterthur,1.5,36.0,2100,2.25,Apartment,-1,-1,0
4001053710,"Im Tubental 4,",8352 Elsau,1.0,18.0,320,10.0,Hobby room,-1,2024,0
4001454300,"Franklinstrasse 12,",8050 Zürich,2.0,51.0,3900,3.0,Apartment,2023,-1,0
4001626953,"Meier-Bosshard-Strasse 9,",8048 Zürich,2.5,57.0,2580,3.75,Apartment,-1,2024,1
4001668648,,,-1,-1,-1,-1,,-1,-1,0
4001694283,"Birchstrasse 180,",8050 Zürich,3.0,74.0,6900,3.0,Apartment,-1,2007,1
4001694286,"Birchstrasse 180,",8050 Zürich,2.0,55.0,4870,2.75,Apartment,-1,2006,1
4001749947,"Jungholzstrasse 20,",8050 Zürich,1.5,43.0,1846,3.75,Apartment,-1,1931,0
4001782931,"Zürcherstrasse 71,",8903 Birmensdorf ZH,4.5,-1,3591,9.5,Apartment,-1,-1,1
4001783149,"Tödistrasse 63,",8810 Horgen,2.0,57.0,3770,8.5,Roof flat,2024,2024,1
4001783150,,,-1,-1,-1,-1,,-1,-1,0
4001790468,"Länggenstrasse 3,",8184 Bachenbülach,4.5,159.0,2990,8.25,Apartment,-1,2002,0
4001800254,"Badenerstrasse 54,",8953 Dietikon,2.0,-1,1740,4.75,Apartment,2024,-1,1
4001800256,,,-1,-1,-1,-1,,-1,-1,0
4001825603,,,-1,-1,-1,-1,,-1,-1,0
4001869085,"Erlengutstrasse 8,",8703 Erlenbach ZH,2.5,73.0,3160,6.5,Apartment,-1,2025,1
4001869086,"Erlengutstrasse 8,",8703 Erlenbach ZH,3.5,91.0,3790,6.5,Apartment,-1,2025,1
4001869087,"Erlengutstrasse 6,",8703 Erlenbach ZH,4.5,110.0,4890,6.75,Apartment,-1,2025,1
4001869088,"Rütiwiesenstr. 16,",8136 Gattikon,-1,143.0,750,6.75,Hobby room,-1,1961,0
4001879895,"Rieterstrasse 11,",8002 Zürich,3.0,70.0,2850,4.5,Roof flat,2025,1894,0
4001880640,"Steinhaldenstrasse 62,",8002 Zürich,3.0,88.0,3930,5.25,Apartment,2017,1913,0
